truth,plugin_estimate_riesz,plugin_estimate_propensity,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.240561054348945813e+00,2.241008199930190958e+00,2.226230236249452155e+00,6.921170061450776956e+00,2.063170839378038135e+00,2.389289633120866174e+00,2.239750138789735612e+00,6.776442734880048668e+00,2.078404601478302194e+00,2.401095676101169030e+00
2.121539888279284192e+00,2.103168788552284063e+00,2.150180405378341764e+00,2.121740751764854327e+00,7.544865337986482956e+00,1.951492830536990741e+00,2.291988672992717913e+00,2.100811140753423345e+00,7.189433944563456080e+00,1.934621702336191351e+00,2.267000579170655339e+00
2.121539888279284192e+00,2.102527822136878832e+00,2.113981569170952035e+00,2.059760965748108852e+00,9.212152830778956414e+00,1.871640243033357187e+00,2.247881688462860517e+00,2.090525308566050899e+00,8.034819555991107976e+00,1.914836484771549330e+00,2.266214132360552469e+00
2.121539888279284192e+00,2.023633329629898281e+00,2.055217879295349270e+00,2.031394907362526148e+00,6.146236891808779745e+00,1.877734946267995753e+00,2.185054868457056543e+00,2.006257065453450394e+00,7.195796958021608347e+00,1.839994100262955179e+00,2.172520030643945610e+00
2.121539888279284192e+00,2.087971273779869019e+00,2.079350043177604856e+00,2.062121377360541796e+00,6.217046616559404271e+00,1.907578806260619153e+00,2.216663948460464439e+00,2.068995848826773010e+00,7.789186578043571174e+00,1.896013366597466998e+00,2.241978331056079021e+00
2.121539888279284192e+00,2.103863763809203924e+00,2.111334754645824319e+00,2.119288958891760721e+00,6.618246843594852713e+00,1.959837847028738533e+00,2.278740070754782909e+00,2.089776846049768100e+00,6.862413513640650997e+00,1.927411062234329009e+00,2.252142629865207191e+00
2.121539888279284192e+00,2.119567841649055318e+00,2.115989413142204345e+00,2.132031905015464801e+00,8.437973885086597292e+00,1.951989353164663044e+00,2.312074456866266559e+00,2.109028497872699415e+00,8.111124385599449482e+00,1.932507407235577901e+00,2.285549588509820929e+00
2.121539888279284192e+00,2.092132234454155082e+00,2.075759634971618528e+00,2.155098727353527366e+00,1.366163062364227443e+01,1.926008089823784353e+00,2.384189364883270379e+00,2.087051861110317930e+00,8.758103984983957702e+00,1.903625766269059438e+00,2.270477955951576643e+00
2.121539888279284192e+00,2.048940935015678200e+00,2.072460665464401330e+00,2.068489643698441682e+00,5.018450512707337552e+00,1.929641238991666174e+00,2.207338048405217190e+00,2.051258522168966536e+00,5.997127808542949801e+00,1.899473917583064608e+00,2.203043126754868464e+00
2.121539888279284192e+00,1.953526589632034405e+00,1.996866329669952478e+00,1.985944270293810376e+00,7.100945121869193244e+00,1.820780742903006955e+00,2.151107797684614020e+00,1.959717876696740468e+00,6.637510192644355378e+00,1.800034880870439169e+00,2.119400872523041990e+00
2.121539888279284192e+00,1.962107665419578595e+00,1.978187681436538670e+00,1.991687252268078190e+00,6.920580795931988050e+00,1.828634796948778174e+00,2.154739707587378206e+00,1.947556282976257380e+00,6.991380122668824804e+00,1.783671915572759836e+00,2.111440650379754924e+00
