truth,estimate,variance,lower,upper
4.016066896118338,4.104576110839844,7.692277431488037,3.905681397311932,4.303470824367755
4.050838760043126,4.18686056137085,8.177199363708496,3.9817924821810995,4.3919286405606
4.099163647971287,4.106534004211426,7.173402786254883,3.914464516061917,4.298603492360935
4.27367845743849,4.16421365737915,8.773344993591309,3.9518019870139454,4.376625327744355
4.162439707706217,4.272700786590576,11.479653358459473,4.029726588441179,4.515674984739974
4.003967594300539,4.22394323348999,8.525160789489746,4.014557513415875,4.433328953564105
3.9905494932203087,3.733330488204956,6.589311122894287,3.5492466006511876,3.9174143757587245
3.85365335563423,3.781805992126465,9.825429916381836,3.5570188056458885,4.006593178607041
10.466037316008876,10.215569496154785,727.878662109375,8.280817673238571,12.150321319070999
4.586000545961049,4.701903343200684,82.92083740234375,4.04888164782988,5.354925038571487
3.947785028700431,3.9964094161987305,10.681232452392578,3.762037023500019,4.230781808897442
4.161348296974814,4.167577743530273,23.66770362854004,3.8186995446271625,4.516455942433384
12.648842155861459,12.376346588134766,1227.8377685546875,9.863498326143853,14.889194850125678
3.8613000999517473,3.835968494415283,8.092123031616211,3.6319699780077817,4.039967010822784
3.9075819401380163,4.145229816436768,11.432229995727539,3.902758010566441,4.387701622307094
4.532751840913458,4.6402411460876465,8.658312797546387,4.429226594088595,4.851255698086698
3.636982271621631,3.9142518043518066,25.496070861816406,3.5521485740043675,4.276355034699246
3.7687619635123033,3.6406123638153076,16.545516967773438,3.34891269159582,3.932312036034795
3.941148144899862,4.025924205780029,20.89902114868164,3.698086619785281,4.353761791774778
4.235950932402467,4.225646495819092,7.107229709625244,4.034464959780129,4.416828031858055
3.1551581079386106,2.925752878189087,84.9105453491211,2.264942910089328,3.586562846288846
4.087269892661509,4.111380577087402,10.11552906036377,3.8832990713104074,4.339462082864397
4.312510237773102,4.281408309936523,12.728255271911621,4.025561380683372,4.537255239189675
3.8354915860161336,3.7074358463287354,36.16967010498047,3.276147181336722,4.138724511320748
4.595643746347299,4.765056133270264,14.655726432800293,4.490520042480281,5.039592224060247
4.4128250487998875,4.2577714920043945,280.61236572265625,3.056477865231806,5.459065118776984
3.75550895511973,3.9657673835754395,8.842981338500977,3.7525143957246483,4.179020371426231
10.469988754885424,10.648626327514648,1810.8253173828125,7.596981054140226,13.70027160088907
3.745058916856946,3.7601656913757324,16.611597061157227,3.4678840991680993,4.052447283583366
4.384592984021068,4.371903419494629,13.784087181091309,4.105656386930438,4.63815045205882
4.335573262579987,4.2628254890441895,14.205138206481934,3.9925426312732104,4.533108346815169
4.022886876823159,4.081746578216553,6.652934551239014,3.8967761099631315,4.266717046469974
4.156628607016041,4.185342788696289,14.49512767791748,3.912315036877841,4.4583705405147365
6.789415798636192,6.7766313552856445,1431.473876953125,4.063395897842334,9.489866812728955
3.755501502243597,3.5654799938201904,38.45986557006836,3.120746691409568,4.0102132962308135
4.881726729621478,4.872973918914795,33.70393371582031,4.456645491120802,5.289302346708788
