truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.012268742637332686e+00,1.098447098157068424e+00,2.253141197241141480e+00,9.668745537314051841e-01,1.230019642582731665e+00,1.207083778036361910e+00,7.241336311877241805e+00,9.712095845530237526e-01,1.442957971519700067e+00
1.000000000000000000e+00,8.144472332265642045e-01,8.868424031530844909e-01,2.541042793928877774e+00,7.471164571218825712e-01,1.026568349184286522e+00,9.328245222011266602e-01,8.187344800793178834e+00,6.820158150686704834e-01,1.183633229333582726e+00
1.000000000000000000e+00,9.971936597608853647e-01,1.082891256006128566e+00,2.626822137178183247e+00,9.408264825949573806e-01,1.224956029417299863e+00,1.105870057959897901e+00,6.662450742069333742e+00,8.796203252717307297e-01,1.332119790648065072e+00
1.000000000000000000e+00,4.973084984387778351e-01,6.027887555868107761e-01,3.219771398496682036e+00,4.455051022437830910e-01,7.600724089298385167e-01,5.759429585076811797e-01,8.484285284514591297e+00,3.206265651875840894e-01,8.312593518277782145e-01
1.000000000000000000e+00,8.291735847313094210e-01,8.510425655602906758e-01,2.244752474943638720e+00,7.197151799338077360e-01,9.823699511867736156e-01,8.897478539509652284e-01,6.214598930674001487e+00,6.712346815696315083e-01,1.108261026332298949e+00
1.000000000000000000e+00,8.922035278149096360e-01,9.613895288980771614e-01,3.713107623222423381e+00,7.924855665681704853e-01,1.130293491227983838e+00,1.060395925663667027e+00,9.287495429388187063e+00,7.932673332534285748e-01,1.327524518073905480e+00
1.000000000000000000e+00,7.615462559438911372e-01,8.300692220957808232e-01,2.777686820656746214e+00,6.839818394083292397e-01,9.761566047832324067e-01,9.001985978487363482e-01,7.960661807405221779e+00,6.528863320820426086e-01,1.147510863615430088e+00
1.000000000000000000e+00,9.651222291986271129e-01,9.450909799725667471e-01,4.054301237242740719e+00,7.685973334410741709e-01,1.121584626504059212e+00,1.064965585363256695e+00,5.668031758446890223e+00,8.562825203903194904e-01,1.273648650336193899e+00
1.000000000000000000e+00,7.933790602845137707e-01,8.451330119575507505e-01,2.811401659495038174e+00,6.981617180589384519e-01,9.921043058561630490e-01,9.212053726041814494e-01,8.756575869880871110e+00,6.618243329666075869e-01,1.180586412241755312e+00
1.000000000000000000e+00,7.328786826503819185e-01,7.582814406715595590e-01,2.585884326972253788e+00,6.173280211990500588e-01,8.992348601440690592e-01,7.528907381531702026e-01,7.701042672694551783e+00,5.096446671410225226e-01,9.961368091653178825e-01
1.000000000000000000e+00,9.311646895851513062e-01,1.034364555686738019e+00,2.274751243862807915e+00,9.021625558650759880e-01,1.166566555508400160e+00,1.095988074705145143e+00,5.380447247592388571e+00,8.926680011936941606e-01,1.299308148216596237e+00
1.000000000000000000e+00,8.580522612435766971e-01,8.894918490916421394e-01,2.708154415937768178e+00,7.452445197973600610e-01,1.033739178385924218e+00,8.962006641855717604e-01,7.792559802004490166e+00,6.515135262506960290e-01,1.140887802120447381e+00
1.000000000000000000e+00,6.741999067512781663e-01,7.368302628703503609e-01,2.340526893030913769e+00,6.027305379469370950e-01,8.709299877937636269e-01,7.331466053257724713e-01,5.705782979806001798e+00,5.237697398643622604e-01,9.425234707871826823e-01
1.000000000000000000e+00,7.785250434496259198e-01,9.013567383914624642e-01,3.373031091130716863e+00,7.403732843367816230e-01,1.062340192446143305e+00,9.270689635880642321e-01,7.944589803692813312e+00,6.800064767962961110e-01,1.174131450379832353e+00
1.000000000000000000e+00,9.680279324746784431e-01,1.064868270873139400e+00,2.305940423667542039e+00,9.317630438415819283e-01,1.197973497904696760e+00,1.061172301848223087e+00,5.635554851311722402e+00,8.530879558882296099e-01,1.269256647808216565e+00
1.000000000000000000e+00,1.043446655696273595e+00,1.102952379238750114e+00,3.278028560389374402e+00,9.442521932426913844e-01,1.261652565234808954e+00,1.161852309323977428e+00,8.122874259263992869e+00,9.120330396333126144e-01,1.411671579014642131e+00
1.000000000000000000e+00,1.028174186208797414e+00,1.172939827962768300e+00,4.929724281844397815e+00,9.783221062561702208e-01,1.367557549669366379e+00,1.137755861537760094e+00,7.647223270201056522e+00,8.953612538633962670e-01,1.380150469212123809e+00
1.000000000000000000e+00,8.736382380045608631e-01,9.838575646507899952e-01,3.251359570975402402e+00,8.258042639711831168e-01,1.141910865330396874e+00,9.570969435195538777e-01,7.036156151407942261e+00,7.245884599270244752e-01,1.189605427112083280e+00
1.000000000000000000e+00,8.821951470614001201e-01,9.404517332949562380e-01,2.228462346816989292e+00,8.096017355759486112e-01,1.071301731013963865e+00,9.720594830613691339e-01,8.080976800109265668e+00,7.228853251906149913e-01,1.221233640932123166e+00
1.000000000000000000e+00,7.600327690971313555e-01,8.157872236001765254e-01,2.799557212087738556e+00,6.691258518218090590e-01,9.624485953785439918e-01,8.190707371703299655e-01,8.556038977914861121e+00,5.626769800795703436e-01,1.075464494261089587e+00
1.000000000000000000e+00,7.249195555504525101e-01,7.888137120223911447e-01,1.859167759275039966e+00,6.692965261114854902e-01,9.083308979332967992e-01,8.661422087526760016e-01,9.154133310402567503e+00,6.009384436012645825e-01,1.131345973904087421e+00
1.000000000000000000e+00,8.114105202507807535e-01,8.484794184149277996e-01,2.990555209171717355e+00,6.968976458197105872e-01,1.000061191010144901e+00,8.240359659881602017e-01,9.236803650566823620e+00,5.576373740098334864e-01,1.090434557966486917e+00
1.000000000000000000e+00,9.872532031490470761e-01,1.033103329311066521e+00,1.450111255726690418e+00,9.275500498736217736e-01,1.138656608748511267e+00,1.146562779163798007e+00,9.524446072385087447e+00,8.760480400767214348e-01,1.417077518250874579e+00
1.000000000000000000e+00,9.178834635546112564e-01,9.265490679115767625e-01,3.295267710968958319e+00,7.674321270255833882e-01,1.085666008797570026e+00,9.910283359324095764e-01,8.118376655272687259e+00,7.412782377987129356e-01,1.240778434066106328e+00
1.000000000000000000e+00,8.412544003881757826e-01,9.053710134424104439e-01,5.226312362402724787e+00,7.049843793002785741e-01,1.105757647584542314e+00,9.853399092164959461e-01,8.387348267880227581e+00,7.314862619868818250e-01,1.239193556446110067e+00
1.000000000000000000e+00,8.515191095012155653e-01,9.188404452015588308e-01,2.285150016065208511e+00,7.863366165646767936e-01,1.051344273838440868e+00,9.323894253549293021e-01,6.324969217137715205e+00,7.119444129615606354e-01,1.152834437748297969e+00
1.000000000000000000e+00,9.523425265093719005e-01,9.800633268420538835e-01,2.563943815398319614e+00,8.397091565354030118e-01,1.120417497148704866e+00,1.068034591922107035e+00,6.996363168405298261e+00,8.361845164520058660e-01,1.299884667392208204e+00
1.000000000000000000e+00,8.926247930469739522e-01,9.481690160116050814e-01,3.403618008174004395e+00,7.864573037567330616e-01,1.109880728266477101e+00,1.005749935050150201e+00,7.638627417008068576e+00,7.634915973807184786e-01,1.248008272719582035e+00
1.000000000000000000e+00,9.683940738155056849e-01,1.043884746380800976e+00,3.314736394614318904e+00,8.842984604189403353e-01,1.203471032342661617e+00,1.091059608103788880e+00,7.814841581432581563e+00,8.460228948576656860e-01,1.336096321349911964e+00
1.000000000000000000e+00,8.892330280464290082e-01,9.506680078472753426e-01,1.844661787381257412e+00,8.316179954793311291e-01,1.069718020215219667e+00,9.500182159447597696e-01,8.678168924908561621e+00,6.918010447809166408e-01,1.208235387108602898e+00
