truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.250000000000000000e+02,1.021035452914992314e+00,1.491872264737793108e+00,4.745965583718270153e+01,2.841603326476244695e-01,2.699584196827962135e+00,1.291942559725980377e+00,9.423595698878322935e+00,7.537850717222478458e-01,1.830100047729712909e+00
1.000000000000000000e+00,1.250000000000000000e+02,3.714713895420945766e-01,9.537518574758211409e-01,2.989823297740164065e+01,-4.818126640043329800e-03,1.912321841591685612e+00,8.743782939099342677e-01,1.882900294267280827e+01,1.136759988979005598e-01,1.635080588921967948e+00
1.000000000000000000e+00,1.250000000000000000e+02,2.687843442624024415e-01,1.114197082243775450e+00,4.564294281332325909e+01,-7.017424166325869628e-02,2.298568406150809373e+00,7.796627281573899060e-01,2.062527356806527834e+01,-1.649831554710889936e-02,1.575823771861888378e+00
1.000000000000000000e+00,1.250000000000000000e+02,3.265957788246988680e-01,2.719936507361529476e-01,1.802831316177419296e+01,-4.723587810716391999e-01,1.016346082543944762e+00,3.429251705913813342e-01,6.644094573321243757e+00,-1.089505088858030851e-01,7.948008500685657118e-01
1.000000000000000000e+00,1.250000000000000000e+02,1.037539353934225472e+00,2.218636679208216389e+00,3.107109366779969832e+02,-8.715117111991997900e-01,5.308785069615632679e+00,1.418860963405857989e+00,1.815083009795164060e+01,6.719835763908753590e-01,2.165738350420840508e+00
1.000000000000000000e+00,1.250000000000000000e+02,1.080351996484714361e+00,1.078497203957497597e+00,3.746961505348435395e+01,5.396003922885750370e-03,2.151598403992108999e+00,1.580752470128770293e+00,9.038946669565053327e+00,1.053692568213998371e+00,2.107812372043542215e+00
1.000000000000000000e+00,1.250000000000000000e+02,8.831200529917773157e-01,2.904126691684061790e+00,3.129613276268135564e+02,-1.971920422885258262e-01,6.005445425656649405e+00,1.309074305525286697e+00,7.023226029716760799e+00,8.444848083064201427e-01,1.773663802744153584e+00
1.000000000000000000e+00,1.250000000000000000e+02,5.739104265965635499e-01,1.141706821301333497e+00,9.624340449676219933e+00,5.978475286788675902e-01,1.685566113923799847e+00,1.056103891250497639e+00,9.289137307953980738e+00,5.217994845141428195e-01,1.590408297986852348e+00
1.000000000000000000e+00,1.250000000000000000e+02,5.671901930013919513e-01,9.647649807400813238e-01,1.213755475787262483e+01,3.540104941722396203e-01,1.575519467307922472e+00,9.014138759331955519e-01,7.848997845076649327e+00,4.102706371798032214e-01,1.392557114686587827e+00
1.000000000000000000e+00,1.250000000000000000e+02,5.636342327219000525e-01,1.455789253250564741e+00,1.727822465423512455e+01,7.270861431613614423e-01,2.184492363339768151e+00,1.295734185159540086e+00,1.387533950983379150e+01,6.427196109823476444e-01,1.948748759336732306e+00
1.000000000000000000e+00,1.250000000000000000e+02,9.403179232807331589e-01,1.335348480741985533e+00,1.840975875566089215e+01,5.831627098808405130e-01,2.087534251603130997e+00,1.210504029476901167e+00,9.726426385097736826e+00,6.637679717598968798e-01,1.757240087193905564e+00
1.000000000000000000e+00,1.250000000000000000e+02,4.833099557437964267e-01,4.823873382675449850e-01,2.378269388461748335e+01,-3.725446909705529830e-01,1.337319367505643175e+00,6.443226694289576617e-01,9.688713753731599709e+00,9.864758107446579272e-02,1.189997757783449517e+00
1.000000000000000000e+00,1.250000000000000000e+02,8.165695872228201369e-01,-1.349912786142426213e-01,2.493088919119458353e+02,-2.903015901581214475e+00,2.633033344352728733e+00,1.261602899828464297e+00,1.178168084783275127e+01,6.598687050544973509e-01,1.863337094602431243e+00
1.000000000000000000e+00,1.250000000000000000e+02,6.638510091807111602e-01,6.914369576912495763e-01,9.089822552743010320e+00,1.628958537561436826e-01,1.219978061626355137e+00,7.384094645468224360e-01,7.283376386900766164e+00,2.652936755233066268e-01,1.211525253570338245e+00
1.000000000000000000e+00,1.250000000000000000e+02,5.877752216659161144e-01,1.364951687516296808e+00,4.310544107712321704e+01,2.139734516078097559e-01,2.515929923424784054e+00,9.002143407715970103e-01,1.200034727233407317e+01,2.929217649473995211e-01,1.507506916595794610e+00
1.000000000000000000e+00,1.250000000000000000e+02,3.501556333842040236e-01,9.874615165429455610e-01,7.791877073818028521e+00,4.981086788744236160e-01,1.476814354211467561e+00,1.032002826303915155e+00,8.508094216293640599e+00,5.206540628063300868e-01,1.543351589801500223e+00
1.000000000000000000e+00,1.250000000000000000e+02,1.412645210104720439e-01,1.255830599235207456e+00,1.463546841434515500e+02,-8.649921743231747673e-01,3.376653372793589902e+00,3.709656597554467639e-01,3.256370390879988008e+01,-6.294211651719736622e-01,1.371352484682867079e+00
1.000000000000000000e+00,1.250000000000000000e+02,9.492477491498874098e-01,2.179856486827700834e+00,2.116720421234165030e+02,-3.706874818524186210e-01,4.730400455507820290e+00,1.146377006579517577e+00,1.088804396983655920e+01,5.679134574113846590e-01,1.724840555747650495e+00
1.000000000000000000e+00,1.250000000000000000e+02,4.564596385927685018e-01,8.940740223198477832e-01,1.249862414902502827e+01,2.743017123162817539e-01,1.513846332323413701e+00,8.054188767993126774e-01,8.848511142665559603e+00,2.839406670481169348e-01,1.326897086550508309e+00
1.000000000000000000e+00,1.250000000000000000e+02,4.754081175323207620e-01,1.621448745264465252e+00,1.174531359836910269e+02,-2.784627625588806943e-01,3.521360253087811198e+00,9.829586609001057518e-01,1.533004805803683723e+01,2.965656969515856334e-01,1.669351624848625981e+00
