truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.250000000000000000e+02,5.107058211471103837e-01,5.932063255476487384e-01,1.246013106880663912e+00,3.975191476050403683e-01,7.888935034902571086e-01,7.240598356076868303e-01,3.648187118395199935e+00,3.892180743648334662e-01,1.058901596850540194e+00
1.000000000000000000e+00,1.250000000000000000e+02,9.054972444603833770e-01,9.710134118197926156e-01,2.215892307095124636e+00,7.100525429227623198e-01,1.231974280716822800e+00,1.095184522885618073e+00,3.831117930022566842e+00,7.520504658178336355e-01,1.438318579953402399e+00
1.000000000000000000e+00,1.250000000000000000e+02,5.427959915321628470e-01,7.952460800136758046e-01,4.115817773824551828e+00,4.395909036428050642e-01,1.150901256384546656e+00,8.563367695915765632e-01,5.270557778022793016e+00,4.538706243316070199e-01,1.258802914851546051e+00
1.000000000000000000e+00,1.250000000000000000e+02,6.566818225214006155e-01,8.617200369110691316e-01,3.734192183163967282e+00,5.229543634334548052e-01,1.200485710388683458e+00,8.492963953592913562e-01,4.324086605259353178e+00,4.847538205863100580e-01,1.213838970132272710e+00
1.000000000000000000e+00,1.250000000000000000e+02,5.388868346288663291e-01,6.042317483935404354e-01,7.589873752123483808e-01,4.515038622531041823e-01,7.569596345339766330e-01,6.704066084320168262e-01,1.614444232444206540e+00,4.476592364904801169e-01,8.931539803735535354e-01
1.000000000000000000e+00,1.250000000000000000e+02,0.000000000000000000e+00,2.958855621828921922e-01,8.218686483313197400e+00,-2.066910468573295301e-01,7.984621712231139146e-01,5.337471358772597485e-01,1.678432333870420123e+01,-1.844654039072586293e-01,1.251959675661778126e+00
1.000000000000000000e+00,1.250000000000000000e+02,8.860783094861054421e-01,9.948591903323993346e-01,1.009033793456909578e+00,8.187613942997614691e-01,1.170956986365037089e+00,1.070166231837215376e+00,3.418269584778847126e+00,7.460474334081650394e-01,1.394285030266265712e+00
1.000000000000000000e+00,1.250000000000000000e+02,5.375596162853001347e-01,5.751295038248325220e-01,9.210939318975009948e-01,4.068802970207007208e-01,7.433787106289643232e-01,6.879739933750368408e-01,2.910513517745768830e+00,3.888950241408609121e-01,9.870529626092128250e-01
1.000000000000000000e+00,1.250000000000000000e+02,4.938072565636840716e-01,7.236661343226973298e-01,3.433885738453906988e+00,3.988078211725545330e-01,1.048524447472840126e+00,8.098245970582456099e-01,5.359993896078922404e+00,4.039580914071703721e-01,1.215691102709320903e+00
1.000000000000000000e+00,1.250000000000000000e+02,6.400339764401243858e-01,7.614500408430945333e-01,2.345119534182710908e+00,4.929875860749642347e-01,1.029912495611224887e+00,8.253544070261819021e-01,3.723298628924023745e+00,4.870832257189410264e-01,1.163625588333422778e+00
1.000000000000000000e+00,1.250000000000000000e+02,1.422061729180266743e-01,2.193588497177189622e-01,7.764281733505531413e-01,6.488616033235261593e-02,3.738315391030853085e-01,2.784135923307732297e-01,3.035508728813162804e+00,-2.702000546237914858e-02,5.838471901239256079e-01
1.000000000000000000e+00,1.250000000000000000e+02,1.381352194506307640e+00,1.507932712841857370e+00,1.731301174460587955e+00,1.277264698729665415e+00,1.738600726954049325e+00,1.589735884315846670e+00,7.591802246339415028e+00,1.106706547653672601e+00,2.072765220978020739e+00
1.000000000000000000e+00,1.250000000000000000e+02,1.120637391822192130e+00,1.277904617388234687e+00,2.804100874073941707e+00,9.843439399419192659e-01,1.571465294834549997e+00,1.287070580581984647e+00,3.289874522691695002e+00,9.690972236305266385e-01,1.605043937533442655e+00
1.000000000000000000e+00,1.250000000000000000e+02,1.354820819787519115e+00,1.527836240426183823e+00,3.003006460581592485e+00,1.224042236285611818e+00,1.831630244566755827e+00,1.592795220866147332e+00,4.065374848932480134e+00,1.239326195126589703e+00,1.946264246605704962e+00
1.000000000000000000e+00,1.250000000000000000e+02,1.374430827567487468e+00,1.671533003236044257e+00,5.950789669121401282e+00,1.243883112854701878e+00,2.099182893617386636e+00,1.682962761698350018e+00,8.222362153320158740e+00,1.180273780731432520e+00,2.185651742665267516e+00
