truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,3.000000000000000000e+02,8.567780884190392410e-01,9.757212420256748953e-01,3.536493987587239207e+00,7.629162036868616381e-01,1.188526280364488263e+00,9.716542045497766900e-01,6.871539105057263619e+00,6.750191615199734319e-01,1.268289247579579948e+00
1.000000000000000000e+00,3.000000000000000000e+02,7.533013109822354059e-01,8.678145732905679921e-01,3.461001378785069083e+00,6.572931341864495236e-01,1.078336012394686350e+00,9.869124927710801742e-01,9.100156255976044051e+00,6.455468028677275871e-01,1.328278182674432761e+00
1.000000000000000000e+00,3.000000000000000000e+02,1.150142459106545667e+00,1.247129986675233893e+00,1.792874935236554057e+00,1.095609819137435492e+00,1.398650154213032293e+00,1.319150799760017145e+00,5.684433786391020149e+00,1.049352598420573157e+00,1.588949001099461134e+00
1.000000000000000000e+00,3.000000000000000000e+02,9.554796001015570805e-01,1.064552443211996602e+00,1.956688703565744092e+00,9.062614103682906652e-01,1.222843476055702538e+00,1.175095223784051068e+00,9.259006183068862583e+00,8.307630287897531662e-01,1.519427418778348970e+00
1.000000000000000000e+00,3.000000000000000000e+02,1.014570220398818057e+00,1.072257417916966160e+00,1.268939196157206295e+00,9.447851096044347363e-01,1.199729726229497695e+00,1.171629267706132849e+00,7.069869903996777616e+00,8.707438397705479227e-01,1.472514695641717886e+00
1.000000000000000000e+00,3.000000000000000000e+02,8.450123699955166545e-01,9.061477967890342322e-01,2.988985459116426213e+00,7.105079359925385862e-01,1.101787657585529878e+00,9.499026650321000798e-01,8.178815179918959899e+00,6.262787248629757553e-01,1.273526605201224404e+00
1.000000000000000000e+00,3.000000000000000000e+02,1.106435891878621680e+00,1.168772703989370054e+00,2.801946645584908691e+00,9.793529036016335176e-01,1.358192504377106591e+00,1.266625704089796356e+00,7.876323002412920715e+00,9.490427362106951259e-01,1.584208671968897697e+00
1.000000000000000000e+00,3.000000000000000000e+02,9.801971014259136528e-01,1.047954830112561186e+00,1.410166754756207785e+00,9.135760544437891983e-01,1.182333605781333175e+00,1.187519082927683822e+00,9.095848720017670530e+00,8.462341948804694702e-01,1.528803970974898174e+00
1.000000000000000000e+00,3.000000000000000000e+02,7.776622973019211571e-01,8.428678629006706169e-01,1.861968258508085894e+00,6.884556735946374406e-01,9.972800522067037932e-01,8.969727513167873312e-01,5.113158148551311122e+00,6.410905626473744068e-01,1.152854939986200256e+00
1.000000000000000000e+00,3.000000000000000000e+02,8.221553172191615744e-01,9.016221407911358954e-01,1.185305424054397427e+00,7.784221770864960810e-01,1.024822104495775710e+00,1.064631359174502689e+00,6.727267244414945502e+00,7.711268456024824580e-01,1.358135872746522921e+00
1.000000000000000000e+00,3.000000000000000000e+02,7.906096147737777802e-01,9.344717195964157286e-01,3.786912581541144629e+00,7.142611887155602135e-01,1.154682250477271133e+00,1.029100549196677150e+00,7.665462546243158037e+00,7.157974961333121167e-01,1.342403602260042295e+00
1.000000000000000000e+00,3.000000000000000000e+02,9.857182428180141232e-01,1.102271051916526856e+00,2.132890026947117157e+00,9.370065131963278837e-01,1.267535590636725829e+00,1.168648006218178770e+00,7.969819234209082559e+00,8.491856580447849634e-01,1.488110354391572576e+00
1.000000000000000000e+00,3.000000000000000000e+02,1.194082485855516795e+00,1.397706556415187151e+00,3.728169226965270866e+00,1.179210676192318896e+00,1.616202436638055406e+00,1.385767436021922094e+00,9.506667697491909763e+00,1.036860501789286904e+00,1.734674370254557285e+00
1.000000000000000000e+00,3.000000000000000000e+02,6.028067270867406569e-01,6.803340608082057983e-01,3.098799995480016278e+00,4.811327383340479047e-01,8.795353832823636919e-01,7.715721713025742723e-01,8.550705676245042852e+00,4.406724335880465859e-01,1.102471909017102014e+00
1.000000000000000000e+00,3.000000000000000000e+02,7.631689544557570537e-01,7.967355194132212937e-01,1.369925939567103512e+00,6.642879513036610284e-01,9.291830875227815589e-01,8.859822658896003844e-01,6.541075308778523834e+00,5.965679440474613848e-01,1.175396587731739384e+00
1.000000000000000000e+00,3.000000000000000000e+02,9.460234708066562748e-01,1.061969787408262755e+00,2.751099568415383612e+00,8.742765616201473300e-01,1.249663013196378181e+00,1.030527254180716001e+00,4.790641045888112792e+00,7.828465010468765861e-01,1.278208007314555417e+00
1.000000000000000000e+00,3.000000000000000000e+02,8.146736735636269655e-01,8.511644977392093248e-01,7.789210226852129049e-01,7.512928634488611479e-01,9.510361320295575016e-01,9.464340678972992249e-01,4.431308040005977666e+00,7.082232861199906360e-01,1.184644849674607814e+00
1.000000000000000000e+00,3.000000000000000000e+02,1.001765357906414966e+00,1.114929120098324455e+00,2.136639022154974032e+00,9.495194018478485543e-01,1.280338838348800357e+00,1.337184192333799260e+00,6.628320689903585361e+00,1.045846148346328608e+00,1.628522236321269911e+00
1.000000000000000000e+00,3.000000000000000000e+02,9.866576669154907275e-01,1.088329694127740721e+00,3.107551180994410522e+00,8.888472920892974694e-01,1.287812096166183862e+00,1.169655146771948706e+00,7.670271847549920530e+00,8.562538261538644724e-01,1.483056467390032829e+00
1.000000000000000000e+00,3.000000000000000000e+02,7.030266801182731840e-01,7.841244931873907476e-01,2.066019624510877950e+00,6.214712732221224778e-01,9.467777131526590173e-01,8.023426872377952268e-01,5.738382675963889845e+00,5.312672310269037634e-01,1.073418143448686690e+00
1.000000000000000000e+00,3.000000000000000000e+02,8.008398095061929345e-01,8.606613307192675366e-01,1.139739358186609763e+00,7.398526290678594242e-01,9.814700323706756491e-01,9.872572447474048385e-01,6.633574401881289440e+00,6.958037640552758862e-01,1.278710725439533791e+00
1.000000000000000000e+00,3.000000000000000000e+02,8.651619929588988400e-01,9.336999943972299487e-01,1.246498328987310167e+00,8.073598717040589845e-01,1.060040117090401024e+00,1.028186370839850206e+00,8.113294923913793255e+00,7.058613083139004818e-01,1.350511433365799929e+00
1.000000000000000000e+00,3.000000000000000000e+02,6.791745161850755164e-01,7.004420150541125212e-01,3.246740406865556317e+00,4.965410754861062648e-01,9.043429546221187776e-01,8.032614539634280737e-01,7.837326471204981715e+00,4.864656555286368533e-01,1.120057252398219294e+00
1.000000000000000000e+00,3.000000000000000000e+02,1.112001619476570724e+00,1.205002285658643757e+00,1.925090332604756149e+00,1.047994567995525594e+00,1.362010003321761920e+00,1.273636605125861632e+00,5.585502244795076621e+00,1.006196484577948080e+00,1.541076725673775183e+00
1.000000000000000000e+00,3.000000000000000000e+02,8.000296981673528096e-01,8.700253340774266597e-01,2.230291117817600366e+00,7.010294134342733852e-01,1.039021254720579934e+00,9.523812084125935495e-01,6.117121234721278000e+00,6.725030626937511524e-01,1.232259354131435947e+00
1.000000000000000000e+00,3.000000000000000000e+02,1.010130811877676837e+00,1.084488473301276734e+00,4.666704185515133219e+00,8.400325413552854892e-01,1.328944405247268090e+00,1.084169836886697436e+00,7.360075593879130906e+00,7.771711050682197364e-01,1.391168568705175135e+00
