truth,estimate,beta
1,1.0736886262893677,3
1,1.0144977569580078,3
1,0.7828751802444458,3
1,1.0329573154449463,3
1,0.9753614068031311,3
1,1.1095693111419678,3
1,0.9680482149124146,3
1,0.9604806900024414,3
1,0.9733501076698303,3
1,1.0366629362106323,3
1,0.928958535194397,3
1,0.9836017489433289,3
1,1.1138213872909546,3
1,1.0277541875839233,3
1,1.0626469850540161,3
1,1.0827969312667847,3
1,0.9660682082176208,3
1,1.1025272607803345,3
1,0.5368799567222595,3
1,0.9703395366668701,3
1,0.9425227642059326,3
1,1.0123323202133179,3
1,0.6959702372550964,3
1,0.9565409421920776,3
1,1.323012113571167,3
1,0.9874460101127625,3
1,1.0703089237213135,3
1,1.0701225996017456,3
1,0.8776211738586426,3
1,1.0237630605697632,3
1,1.0368809700012207,3
1,0.741921067237854,3
1,1.2179005146026611,3
1,0.8668990135192871,3
1,0.8511049747467041,3
1,0.9704234600067139,3
1,1.1315730810165405,3
1,0.9861414432525635,3
1,0.9757440090179443,3
1,0.9360904097557068,3
1,0.7916833162307739,3
1,1.0113847255706787,3
1,1.0045679807662964,3
1,1.0869057178497314,3
1,0.9654550552368164,3
1,1.1281582117080688,3
1,0.9311168193817139,3
1,1.050966501235962,3
1,0.8364269733428955,3
1,1.0137898921966553,3
1,1.0325433015823364,3
1,0.8734675645828247,3
1,1.2640875577926636,3
1,0.9898547530174255,3
1,0.9827781319618225,3
1,0.8550962209701538,3
1,0.9084851741790771,3
1,1.0955008268356323,3
1,0.9999589920043945,3
1,0.9686294198036194,3
1,0.8682287931442261,3
1,0.9924454689025879,3
1,1.0840760469436646,3
1,0.9489442110061646,3
1,0.9245895743370056,3
1,1.05228853225708,3
1,1.029351830482483,3
1,0.6794038414955139,3
1,0.6567836999893188,3
1,0.8979623913764954,3
1,1.0852679014205933,3
1,1.0243741273880005,3
1,1.0025016069412231,3
1,1.0051239728927612,3
1,1.0032711029052734,3
1,0.9796575307846069,3
1,0.8496626615524292,3
1,1.0153131484985352,3
1,1.1160647869110107,3
1,0.9428704977035522,3
1,0.9796151518821716,3
1,0.9786600470542908,3
1,0.3719145357608795,3
1,1.0018337965011597,3
1,1.0457319021224976,3
1,0.9636924862861633,3
1,0.8403569459915161,3
1,0.9392428398132324,3
1,0.98378586769104,3
1,1.1036624908447266,3
1,1.1620020866394043,3
1,0.9351478219032288,3
1,0.9229179620742798,3
1,0.8496103286743164,3
1,1.0059314966201782,3
1,1.0429985523223877,3
1,0.9083263278007507,3
1,1.1475892066955566,3
1,0.9683282375335693,3
1,1.0025643110275269,3
1,1.050856590270996,3
1,0.9541881084442139,3
1,1.123613715171814,3
1,0.8719336986541748,3
1,1.0986512899398804,3
1,1.025120735168457,3
1,0.908591628074646,3
1,0.9911633729934692,3
1,0.991159200668335,3
1,0.961661696434021,3
1,1.3307629823684692,3
1,0.9634323120117188,3
1,1.043853521347046,3
1,1.0072646141052246,3
1,0.8227131962776184,3
1,0.8382097482681274,3
1,1.0874603986740112,3
1,0.8335133790969849,3
1,1.1126420497894287,3
1,0.8426671624183655,3
1,0.9963153004646301,3
1,1.0030016899108887,3
1,1.023642659187317,3
1,0.9281842708587646,3
1,0.97652268409729,3
1,0.9961229562759399,3
1,1.2432234287261963,3
1,1.043453574180603,3
1,0.9521583914756775,3
1,0.9464995265007019,3
1,0.9705055952072144,3
1,1.007889747619629,3
1,1.0143942832946777,3
1,1.0246474742889404,3
1,0.9098621010780334,3
1,1.018977403640747,3
1,1.1364325284957886,3
1,0.9209917783737183,3
1,0.898945689201355,3
1,0.8677611947059631,3
1,1.11113440990448,3
1,1.003848671913147,3
1,0.9785352349281311,3
1,1.042565107345581,3
1,1.0373836755752563,3
1,1.0818777084350586,3
1,1.005972146987915,3
1,1.0832691192626953,3
1,1.118333339691162,3
1,1.2948460578918457,3
1,1.1340456008911133,3
1,1.3656500577926636,3
1,0.30571261048316956,3
1,0.9007765054702759,3
1,1.0211902856826782,3
1,1.0829567909240723,3
1,0.9215127825737,3
1,0.9801203012466431,3
1,1.0944087505340576,3
1,1.0153573751449585,3
1,0.942384660243988,3
1,0.9840568900108337,3
1,0.9331257939338684,3
1,1.0443789958953857,3
1,0.9315435886383057,3
1,1.0081379413604736,3
1,0.9788796901702881,3
1,0.9176934361457825,3
1,0.9806744456291199,3
1,1.0162010192871094,3
1,1.0086764097213745,3
1,1.0216883420944214,3
1,0.9792856574058533,3
1,0.7233279943466187,3
1,1.0826925039291382,3
1,0.8429348468780518,3
1,1.0279483795166016,3
1,0.9255278706550598,3
1,1.2284780740737915,3
1,0.9805489778518677,3
1,1.0403118133544922,3
1,0.9381335973739624,3
1,1.1111174821853638,3
1,1.0037769079208374,3
1,1.0724543333053589,3
1,0.9062946438789368,3
1,0.9139492511749268,3
1,0.9944952130317688,3
1,0.9969463348388672,3
1,0.7861378788948059,3
1,0.8894522190093994,3
1,1.2284797430038452,3
1,0.9571821689605713,3
1,0.8483455181121826,3
1,0.9706971645355225,3
1,0.9768465757369995,3
1,1.044295072555542,3
1,0.9309306740760803,3
1,1.030065894126892,3
1,0.948645830154419,3
1,0.8617405295372009,3
1,0.8792232275009155,3
1,0.9460980296134949,3
1,0.9236291646957397,3
1,0.9408902525901794,3
1,1.0642127990722656,3
1,1.0323967933654785,3
1,0.9411535859107971,3
1,1.0913243293762207,3
1,0.9535000920295715,3
1,1.0456244945526123,3
1,0.883103609085083,3
1,1.0971012115478516,3
1,0.9396183490753174,3
1,1.0426520109176636,3
1,0.9633307456970215,3
1,1.5415687561035156,3
1,1.1109988689422607,3
1,0.4129769206047058,3
1,0.8653887510299683,3
1,0.961447536945343,3
1,1.380613088607788,3
1,0.876616358757019,3
1,0.9717366099357605,3
1,1.0847711563110352,3
1,1.0439649820327759,3
1,0.9771248698234558,3
1,1.0142598152160645,3
1,1.109170913696289,3
1,1.0252538919448853,3
1,0.9134834408760071,3
1,0.6245837807655334,3
1,0.9360606670379639,3
1,0.9752917289733887,3
1,0.9069724678993225,3
1,1.067895770072937,3
1,1.0920804738998413,3
1,1.0069786310195923,3
1,1.188172698020935,3
1,0.9572620987892151,3
1,0.9369127750396729,3
1,1.127695083618164,3
1,1.0385849475860596,3
1,0.987896203994751,3
1,1.010123610496521,3
1,1.3888875246047974,3
1,1.0170108079910278,3
1,1.0869172811508179,3
1,0.7366691827774048,3
1,0.8926656246185303,3
1,0.9344382286071777,3
1,1.0022363662719727,3
1,1.0410714149475098,3
1,1.01497220993042,3
1,1.041203498840332,3
1,0.8625913858413696,3
1,1.0724592208862305,3
1,1.1783781051635742,3
1,1.1028341054916382,3
1,1.0884854793548584,3
1,1.024780035018921,3
1,1.0446292161941528,3
1,0.8903309106826782,3
1,3.0458579063415527,3
1,0.8899520635604858,3
1,1.0863574743270874,3
1,0.9646730422973633,3
1,1.064087152481079,3
1,1.1422393321990967,3
1,1.097180724143982,3
1,1.0325132608413696,3
1,0.97532719373703,3
1,1.0398658514022827,3
1,1.0462524890899658,3
1,0.9189728498458862,3
