truth,estimate,beta
1,1.0024181604385376,1
1,1.0224498510360718,1
1,0.9871850609779358,1
1,1.0053131580352783,1
1,0.9290211200714111,1
1,0.9750462174415588,1
1,1.006217122077942,1
1,1.0122424364089966,1
1,1.0295056104660034,1
1,1.0869885683059692,1
1,1.0262335538864136,1
1,1.0092062950134277,1
1,0.9658322334289551,1
1,1.0380375385284424,1
1,0.9992070198059082,1
1,0.9639796614646912,1
1,0.9872015118598938,1
1,1.0282505750656128,1
1,1.0001624822616577,1
1,0.9868699312210083,1
1,1.0647143125534058,1
1,0.9799299836158752,1
1,0.9620323777198792,1
1,0.9989876747131348,1
1,0.9420651197433472,1
1,1.017138123512268,1
1,1.0705006122589111,1
1,1.0047045946121216,1
1,1.0216037034988403,1
1,1.0141440629959106,1
1,0.9761895537376404,1
1,0.9445040822029114,1
1,1.0280911922454834,1
1,1.0580521821975708,1
1,0.9908156991004944,1
1,1.0199401378631592,1
1,1.0815647840499878,1
1,1.0018329620361328,1
1,0.9962661266326904,1
1,1.0089088678359985,1
1,1.0300036668777466,1
1,1.0296926498413086,1
1,0.9973112940788269,1
1,0.9959335923194885,1
1,0.9803510904312134,1
1,1.0136651992797852,1
1,1.0313969850540161,1
1,0.9407028555870056,1
1,0.9762470126152039,1
1,0.9900205731391907,1
1,1.0282853841781616,1
1,0.9847930669784546,1
1,1.0242422819137573,1
1,0.9349144697189331,1
1,0.954329252243042,1
1,1.0355719327926636,1
1,1.0015453100204468,1
1,1.0352511405944824,1
1,0.9931589961051941,1
1,0.9653961062431335,1
1,0.9571353197097778,1
1,1.0275582075119019,1
1,1.0279431343078613,1
1,1.021231770515442,1
1,0.996745228767395,1
1,1.0304757356643677,1
1,0.9904952049255371,1
1,1.0263065099716187,1
1,0.927203893661499,1
1,1.0773156881332397,1
1,0.9811074137687683,1
1,1.0335663557052612,1
1,1.049383282661438,1
1,0.9976478219032288,1
1,1.0083304643630981,1
1,1.0007193088531494,1
1,0.9658961892127991,1
1,1.0413256883621216,1
1,0.9647101759910583,1
1,1.0015075206756592,1
1,0.9604504108428955,1
1,1.0533579587936401,1
1,0.9648111462593079,1
1,0.9878605604171753,1
1,0.9965918064117432,1
1,0.9991999864578247,1
1,1.014871597290039,1
1,0.963528037071228,1
1,0.9935689568519592,1
1,0.9889033436775208,1
1,0.9466113448143005,1
1,1.0277490615844727,1
1,0.9907652139663696,1
1,1.005657434463501,1
1,0.9972147941589355,1
1,0.977859616279602,1
1,0.9769513607025146,1
1,1.0321344137191772,1
1,1.008999228477478,1
1,1.0342903137207031,1
1,0.9449418783187866,1
1,1.0043079853057861,1
1,1.0450843572616577,1
1,1.0140928030014038,1
1,1.0417344570159912,1
1,0.9977729916572571,1
1,0.9783129692077637,1
1,1.0182716846466064,1
1,1.027186393737793,1
1,0.9756730198860168,1
1,1.0297951698303223,1
1,0.971354067325592,1
1,0.982740044593811,1
1,0.947171688079834,1
