truth,estimate,beta
1,0.9232522249221802,2
1,1.014088749885559,2
1,1.0220884084701538,2
1,0.9287431836128235,2
1,1.1350789070129395,2
1,0.9174147844314575,2
1,1.1028780937194824,2
1,0.8983803987503052,2
1,1.0421241521835327,2
1,1.133937954902649,2
1,1.0852664709091187,2
1,1.1232374906539917,2
1,0.8528103232383728,2
1,0.9919434785842896,2
1,1.1109931468963623,2
1,0.8757624626159668,2
1,1.5025379657745361,2
1,1.3258707523345947,2
1,1.026937484741211,2
1,1.6027138233184814,2
1,0.8677398562431335,2
1,0.8877267241477966,2
1,1.0681041479110718,2
1,0.8686240315437317,2
1,0.9982099533081055,2
1,1.1351892948150635,2
1,1.0362380743026733,2
1,1.002955675125122,2
1,0.8726713061332703,2
1,0.9511343240737915,2
1,0.8767049908638,2
1,1.4357190132141113,2
1,0.9303023219108582,2
1,1.1138652563095093,2
1,0.9505213499069214,2
1,0.975559413433075,2
1,1.0583878755569458,2
1,0.9369665384292603,2
1,1.1453524827957153,2
1,1.1697832345962524,2
1,0.9781087040901184,2
1,0.9886818528175354,2
1,1.0732722282409668,2
1,1.1913288831710815,2
1,1.1944844722747803,2
1,1.3304299116134644,2
1,0.9546872973442078,2
1,0.9785408973693848,2
1,0.9048725366592407,2
1,0.7677926421165466,2
1,0.6689983606338501,2
1,1.065934658050537,2
1,1.2541131973266602,2
1,1.1453334093093872,2
1,0.9687662720680237,2
1,1.013358235359192,2
1,0.9934993982315063,2
1,0.841631293296814,2
1,1.0219342708587646,2
1,1.211235523223877,2
1,0.8638107180595398,2
1,1.0468884706497192,2
1,1.436625599861145,2
1,0.8528403043746948,2
1,1.016549825668335,2
1,1.0697076320648193,2
1,1.0742090940475464,2
1,0.9662652015686035,2
1,0.9603333473205566,2
1,1.0939276218414307,2
1,1.186760425567627,2
1,1.0898864269256592,2
1,0.8426753878593445,2
1,1.1213349103927612,2
1,1.0085376501083374,2
1,0.5128589272499084,2
1,1.1993861198425293,2
1,0.1398918181657791,2
1,1.0127694606781006,2
1,1.116840124130249,2
1,1.3982573747634888,2
1,0.9667050242424011,2
1,0.9741789102554321,2
1,0.8474563360214233,2
1,0.9996757507324219,2
1,0.8413640260696411,2
1,0.9180703163146973,2
1,0.9194057583808899,2
1,1.125296711921692,2
1,0.9811887741088867,2
1,0.9172954559326172,2
1,0.9968522787094116,2
1,1.0121610164642334,2
1,1.0654022693634033,2
1,0.7631812691688538,2
1,0.9427024126052856,2
1,1.1331264972686768,2
1,0.9783189296722412,2
1,1.1462910175323486,2
1,1.1808867454528809,2
1,0.9737243056297302,2
1,0.6344223022460938,2
1,1.2547450065612793,2
1,0.9168896079063416,2
1,1.6134060621261597,2
1,0.7490043044090271,2
1,0.9847421646118164,2
1,0.8240188360214233,2
1,0.9083622694015503,2
1,0.9995414614677429,2
1,1.0747661590576172,2
1,0.7182372808456421,2
1,1.0477315187454224,2
1,0.9359845519065857,2
1,0.8910042643547058,2
1,0.9875532388687134,2
1,0.9363454580307007,2
1,1.0563384294509888,2
1,0.8191736936569214,2
1,1.1083356142044067,2
1,1.1703046560287476,2
1,0.9830434322357178,2
1,1.0119891166687012,2
1,0.9767147898674011,2
1,1.0902836322784424,2
1,0.99748694896698,2
1,0.9831898808479309,2
1,0.8531841039657593,2
1,1.0439950227737427,2
1,0.9334973692893982,2
1,0.8036251068115234,2
1,0.9354516267776489,2
1,1.0546990633010864,2
1,0.990782618522644,2
1,1.0549527406692505,2
1,1.0697380304336548,2
1,0.9105335474014282,2
1,1.0788004398345947,2
1,1.0497914552688599,2
1,1.0367532968521118,2
1,1.1111193895339966,2
1,1.2910975217819214,2
1,0.931826114654541,2
1,0.8259482979774475,2
1,0.9604958295822144,2
1,0.9020265340805054,2
1,0.8240208029747009,2
1,1.0930349826812744,2
1,1.2448666095733643,2
1,0.9543516635894775,2
1,1.134982943534851,2
1,1.0364843606948853,2
1,0.7922368049621582,2
1,1.0971782207489014,2
1,0.7278100848197937,2
1,1.2270898818969727,2
1,0.9615795612335205,2
1,0.9691447615623474,2
1,1.0571902990341187,2
1,0.9403315186500549,2
1,0.8386074304580688,2
1,0.890658438205719,2
1,0.9260385036468506,2
1,0.9461216330528259,2
1,0.8620630502700806,2
1,0.912222683429718,2
1,1.0478202104568481,2
1,0.9439855813980103,2
1,1.7534502744674683,2
1,1.1233636140823364,2
1,0.7460175156593323,2
1,1.1074542999267578,2
1,1.2211692333221436,2
1,1.4812859296798706,2
1,0.768174946308136,2
1,0.9810481667518616,2
1,0.9328893423080444,2
1,1.1891298294067383,2
1,0.964745819568634,2
1,0.964787483215332,2
1,0.9820781946182251,2
1,0.6111915707588196,2
1,1.1946481466293335,2
1,0.8197466135025024,2
1,1.1704938411712646,2
1,1.047716736793518,2
1,1.047427773475647,2
1,0.7968865036964417,2
1,0.9772447943687439,2
1,0.8845667243003845,2
1,1.3446794748306274,2
1,1.1404136419296265,2
1,0.9710205793380737,2
1,0.7239840626716614,2
1,1.1692677736282349,2
1,1.1227267980575562,2
1,1.4502736330032349,2
1,0.39318224787712097,2
1,1.023938775062561,2
1,1.032151222229004,2
1,1.0553730726242065,2
1,0.9436653256416321,2
1,0.9386990070343018,2
1,0.9827432632446289,2
1,1.4739065170288086,2
1,0.5908516645431519,2
1,1.0612009763717651,2
1,1.076947808265686,2
1,0.9072757363319397,2
1,1.0101605653762817,2
1,0.9529288411140442,2
1,1.163699746131897,2
1,1.1699621677398682,2
1,0.7637448906898499,2
1,1.0275747776031494,2
1,0.9877985715866089,2
1,1.3353923559188843,2
1,1.2902785539627075,2
1,1.070270299911499,2
1,1.1207168102264404,2
1,1.210194706916809,2
1,1.1141314506530762,2
1,1.1008427143096924,2
1,1.1061210632324219,2
1,0.8892608284950256,2
1,0.8552436232566833,2
1,1.0033543109893799,2
1,0.8229973316192627,2
1,1.0766193866729736,2
1,0.8621482253074646,2
1,0.8263632655143738,2
1,1.6236958503723145,2
1,1.1399614810943604,2
1,0.8498445749282837,2
1,0.7275654077529907,2
1,0.8274880647659302,2
1,0.7397392392158508,2
1,0.9735816717147827,2
1,1.2896028757095337,2
1,1.0457770824432373,2
1,1.1429306268692017,2
1,1.113322377204895,2
1,1.0368359088897705,2
1,1.1621739864349365,2
1,0.9800736308097839,2
1,1.0464142560958862,2
1,1.020039677619934,2
1,1.0458581447601318,2
1,1.06052565574646,2
1,0.9459980726242065,2
1,1.1100797653198242,2
1,1.0269147157669067,2
1,0.9614666700363159,2
1,1.0388050079345703,2
1,0.9546523094177246,2
1,0.9288858771324158,2
1,0.9734258651733398,2
1,0.9394750595092773,2
1,0.9528622627258301,2
1,1.0840448141098022,2
1,1.161279320716858,2
1,0.8741544485092163,2
1,0.9172707200050354,2
1,1.0529640913009644,2
1,1.5023283958435059,2
1,1.1690787076950073,2
1,0.953373372554779,2
1,1.4262292385101318,2
1,1.1271123886108398,2
1,1.2466654777526855,2
1,1.2343491315841675,2
1,1.030259132385254,2
1,1.0762834548950195,2
1,1.0838500261306763,2
1,0.9974080920219421,2
1,0.9902781844139099,2
