truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.152902556180953830e+00,2.133087080142058944e+00,2.839104054782347841e+00,2.028651922571191868e+00,2.237522237712926021e+00
2.121539888279284192e+00,1.913297477483749454e+00,1.933150329476498452e+00,2.938279679079452755e+00,1.826906763952973023e+00,2.039393895000023882e+00
2.121539888279284192e+00,2.160446616291999966e+00,2.142709648087999241e+00,3.042587329153434883e+00,2.034596728029035795e+00,2.250822568146962688e+00
2.121539888279284192e+00,2.108196033358574084e+00,2.087047402318974676e+00,2.793625340506288079e+00,1.983452078543772590e+00,2.190642726094176762e+00
2.121539888279284192e+00,2.123739599227905117e+00,2.116363125870252659e+00,2.763244017550658516e+00,2.013332653592277310e+00,2.219393598148228008e+00
2.121539888279284192e+00,2.029049883961677736e+00,2.075768421915562545e+00,2.871951400984146918e+00,1.970730864337233879e+00,2.180805979493891211e+00
2.121539888279284192e+00,2.180440688014030570e+00,2.188909306358109319e+00,2.906937402138439097e+00,2.083233903713714419e+00,2.294584709002504219e+00
2.121539888279284192e+00,2.188362384796142646e+00,2.184465259642980772e+00,2.895254433331472477e+00,2.079002425283732691e+00,2.289928094002228853e+00
2.121539888279284192e+00,2.145268495321273949e+00,2.156956285678098606e+00,2.861141262968576626e+00,2.052116597220815741e+00,2.261795974135381471e+00
2.121539888279284192e+00,2.000132144868373985e+00,1.998392140296404218e+00,3.005064175117081682e+00,1.890947947642125371e+00,2.105836332950683065e+00
2.121539888279284192e+00,1.946626179337501483e+00,1.935932400434160705e+00,3.399137820293658852e+00,1.821660234748722962e+00,2.050204566119598226e+00
2.121539888279284192e+00,2.175839978337287928e+00,2.166689759015309136e+00,2.830887347249231745e+00,2.062405834879358579e+00,2.270973683151259692e+00
2.121539888279284192e+00,2.129056488811969849e+00,2.126343304946319623e+00,2.795861735046982322e+00,2.022706523631207176e+00,2.229980086261432071e+00
2.121539888279284192e+00,2.396036343097686760e+00,2.339161008434370359e+00,2.819381705718537745e+00,2.235089221860446784e+00,2.443232795008293934e+00
2.121539888279284192e+00,2.127272475600242796e+00,2.125271589582146348e+00,3.119142222801096320e+00,2.015806998215290857e+00,2.234736180949001838e+00
2.121539888279284192e+00,1.967681366562843426e+00,1.948673339077234612e+00,3.012147935300558910e+00,1.841102583254610403e+00,2.056244094899858599e+00
2.121539888279284192e+00,2.178235394120216384e+00,2.179279689020396482e+00,2.680565700614142788e+00,2.077802296486495948e+00,2.280757081554297017e+00
2.121539888279284192e+00,2.241648736774921602e+00,2.251087035029754713e+00,3.372019531812574300e+00,2.137271613256555902e+00,2.364902456802953523e+00
2.121539888279284192e+00,2.116436820507049621e+00,2.086584516001137590e+00,3.258239017654243952e+00,1.974705782498203499e+00,2.198463249504071459e+00
2.121539888279284192e+00,2.116255681037902736e+00,2.085041312144690906e+00,3.238089895609973290e+00,1.973509047113556125e+00,2.196573577175825687e+00
2.121539888279284192e+00,2.136682267785072309e+00,2.112980271253778408e+00,2.585815383660926337e+00,2.013312481181599889e+00,2.212648061325956927e+00
2.121539888279284192e+00,2.193531062126159448e+00,2.183276796876869152e+00,3.104922056579553225e+00,2.074062015035966322e+00,2.292491578717771983e+00
2.121539888279284192e+00,2.127951076388359120e+00,2.099850077886163291e+00,2.760616462423146178e+00,1.996868602843101526e+00,2.202831552929225278e+00
2.121539888279284192e+00,2.127231225728988484e+00,2.133993717379750965e+00,3.162139700842668599e+00,2.023777221904902834e+00,2.244210212854599096e+00
2.121539888279284192e+00,2.168761200785636944e+00,2.157868848266670359e+00,3.010643942483609337e+00,2.050324951324793421e+00,2.265412745208547296e+00
2.121539888279284192e+00,2.001435311317443677e+00,1.999254500474074936e+00,2.757121784961830357e+00,1.896338228441371676e+00,2.102170772506778196e+00
2.121539888279284192e+00,2.132942908883094901e+00,2.129053656703880026e+00,2.771899930928923617e+00,2.025861938166700238e+00,2.232245375241059815e+00
2.121539888279284192e+00,2.098811339914798957e+00,2.148303385740723215e+00,3.288399357719558935e+00,2.035908034535188538e+00,2.260698736946257892e+00
2.121539888279284192e+00,2.078157939314842384e+00,2.086769199322530355e+00,3.067959693428410795e+00,1.978206434258837465e+00,2.195331964386223245e+00
2.121539888279284192e+00,1.969332075774669732e+00,1.971540461626951624e+00,2.969606533045092700e+00,1.864732032852130628e+00,2.078348890401772842e+00
