truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
3.900644779205322266e+00,3.960777282714843750e+00,3.893092353858329080e+00,9.085080082079732833e+00,3.676939909873567114e+00,4.109244797843091490e+00
4.480182170867919922e+00,4.443021297454833984e+00,4.420960543568432044e+00,1.220559917233662617e+01,4.170421553556907135e+00,4.671499533579956953e+00
3.262089967727661133e+00,3.241055965423583984e+00,3.267577988951982260e+00,1.216262973635029532e+01,3.017480395162621676e+00,3.517675582741342843e+00
4.176565647125244141e+00,4.029945850372314453e+00,4.113427851483296926e+00,3.121889724956708179e+01,3.712741499779520282e+00,4.514114203187073571e+00
4.198097705841064453e+00,4.190830230712890625e+00,4.142739374980385136e+00,1.037932737529851579e+01,3.911702992636691079e+00,4.373775757324079194e+00
4.050867557525634766e+00,4.138698577880859375e+00,4.107529721024272718e+00,5.101977155786602935e+00,3.945548366875323065e+00,4.269511075173222814e+00
9.512514114379882812e+00,9.258599281311035156e+00,9.301077457974530560e+00,5.406928378427736561e+02,7.633557352844425381e+00,1.096859756310463574e+01
3.813905715942382812e+00,3.746190547943115234e+00,3.708994753325109972e+00,6.757715004327718766e+00,3.522573378486222317e+00,3.895416128163997627e+00
4.018697738647460938e+00,3.919423818588256836e+00,3.869864670400653406e+00,5.491488904900673873e+00,3.701813776976833559e+00,4.037915563824473253e+00
5.856798171997070312e+00,5.970858573913574219e+00,6.094719569068502096e+00,7.519538761264919913e+01,5.472861360204618997e+00,6.716577777932385196e+00
3.998421669006347656e+00,3.954151630401611328e+00,3.847251581364628858e+00,6.188416208894009785e+00,3.668855410668640182e+00,4.025647752060617535e+00
3.837826490402221680e+00,3.727742910385131836e+00,3.694093796460879098e+00,8.270636573233302258e+00,3.487857434420245983e+00,3.900330158501512212e+00
3.996880769729614258e+00,4.052501201629638672e+00,3.853759877242942888e+00,6.798835213300469249e+00,3.666772182283752013e+00,4.040747572202133320e+00
3.996414661407470703e+00,3.926300287246704102e+00,3.889525843298291985e+00,5.792040770110260084e+00,3.716937454045052824e+00,4.062114232551531146e+00
5.159478187561035156e+00,5.154332160949707031e+00,5.075655727566664055e+00,4.727999333812053351e+01,4.582556327902904236e+00,5.568755127230423874e+00
4.146531581878662109e+00,3.851238965988159180e+00,3.889052170271133591e+00,8.593942053887806409e+00,3.678823481779736060e+00,4.099280858762531565e+00
4.017841339111328125e+00,4.058715820312500000e+00,4.157894225797642562e+00,9.082813537973509099e+00,3.941768746330725826e+00,4.374019705264559299e+00
4.195672512054443359e+00,4.091636657714843750e+00,4.082733779835749921e+00,6.480880498554389746e+00,3.900170774177056821e+00,4.265296785494443021e+00
3.970606088638305664e+00,4.431362152099609375e+00,4.011104804323892381e+00,1.006011763729812181e+01,3.783648855353222817e+00,4.238560753294562389e+00
9.524009704589843750e+00,9.443066596984863281e+00,9.503768086580215879e+00,5.980892433960782455e+02,7.749973334038362971e+00,1.125756283912206790e+01
2.972411155700683594e+00,2.813606739044189453e+00,2.755051771874956756e+00,1.318593154342494245e+02,1.931575330990915607e+00,3.578528212758997906e+00
4.152459144592285156e+00,3.938396215438842773e+00,3.941764013903783948e+00,2.509942719674915068e+01,3.582488453357753233e+00,4.301039574449815106e+00
2.554089307785034180e+00,2.396350622177124023e+00,2.432917241808438380e+00,2.170511113078727590e+02,1.376399541592024267e+00,3.489434942024852493e+00
-6.039524078369140625e-01,-1.077070116996765137e+00,-1.281804303660085020e+00,5.039153888978941609e+02,-2.891614156313600859e+00,3.280055489934308177e-01
5.888222694396972656e+00,5.986959457397460938e+00,5.991462007876537932e+00,3.463833143969798130e+02,4.656790921647081305e+00,7.326133094105994559e+00
4.912479877471923828e+00,4.634657382965087891e+00,4.597453386647816664e+00,1.287786717435028372e+01,4.340107197711943421e+00,4.854799575583689908e+00
3.982511043548583984e+00,3.812606811523437500e+00,3.827158374824273679e+00,1.853996932112279339e+01,3.518377583376084861e+00,4.135939166272462941e+00
3.946067810058593750e+00,3.958793163299560547e+00,3.942062959527369070e+00,1.535120871907948015e+01,3.661088361411990011e+00,4.223037557642747686e+00
3.945005178451538086e+00,3.881575107574462891e+00,3.958881872440401573e+00,1.048600147589350939e+01,3.726661280532014064e+00,4.191102464348788637e+00
3.917155981063842773e+00,3.557419061660766602e+00,3.583071608912992367e+00,6.630037051216519650e+00,3.398419722766381046e+00,3.767723495059603689e+00
3.569846153259277344e+00,3.376601457595825195e+00,3.470803354139947228e+00,3.306902350425628612e+01,3.058414939645101249e+00,3.883191768634793206e+00
8.456130027770996094e+00,8.525541305541992188e+00,8.514250689820455520e+00,2.871918624600571093e+02,7.298955341808153641e+00,9.729546037832756511e+00
4.238669395446777344e+00,4.197218418121337891e+00,4.157148174858942724e+00,6.798052427415168353e+00,3.970171244651147902e+00,4.344125105066737547e+00
3.850164890289306641e+00,3.951640605926513672e+00,3.866622157945949656e+00,9.242321585861324351e+00,3.648607191545417905e+00,4.084637124346481407e+00
4.086616516113281250e+00,4.025294780731201172e+00,4.036023873422192487e+00,1.085540727681356010e+01,3.799748296919493562e+00,4.272299449924891412e+00
4.354537963867187500e+00,4.343876361846923828e+00,4.380707025443135727e+00,1.192994790239455050e+01,4.133013277871402380e+00,4.628400773014869074e+00
6.805806636810302734e+00,6.701200008392333984e+00,6.732022161207706468e+00,1.811831015966720599e+02,5.766739255278594989e+00,7.697305067136817947e+00
4.133590221405029297e+00,4.016502857208251953e+00,4.014742593568892737e+00,2.348166199421195444e+01,3.667238290595592254e+00,4.362246896542193220e+00
4.031655311584472656e+00,3.515389919281005859e+00,3.589508068768155979e+00,1.374937828012492425e+01,3.323596458002100906e+00,3.855419679534211053e+00
4.745875358581542969e+00,4.583578586578369141e+00,4.683541461977863918e+00,1.952445558637533907e+01,4.366668460967622956e+00,5.000414462988104880e+00
4.167219638824462891e+00,4.091496944427490234e+00,4.136042435667455663e+00,3.244249982063288229e+01,3.727579244594170227e+00,4.544505626740741100e+00
3.780700922012329102e+00,3.790417432785034180e+00,3.767773796862893931e+00,8.090896918961009376e+00,3.563790735895024930e+00,3.971756857830762932e+00
4.094982624053955078e+00,4.058388710021972656e+00,4.071004120754330380e+00,9.750632913074140262e+00,3.847074175578299116e+00,4.294934065930361200e+00
4.591365337371826172e+00,4.280741691589355469e+00,4.294402739297881411e+00,1.974470725619694988e+01,3.975747458554477642e+00,4.613058020041285623e+00
3.721488237380981445e+00,3.597066879272460938e+00,3.625566985070610482e+00,1.098472511145291186e+01,3.387888228307321281e+00,3.863245741833899682e+00
3.838595867156982422e+00,3.792368412017822266e+00,3.806669077614289076e+00,6.121934363776590615e+00,3.629233745004879719e+00,3.984104410223698434e+00
9.150065422058105469e+00,8.763964653015136719e+00,8.860281250464518976e+00,9.400472791159679673e+02,6.661557747282962794e+00,1.105900475364607516e+01
5.439280033111572266e+00,5.172737598419189453e+00,5.328061726784278918e+00,6.161127934273710594e+01,4.765168680141687041e+00,5.890954773426870794e+00
6.535395622253417969e+00,6.374534606933593750e+00,6.458288025772964680e+00,5.786146098185296438e+01,5.912793410297646268e+00,7.003782641248283092e+00
4.309727668762207031e+00,3.865496397018432617e+00,3.856426012475338894e+00,2.119931207612318858e+01,3.526241533449439025e+00,4.186610491501238762e+00
5.295634269714355469e+00,5.313481807708740234e+00,5.268456350739501026e+00,3.655827280861328177e+01,4.834857018074838919e+00,5.702055683404163133e+00
5.728245735168457031e+00,5.782272338867187500e+00,5.763237848210544634e+00,5.494907969697695194e+01,5.231648852657921900e+00,6.294826843763167368e+00
4.130071163177490234e+00,4.060022830963134766e+00,4.017727783269284814e+00,8.396511697120086382e+00,3.809927938346962861e+00,4.225527628191606766e+00
4.544540882110595703e+00,4.309791088104248047e+00,4.364264542404845848e+00,4.554874662296459320e+01,3.880277219965332147e+00,4.848251864844359105e+00
4.384682655334472656e+00,4.405225276947021484e+00,4.543031957782206476e+00,1.001861513852093211e+01,4.316045672625032914e+00,4.770018242939380038e+00
3.554698228836059570e+00,3.605562925338745117e+00,3.516003334616205400e+00,2.659483359592502794e+01,3.146179915805899618e+00,3.885826753426511182e+00
3.919756412506103516e+00,3.886425256729125977e+00,3.831300355704528204e+00,1.083619911713698158e+01,3.595233911309732022e+00,4.067366800099324387e+00
4.990463256835937500e+00,4.857692241668701172e+00,4.981286937763360179e+00,6.727410790294297271e+01,4.393094083424317731e+00,5.569479792102402627e+00
5.993885517120361328e+00,6.190922737121582031e+00,6.167488632631312306e+00,1.017261661471716536e+02,5.444199218356611247e+00,6.890778046906013365e+00
4.255920410156250000e+00,4.425573825836181641e+00,4.462191880127024390e+00,1.076096568910511309e+01,4.226946342641936027e+00,4.697437417612112753e+00
3.794578075408935547e+00,3.720663547515869141e+00,3.716703087829833940e+00,7.340556920680112896e+00,3.522408691259059310e+00,3.910997484400608570e+00
5.033155918121337891e+00,4.775191783905029297e+00,4.758363552302990129e+00,2.676434630109538659e+01,4.387363397595624548e+00,5.129363707010355711e+00
4.543160438537597656e+00,4.519954681396484375e+00,4.642838087009836023e+00,8.951092086992331076e+01,3.964363191216274007e+00,5.321312982803398484e+00
4.165677547454833984e+00,3.897851705551147461e+00,3.926915772926422132e+00,7.520977886764618425e+00,3.730248123858713960e+00,4.123583421994130305e+00
7.831327438354492188e+00,7.571285724639892578e+00,7.745922388822473970e+00,2.690497697083873163e+02,6.569638678479659433e+00,8.922206099165288506e+00
5.273782730102539062e+00,5.121827125549316406e+00,5.036722625749137983e+00,3.153534388854427917e+01,4.634010639479567040e+00,5.439434612018708926e+00
4.413584709167480469e+00,4.419414043426513672e+00,4.448801060145162189e+00,9.171437819769449717e+00,4.231623733205673865e+00,4.665978387084650514e+00
4.616653919219970703e+00,4.400488853454589844e+00,4.501958251633423558e+00,8.007418490248679177e+01,3.860243483998669234e+00,5.143673019268177882e+00
6.139501571655273438e+00,5.728421688079833984e+00,5.809143531081123690e+00,3.868295163699132786e+02,4.398700423702398332e+00,7.219586638459849048e+00
