truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,3.979962825775145596e+00,3.972503090449988949e+00,1.029155776546943279e+01,3.742445626259505609e+00,4.202560554640472290e+00,1.000000000000000000e+00
4.050838947296143466e+00,4.440657615661621094e+00,4.310172938308536317e+00,1.162545787944075926e+01,4.065660585897718171e+00,4.554685290719353574e+00,1.000000000000000000e+00
4.099163055419921875e+00,3.834568023681640625e+00,3.878265277261427002e+00,1.157361598725552376e+01,3.634298716094961801e+00,4.122231838427892647e+00,1.000000000000000000e+00
4.273678302764892578e+00,4.326422691345214844e+00,4.309712967909314685e+00,1.370664405976094358e+01,4.044214916527034021e+00,4.575211019291595349e+00,1.000000000000000000e+00
4.162439823150634766e+00,4.399453163146972656e+00,4.462454943564851284e+00,1.587650816762266359e+01,4.176713479230254933e+00,4.748196407899447635e+00,1.000000000000000000e+00
4.003967761993408203e+00,4.047372341156005859e+00,4.004217208117506033e+00,1.033681160442361069e+01,3.773654496615524767e+00,4.234779919619486854e+00,1.000000000000000000e+00
3.990549325942992720e+00,3.622644186019897461e+00,3.641462705401131039e+00,9.083537978702903359e+00,3.425328607075230458e+00,3.857596803727032064e+00,1.000000000000000000e+00
3.853653192520141602e+00,3.778733968734740767e+00,3.759176159007792783e+00,1.295115699496129835e+01,3.501098711669940133e+00,4.017253606345645878e+00,1.000000000000000000e+00
1.046603775024414062e+01,1.036464977264404119e+01,1.022185631445471010e+01,7.358840031938229913e+02,8.276494210091042802e+00,1.216721841881837562e+01,1.000000000000000000e+00
4.586000442504882812e+00,4.589274406433105469e+00,4.626679124737624882e+00,8.969432902666012808e+01,3.947509486053100591e+00,5.305848763422148728e+00,1.000000000000000000e+00
3.947785377502441406e+00,3.715229511260985440e+00,3.684515239891859029e+00,1.524222000561379531e+01,3.404539833691488049e+00,3.964490646092230453e+00,1.000000000000000000e+00
4.161348342895507812e+00,4.297038555145263672e+00,4.130561911727432367e+00,3.482980574185177858e+01,3.707336928379350471e+00,4.553786895075512930e+00,1.000000000000000000e+00
1.264884281158447266e+01,1.262511634826659979e+01,1.241431456961817936e+01,1.238458789682716088e+03,9.890621411323696321e+00,1.493800772791266240e+01,1.000000000000000000e+00
3.861299991607665572e+00,3.975676059722899947e+00,3.851468336224553646e+00,1.209705652240665685e+01,3.602045837680906804e+00,4.100890834768200932e+00,1.000000000000000000e+00
3.907582044601439986e+00,4.357993125915527344e+00,4.181239558419257207e+00,1.633354164798956631e+01,3.891414486321930433e+00,4.471064630516583982e+00,1.000000000000000000e+00
4.532751560211181641e+00,4.624413967132568359e+00,4.517377225681515895e+00,1.142577080648622356e+01,4.274973927554817976e+00,4.759780523808213815e+00,1.000000000000000000e+00
3.636982202529907227e+00,3.588484525680541548e+00,3.412515808531409345e+00,3.388688171576431074e+01,2.995058975759502307e+00,3.829972641303315939e+00,1.000000000000000000e+00
3.768761873245239258e+00,3.702183723449707031e+00,3.715467030670320803e+00,2.264835367866188420e+01,3.374184475516374793e+00,4.056749585824267257e+00,1.000000000000000000e+00
3.941148042678833008e+00,4.069100856781005859e+00,4.022300166365521790e+00,1.994735727076034237e+01,3.702013799161831820e+00,4.342586533569211760e+00,1.000000000000000000e+00
4.235950946807860440e+00,4.097145557403564453e+00,4.020447298544886472e+00,1.142767680899245164e+01,3.778023782875099990e+00,4.262870814214672954e+00,1.000000000000000000e+00
3.155158281326293501e+00,3.001036643981933150e+00,2.889715653337685097e+00,9.993002133921154950e+01,2.172840116410903022e+00,3.606591190264468061e+00,1.000000000000000000e+00
4.087269783020020419e+00,2.779824733734130859e+00,3.013320638123373030e+00,3.182888079444432705e+01,2.608738733746380767e+00,3.417902542500365737e+00,1.000000000000000000e+00
4.312510013580321377e+00,4.442705154418944424e+00,4.431905811755008529e+00,1.814563085352734362e+01,4.126426498063248793e+00,4.737385125446768264e+00,1.000000000000000000e+00
3.835491657257080078e+00,4.033939838409423828e+00,3.817650351735196068e+00,4.326517252331215246e+01,3.345951313912128189e+00,4.289349389558263503e+00,1.000000000000000000e+00
4.595643520355224609e+00,5.024086475372313565e+00,4.830779072906765670e+00,1.741900576955913849e+01,4.531478566293730026e+00,5.130079579519800426e+00,1.000000000000000000e+00
4.412825107574462891e+00,4.106794357299804688e+00,3.918012695695420877e+00,2.979026544697445615e+02,2.680262633115082505e+00,5.155762758275759694e+00,1.000000000000000000e+00
3.755508899688720703e+00,3.924288988113403320e+00,3.912899097832295947e+00,1.190241202606337012e+01,3.665491370142457406e+00,4.160306825522135377e+00,1.000000000000000000e+00
1.046998977661132812e+01,1.032803440093993963e+01,1.038658248464865963e+01,1.875351337324139649e+03,7.281042740089049836e+00,1.349212222920827209e+01,1.000000000000000000e+00
3.745059013366699219e+00,3.998911619186400923e+00,3.916617972719255381e+00,1.952938457482056478e+01,3.599704976616903807e+00,4.233530968821606066e+00,1.000000000000000000e+00
4.384593009948729581e+00,4.141778469085692471e+00,4.309617057790040562e+00,1.770536691099565729e+01,4.007866392688428370e+00,4.611367722891651866e+00,1.000000000000000000e+00
4.335573196411132812e+00,4.237253189086913174e+00,4.176985859927325961e+00,1.687146150796078459e+01,3.882426977677229551e+00,4.471544742177420595e+00,1.000000000000000000e+00
4.022887229919433594e+00,4.197639465332031250e+00,4.146571147279793479e+00,8.735190348039548525e+00,3.934621861710537516e+00,4.358520432849051218e+00,1.000000000000000000e+00
4.156628608703612393e+00,4.378014087677001953e+00,4.289155711147465411e+00,2.290413173622475540e+01,3.945951437673930418e+00,4.632359984620999960e+00,1.000000000000000000e+00
6.789415359497070312e+00,7.315546035766601562e+00,7.127868255151347476e+00,1.437106640311043975e+03,4.409299829853949859e+00,9.846436680448743317e+00,1.000000000000000000e+00
3.755501270294189009e+00,3.680667638778687412e+00,3.592008912320503899e+00,4.462858518499236737e+01,3.112935212106746174e+00,4.071082612534262068e+00,1.000000000000000000e+00
4.881726741790771484e+00,5.493278980255126953e+00,5.093967939763651032e+00,4.167974671643475659e+01,4.630992123541282091e+00,5.556943755986019085e+00,1.000000000000000000e+00
3.343385219573974609e+00,3.170585393905640093e+00,3.090332500896836976e+00,1.209325092247303246e+02,2.301713380502308670e+00,3.878951621291364837e+00,1.000000000000000000e+00
4.042727947235107422e+00,3.947215318679809570e+00,3.968198773199928642e+00,1.531714192859585566e+01,3.687536112054376147e+00,4.248861434345482024e+00,1.000000000000000000e+00
6.221156597137451172e+00,6.047864437103272373e+00,6.087840829859800351e+00,9.840154324687186715e+01,5.376468898437490651e+00,6.799212761282108275e+00,1.000000000000000000e+00
4.390372753143311435e+00,4.209591388702392578e+00,4.071808541699864392e+00,2.329666610786393477e+01,3.725675819362728181e+00,4.417941264036999272e+00,1.000000000000000000e+00
4.229770660400391513e+00,4.279948711395263672e+00,4.278230664876164546e+00,1.008382464617687191e+01,4.050506869775409413e+00,4.505954459976921456e+00,1.000000000000000000e+00
3.993759870529175249e+00,4.130299091339111328e+00,4.102246446737743746e+00,9.572444808385171200e+00,3.880372041631864999e+00,4.324120851843622937e+00,1.000000000000000000e+00
