truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,4.291595458984375000e+00,4.140735424873001058e+00,1.191696335278910901e+01,3.893176508877254971e+00,4.388294340868746701e+00,2.500000000000000000e-01
4.050838947296142578e+00,3.864374160766601562e+00,4.122629466378319840e+00,1.230495816484056348e+01,3.871072793997962780e+00,4.374186138758677345e+00,2.500000000000000000e-01
4.099163055419921875e+00,4.150359630584716797e+00,4.065790626291128973e+00,1.168569262159931554e+01,3.820645648900318658e+00,4.310935603681939732e+00,2.500000000000000000e-01
4.273678302764892578e+00,4.203519344329833984e+00,4.387032378994542903e+00,1.673663701139321347e+01,4.093652808106562624e+00,4.680411949882523182e+00,2.500000000000000000e-01
4.162439823150634766e+00,4.170044898986816406e+00,4.345106908464785533e+00,1.848945767282766539e+01,4.036747036393105503e+00,4.653466780536465564e+00,2.500000000000000000e-01
4.003967761993408203e+00,3.969398975372314453e+00,4.171736562372262647e+00,1.031252549095875892e+01,3.941444861178658776e+00,4.402028263565866517e+00,2.500000000000000000e-01
3.990549325942993164e+00,3.779285669326782227e+00,3.746607273753916445e+00,9.824042946908715379e+00,3.521835953447725931e+00,3.971378594060106959e+00,2.500000000000000000e-01
3.853653192520141602e+00,3.667676925659179688e+00,3.799533921433861927e+00,1.476793456512803360e+01,3.523948873991110009e+00,4.075118968876614289e+00,2.500000000000000000e-01
1.046603775024414062e+01,1.090716648101806641e+01,1.042546734622233373e+01,7.573154988677321171e+02,8.451980695941740507e+00,1.239895399650292696e+01,2.500000000000000000e-01
4.586000442504882812e+00,5.070718288421630859e+00,4.889389321146597744e+00,9.533935818942107687e+01,4.189173559389772983e+00,5.589605082903422506e+00,2.500000000000000000e-01
3.947785377502441406e+00,4.030387878417968750e+00,3.970271876000006195e+00,1.093816625580739910e+01,3.733097355875270917e+00,4.207446396124741916e+00,2.500000000000000000e-01
4.161348342895507812e+00,4.960230350494384766e+00,5.011129602100194091e+00,3.045716139793569965e+01,4.615361778349519106e+00,5.406897425850869077e+00,2.500000000000000000e-01
1.264884281158447266e+01,1.370025062561035156e+01,1.347187641605568409e+01,1.249738892602470060e+03,1.093671618653971223e+01,1.600703664557165595e+01,2.500000000000000000e-01
3.861299991607666016e+00,3.836793899536132812e+00,3.817327609702906077e+00,1.328228996430973474e+01,3.555971745563472730e+00,4.078683473842339424e+00,2.500000000000000000e-01
3.907582044601440430e+00,4.617449760437011719e+00,4.429803716055302765e+00,2.124372958305751879e+01,4.099273511252707003e+00,4.760333920857898526e+00,2.500000000000000000e-01
4.532751560211181641e+00,4.575324535369873047e+00,4.737038123368844111e+00,1.059556534190493160e+01,4.503607495869577093e+00,4.970468750868111130e+00,2.500000000000000000e-01
3.636982202529907227e+00,4.664711475372314453e+00,4.609672198462932080e+00,2.598372763589133427e+01,4.244122442692491504e+00,4.975221954233372657e+00,2.500000000000000000e-01
3.768761873245239258e+00,3.671215772628784180e+00,3.666611773552173048e+00,2.099046199010681590e+01,3.338057765837254998e+00,3.995165781267091099e+00,2.500000000000000000e-01
3.941148042678833008e+00,4.234901428222656250e+00,4.048978105220610857e+00,2.036802498105459591e+01,3.725332115602309369e+00,4.372624094838912789e+00,2.500000000000000000e-01
4.235950946807861328e+00,4.845023155212402344e+00,4.621728828630673469e+00,3.038569145180432685e+01,4.226425626610022412e+00,5.017032030651324526e+00,2.500000000000000000e-01
3.155158281326293945e+00,3.949023962020874023e+00,3.346385982007143323e+00,1.126439395784289417e+02,2.585272025010691976e+00,4.107499939003594669e+00,2.500000000000000000e-01
4.087269783020019531e+00,4.368895053863525391e+00,4.314183160455942634e+00,9.209111968999083686e+00,4.096560233492422043e+00,4.531806087419463225e+00,2.500000000000000000e-01
4.312510013580322266e+00,4.519712448120117188e+00,4.473252282133500124e+00,1.933389677653213568e+01,4.157929413969693400e+00,4.788575150297306848e+00,2.500000000000000000e-01
3.835491657257080078e+00,3.687531948089599609e+00,3.670245972212959895e+00,5.051089189538173940e+01,3.160576889996665528e+00,4.179915054429254262e+00,2.500000000000000000e-01
4.595643520355224609e+00,4.926523685455322266e+00,4.681014990624141170e+00,1.813386439455056731e+01,4.375634736389885759e+00,4.986395244858396580e+00,2.500000000000000000e-01
4.412825107574462891e+00,3.924140930175781250e+00,3.702008283192758320e+00,2.842549659289562101e+02,2.492942861918158393e+00,4.911073704467358247e+00,2.500000000000000000e-01
3.755508899688720703e+00,4.065699100494384766e+00,3.951330908317825408e+00,1.262806709577395026e+01,3.696492894946448615e+00,4.206168921689202200e+00,2.500000000000000000e-01
1.046998977661132812e+01,1.014872646331787109e+01,1.014084811339424697e+01,1.832181284424906835e+03,7.071260796694872397e+00,1.321043543009362153e+01,2.500000000000000000e-01
3.745059013366699219e+00,4.077489852905273438e+00,4.057937526672709794e+00,2.155794176888411329e+01,3.724971887906701973e+00,4.390903165438717615e+00,2.500000000000000000e-01
4.384593009948730469e+00,4.053581714630126953e+00,4.310785885700116893e+00,1.856862992928300926e+01,4.001766517058125139e+00,4.619805254342108647e+00,2.500000000000000000e-01
4.335573196411132812e+00,4.437437057495117188e+00,4.306624023125031897e+00,1.735317900983538664e+01,4.007889583014066837e+00,4.605358463235996958e+00,2.500000000000000000e-01
4.022887229919433594e+00,4.108889102935791016e+00,4.144610245573108642e+00,9.844133976641431971e+00,3.919609204121805579e+00,4.369611287024411261e+00,2.500000000000000000e-01
4.156628608703613281e+00,4.398969650268554688e+00,4.282705076294733182e+00,2.074475499406270984e+01,3.956079698227885633e+00,4.609330454361580287e+00,2.500000000000000000e-01
6.789415359497070312e+00,6.506772041320800781e+00,6.915992020225711023e+00,1.431141675324661492e+03,4.203071410839159583e+00,9.628912629612262464e+00,2.500000000000000000e-01
3.755501270294189453e+00,4.013446331024169922e+00,3.705539833862300902e+00,4.340662755085804037e+01,3.233070317765868840e+00,4.178009349958732521e+00,2.500000000000000000e-01
4.881726741790771484e+00,5.756501197814941406e+00,5.127399812336118856e+00,4.832456811023336485e+01,4.628883055381831646e+00,5.625916569290406066e+00,2.500000000000000000e-01
3.343385219573974609e+00,3.077406406402587891e+00,3.108272537564566562e+00,1.177848868316331590e+02,2.329984142232581323e+00,3.886560932896551801e+00,2.500000000000000000e-01
4.042727947235107422e+00,4.046335220336914062e+00,4.014059468429788780e+00,1.441263547866998529e+01,3.741809729609659296e+00,4.286309207249917819e+00,2.500000000000000000e-01
6.221156597137451172e+00,5.824812412261962891e+00,6.246708552410376036e+00,1.020745598322372700e+02,5.522181629203351427e+00,6.971235475617400645e+00,2.500000000000000000e-01
4.390372753143310547e+00,4.044376373291015625e+00,4.223695430274083229e+00,2.456899631552178320e+01,3.868236460333073001e+00,4.579154400215093901e+00,2.500000000000000000e-01
4.229770660400390625e+00,4.141372680664062500e+00,4.370354521063522846e+00,1.225908275597173613e+01,4.119267214009763478e+00,4.621441828117282213e+00,2.500000000000000000e-01
3.993759870529174805e+00,4.039532661437988281e+00,4.103822292489781809e+00,8.808996773171049455e+00,3.890979476632319134e+00,4.316665108347244484e+00,2.500000000000000000e-01
4.499260902404785156e+00,4.574904918670654297e+00,4.701633066305377362e+00,1.596069039090808772e+01,4.415135058093941467e+00,4.988131074516813257e+00,2.500000000000000000e-01
