truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,4.500292778015136719e+00,4.215683946937569537e+00,1.654757499319968517e+01,3.923966133650727883e+00,4.507401760224411191e+00,5.000000000000000000e-01
4.050838947296142578e+00,3.672001600265502930e+00,4.090232136122013529e+00,1.330495421683934332e+01,3.828653384565987583e+00,4.351810887678039919e+00,5.000000000000000000e-01
4.099163055419921875e+00,4.076712608337402344e+00,4.078529622944909505e+00,1.200170095784646662e+01,3.830092111038650327e+00,4.326967134851168240e+00,5.000000000000000000e-01
4.273678302764892578e+00,4.242023944854736328e+00,4.483644957228361427e+00,1.765726160921262533e+01,4.182304497691061052e+00,4.784985416765661803e+00,5.000000000000000000e-01
4.162439823150634766e+00,4.355238914489746094e+00,4.496808609495860587e+00,1.800447120909598198e+01,4.192519817713501240e+00,4.801097401278219934e+00,5.000000000000000000e-01
4.003967761993408203e+00,4.284855365753173828e+00,4.245635675461190139e+00,1.099058981558085435e+01,4.007893479259506897e+00,4.483377871662873382e+00,5.000000000000000000e-01
3.990549325942993164e+00,3.716959238052368164e+00,3.752097821913359166e+00,9.401074999381807018e+00,3.532218429033642693e+00,3.971977214793075639e+00,5.000000000000000000e-01
3.853653192520141602e+00,3.744694232940673828e+00,3.794002632882291337e+00,1.512405650616102548e+01,3.515114576203528962e+00,4.072890689561053712e+00,5.000000000000000000e-01
1.046603775024414062e+01,1.122281074523925781e+01,1.040351836907955807e+01,8.189062685852811683e+02,8.351350572368058778e+00,1.245568616579105736e+01,5.000000000000000000e-01
4.586000442504882812e+00,6.354712963104248047e+00,6.361995989101604465e+00,1.209627968222705192e+02,5.573278119895257454e+00,7.150713858307951476e+00,5.000000000000000000e-01
3.947785377502441406e+00,4.416265964508056641e+00,4.297610642770592015e+00,1.622422560927597601e+01,4.008757059842711357e+00,4.586464225698472674e+00,5.000000000000000000e-01
4.161348342895507812e+00,6.039398670196533203e+00,5.132665724720627765e+00,8.790261497607978924e+01,4.460313776089961380e+00,5.805017673351294150e+00,5.000000000000000000e-01
1.264884281158447266e+01,1.313694190979003906e+01,1.268747093117050362e+01,1.282485898858479459e+03,1.011931097620466424e+01,1.525563088613634299e+01,5.000000000000000000e-01
3.861299991607666016e+00,3.839448928833007812e+00,3.820976338330006605e+00,1.326450075655135130e+01,3.559795552115731176e+00,4.082157124544282034e+00,5.000000000000000000e-01
3.907582044601440430e+00,4.463242053985595703e+00,4.456359430334148719e+00,2.068154504716292408e+01,4.130232051015772399e+00,4.782486809652525039e+00,5.000000000000000000e-01
4.532751560211181641e+00,4.424746036529541016e+00,4.784581078503965301e+00,1.186095750186649234e+01,4.537604570781007318e+00,5.031557586226923284e+00,5.000000000000000000e-01
