truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,4.006684780120849609e+00,4.058072767725712460e+00,7.517792101325500909e+00,3.861446775960074795e+00,4.254698759491350124e+00,6.250000000000000000e-02
4.050838947296142578e+00,4.290085315704345703e+00,4.256505358223810376e+00,7.196541560605109744e+00,4.064126346507642040e+00,4.448884369939978711e+00,6.250000000000000000e-02
4.099163055419921875e+00,4.003207683563232422e+00,3.982933028148812227e+00,6.059392400034174564e+00,3.806406366021731102e+00,4.159459690275893351e+00,6.250000000000000000e-02
4.273678302764892578e+00,4.100463867187500000e+00,4.086890479085039551e+00,8.116897456324540627e+00,3.882579925678659283e+00,4.291201032491419376e+00,6.250000000000000000e-02
4.162439823150634766e+00,4.240866184234619141e+00,4.251417275835788878e+00,1.282740266378808336e+01,3.994575813233027795e+00,4.508258738438549962e+00,6.250000000000000000e-02
4.003967761993408203e+00,4.005304336547851562e+00,4.003694912234457171e+00,1.140654631205837211e+00,3.927104773799129589e+00,4.080285050669784752e+00,6.250000000000000000e-02
3.990549325942993164e+00,3.712017774581909180e+00,3.739924545731597050e+00,6.395124438189970562e+00,3.558573413979909450e+00,3.921275677483284650e+00,6.250000000000000000e-02
3.853653192520141602e+00,3.747367143630981445e+00,3.755139930493663236e+00,6.150601947344718212e+00,3.577289639070803773e+00,3.932990221916522700e+00,6.250000000000000000e-02
1.046603775024414062e+01,1.029553985595703125e+01,1.027042928398732435e+01,7.289542866995616350e+02,8.334248446534031629e+00,1.220661012144061708e+01,6.250000000000000000e-02
4.586000442504882812e+00,4.700577735900878906e+00,4.705887724866046895e+00,7.955669012406023910e+01,4.066249920748791880e+00,5.345525528983301911e+00,6.250000000000000000e-02
3.947785377502441406e+00,3.983676910400390625e+00,3.990961663576156671e+00,9.055088140512760120e+00,3.775166299033206663e+00,4.206757028119106678e+00,6.250000000000000000e-02
4.161348342895507812e+00,3.971007347106933594e+00,4.095886645700852036e+00,2.247948724148469424e+01,3.755878774725560199e+00,4.435894516676143873e+00,6.250000000000000000e-02
1.264884281158447266e+01,1.255887889862060547e+01,1.254902372485500273e+01,1.226912878987447584e+03,1.003712206388674844e+01,1.506092538582325702e+01,6.250000000000000000e-02
3.861299991607666016e+00,3.831592082977294922e+00,3.831086917720631924e+00,7.090127199282291182e-01,3.770702791850248925e+00,3.891471043591014922e+00,6.250000000000000000e-02
3.907582044601440430e+00,4.235472679138183594e+00,4.200191057729460553e+00,1.010065464794939949e+01,3.972277305237316813e+00,4.428104810221603849e+00,6.250000000000000000e-02
4.532751560211181641e+00,4.611393451690673828e+00,4.540448261014893738e+00,7.608102535486108486e+00,4.342644771454267527e+00,4.738251750575519949e+00,6.250000000000000000e-02
3.636982202529907227e+00,3.852079868316650391e+00,3.852569627542888231e+00,2.456547381079542092e+01,3.497136139936768640e+00,4.208003115149008266e+00,6.250000000000000000e-02
3.768761873245239258e+00,2.875000238418579102e+00,2.845731800137190071e+00,4.697654896020073689e-01,2.796580351197493819e+00,2.894883249076886322e+00,6.250000000000000000e-02
3.941148042678833008e+00,3.896430015563964844e+00,3.874899800236609959e+00,1.519014570221639637e+01,3.595403064404371296e+00,4.154396536068848178e+00,6.250000000000000000e-02
4.235950946807861328e+00,4.184361934661865234e+00,4.151399092415761771e+00,6.474952854392826751e+00,3.968919595170435688e+00,4.333878589661087410e+00,6.250000000000000000e-02
3.155158281326293945e+00,3.089903116226196289e+00,3.146870757864844048e+00,7.966251178763178586e+01,2.506807690687596679e+00,3.786933825042091417e+00,6.250000000000000000e-02
4.087269783020019531e+00,4.095898628234863281e+00,4.100215555634661335e+00,8.381382281031982018e+00,3.892603009195775066e+00,4.307828102073547605e+00,6.250000000000000000e-02
4.312510013580322266e+00,4.343575477600097656e+00,4.316312221453845410e+00,1.169033888718575298e+01,4.071118513726150745e+00,4.561505929181540075e+00,6.250000000000000000e-02
3.835491657257080078e+00,4.042384147644042969e+00,3.919485995560296754e+00,4.167176399425018474e+01,3.456554517230877366e+00,4.382417473889716142e+00,6.250000000000000000e-02
4.595643520355224609e+00,4.841725349426269531e+00,4.742411546095883779e+00,1.324248645407636893e+01,4.481447582984478650e+00,5.003375509207288907e+00,6.250000000000000000e-02
4.412825107574462891e+00,4.271254062652587891e+00,4.292230633257910100e+00,2.714323970873102780e+02,3.110749988081193518e+00,5.473711278434626237e+00,6.250000000000000000e-02
3.755508899688720703e+00,3.860978364944458008e+00,3.885258429180548312e+00,8.660802845182869802e+00,3.674213536483108111e+00,4.096303321877988068e+00,6.250000000000000000e-02
1.046998977661132812e+01,1.033380603790283203e+01,1.036353201653169087e+01,1.845789098281729366e+03,7.282566704225390097e+00,1.344449732883799165e+01,6.250000000000000000e-02
3.745059013366699219e+00,3.735604524612426758e+00,3.733697790799904048e+00,9.553438691786380943e+00,3.512043761271043785e+00,3.955351820328764312e+00,6.250000000000000000e-02
4.384593009948730469e+00,4.163281917572021484e+00,4.166167796356720743e+00,8.385297456116505899e+00,3.958506764802907973e+00,4.373828827910533512e+00,6.250000000000000000e-02
4.335573196411132812e+00,4.250340461730957031e+00,4.244610980381752441e+00,9.112880490755912888e+00,4.028128075011248477e+00,4.461093885752256405e+00,6.250000000000000000e-02
4.022887229919433594e+00,4.206484794616699219e+00,4.126016289726650577e+00,6.350017475696989599e+00,3.945305854985281968e+00,4.306726724468019185e+00,6.250000000000000000e-02
4.156628608703613281e+00,4.320020198822021484e+00,4.275420288773193356e+00,1.400515198428520236e+01,4.007046755745014899e+00,4.543793821801371813e+00,6.250000000000000000e-02
6.789415359497070312e+00,6.941036701202392578e+00,6.972114439565717525e+00,1.424163283334554990e+03,4.265816150871931001e+00,9.678412728259504050e+00,6.250000000000000000e-02
3.755501270294189453e+00,3.518834352493286133e+00,3.502648382857748377e+00,3.211088588725702664e+01,3.096278125444113627e+00,3.909018640271383127e+00,6.250000000000000000e-02
4.881726741790771484e+00,4.976867198944091797e+00,4.952310662909600758e+00,3.099824367235603972e+01,4.553042837541137366e+00,5.351578488278064150e+00,6.250000000000000000e-02
3.343385219573974609e+00,3.199880361557006836e+00,3.213373392471151391e+00,9.739576626164375739e+01,2.505646318423770946e+00,3.921100466518531835e+00,6.250000000000000000e-02
