truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,3.920961618423461914e+00,3.909854162798563681e+00,1.060580364649033047e+00,3.836001261416031038e+00,3.983707064181096325e+00,7.812500000000000000e-03
4.050838947296142578e+00,4.165236949920654297e+00,4.191984915903028686e+00,4.239651640070238869e+00,4.044325598270649635e+00,4.339644233535407736e+00,7.812500000000000000e-03
4.099163055419921875e+00,3.931771993637084961e+00,3.934121848102511088e+00,1.302931055373574676e+00,3.852264722905333727e+00,4.015978973299688448e+00,7.812500000000000000e-03
4.273678302764892578e+00,4.034962654113769531e+00,4.084777392764332049e+00,4.438860923436736883e+00,3.933688847560091517e+00,4.235865937968572581e+00,7.812500000000000000e-03
4.162439823150634766e+00,4.212002754211425781e+00,4.206783483118257116e+00,9.300823630134237519e+00,3.988079609626069555e+00,4.425487356610444678e+00,7.812500000000000000e-03
4.003967761993408203e+00,4.007654190063476562e+00,3.999687779404945687e+00,1.111534632319371552e+00,3.924081603953312403e+00,4.075293954856578971e+00,7.812500000000000000e-03
3.990549325942993164e+00,3.649648666381835938e+00,3.668779705644305889e+00,8.868994966649651479e-01,3.601244072663837947e+00,3.736315338624773830e+00,7.812500000000000000e-03
3.853653192520141602e+00,3.676434278488159180e+00,3.686841838776002689e+00,3.261291723674961673e+00,3.557335628571682395e+00,3.816348048980322982e+00,7.812500000000000000e-03
1.046603775024414062e+01,1.027940845489501953e+01,1.021646652864009042e+01,7.310482429186059790e+02,8.277506799130787130e+00,1.215542625814939370e+01,7.812500000000000000e-03
4.586000442504882812e+00,4.723834991455078125e+00,4.694674638640907283e+00,8.342004925863548692e+01,4.039690185764348129e+00,5.349659091517466436e+00,7.812500000000000000e-03
3.947785377502441406e+00,3.870575428009033203e+00,3.885087056230684510e+00,4.292070641657398156e+00,3.736517713832404386e+00,4.033656398628964190e+00,7.812500000000000000e-03
4.161348342895507812e+00,3.923527717590332031e+00,3.987087416393094053e+00,1.867121664230350930e+01,3.677215598844815414e+00,4.296959233941372247e+00,7.812500000000000000e-03
1.264884281158447266e+01,1.248627281188964844e+01,1.254938169512735691e+01,1.221240281615733011e+03,1.004329361520465547e+01,1.505546977505005835e+01,7.812500000000000000e-03
3.861299991607666016e+00,3.825302839279174805e+00,3.825459900191078955e+00,6.859406536700178858e-01,3.766066383320661348e+00,3.884853417061496561e+00,7.812500000000000000e-03
3.907582044601440430e+00,4.163740158081054688e+00,4.167195132575754357e+00,5.562273564489434996e+00,3.998064628694394163e+00,4.336325636457114996e+00,7.812500000000000000e-03
4.532751560211181641e+00,4.596018791198730469e+00,4.562463672742628873e+00,2.834348015155664591e+00,4.441731683195965452e+00,4.683195662289292294e+00,7.812500000000000000e-03
3.636982202529907227e+00,3.837268352508544922e+00,3.839337137054310567e+00,2.133100218480988985e+01,3.508128692931801851e+00,4.170545581176819283e+00,7.812500000000000000e-03
3.768761873245239258e+00,2.877232313156127930e+00,2.875663018901433166e+00,1.451039066020650692e-01,2.848345872955087454e+00,2.902980164847778877e+00,7.812500000000000000e-03
3.941148042678833008e+00,3.719403743743896484e+00,3.716816709888117298e+00,1.107395093283238907e+01,3.478174606690814130e+00,3.955458813085420466e+00,7.812500000000000000e-03
4.235950946807861328e+00,4.100767612457275391e+00,4.102420953114147117e+00,1.155641496278046132e+00,4.025329304287935450e+00,4.179512601940358785e+00,7.812500000000000000e-03
3.155158281326293945e+00,3.119446754455566406e+00,3.118744190727364085e+00,8.380672801316042353e+01,2.462243461142398893e+00,3.775244920312329278e+00,7.812500000000000000e-03
4.087269783020019531e+00,4.039092063903808594e+00,4.038621032545042233e+00,2.166169050370168492e+00,3.933074992520817492e+00,4.144167072569266530e+00,7.812500000000000000e-03
4.312510013580322266e+00,4.278984546661376953e+00,4.290966027750024558e+00,8.625804971538485688e+00,4.080347977660189862e+00,4.501584077839859255e+00,7.812500000000000000e-03
3.835491657257080078e+00,3.979850769042968750e+00,3.919833600101332305e+00,4.014740756629275609e+01,3.465448037500331591e+00,4.374219162702332575e+00,7.812500000000000000e-03
4.595643520355224609e+00,4.770823478698730469e+00,4.732046003767809594e+00,1.069765827744975084e+01,4.497493468889146584e+00,4.966598538646472605e+00,7.812500000000000000e-03
4.412825107574462891e+00,4.289178848266601562e+00,4.336771118050220863e+00,2.703104153583755078e+02,3.157734861256712211e+00,5.515807374843729960e+00,7.812500000000000000e-03
3.755508899688720703e+00,3.809396982192993164e+00,3.823238087331299440e+00,5.042285195704066858e+00,3.662207093416794290e+00,3.984269081245804589e+00,7.812500000000000000e-03
1.046998977661132812e+01,1.039205551147460938e+01,1.048716768338172400e+01,1.807800353966306147e+03,7.438072344991501161e+00,1.353626302177194773e+01,7.812500000000000000e-03
3.745059013366699219e+00,3.728956937789916992e+00,3.728852014563324158e+00,9.604570792742023855e+00,3.506605606101544481e+00,3.951098423025103834e+00,7.812500000000000000e-03
4.384593009948730469e+00,4.164443016052246094e+00,4.178874307927089582e+00,8.469941002992378287e+00,3.970167813668340706e+00,4.387580802185838458e+00,7.812500000000000000e-03
4.335573196411132812e+00,4.248522281646728516e+00,4.248408449988677837e+00,9.168456252546603125e+00,4.031266427297419241e+00,4.465550472679936433e+00,7.812500000000000000e-03
4.022887229919433594e+00,3.583783626556396484e+00,3.579426684666143998e+00,4.281108992934203050e-02,3.564588734341291865e+00,3.594264634990996132e+00,7.812500000000000000e-03
4.156628608703613281e+00,4.282350540161132812e+00,4.285409489978345476e+00,1.143332274337849874e+01,4.042926096072913644e+00,4.527892883883777309e+00,7.812500000000000000e-03
6.789415359497070312e+00,6.934917926788330078e+00,6.914464760540237620e+00,1.422364594018366688e+03,4.209876011695763864e+00,9.619053509384711376e+00,7.812500000000000000e-03
3.755501270294189453e+00,3.507941961288452148e+00,3.501380385667907991e+00,3.196858567128131767e+01,3.095911548148686077e+00,3.906849223187129905e+00,7.812500000000000000e-03
4.881726741790771484e+00,4.958054065704345703e+00,4.970771832191642758e+00,3.105528634868297644e+01,4.571136811225347429e+00,5.370406853157938087e+00,7.812500000000000000e-03
3.343385219573974609e+00,3.226196765899658203e+00,3.165837922966968865e+00,1.058952674459207941e+02,2.427875843079113860e+00,3.903800002854823870e+00,7.812500000000000000e-03
4.042727947235107422e+00,4.046738147735595703e+00,4.048207461767350246e+00,5.198663459769258033e+00,3.884698476850127147e+00,4.211716446684573789e+00,7.812500000000000000e-03
6.221156597137451172e+00,5.997236251831054688e+00,5.951215078620347931e+00,7.903310823540198271e+01,5.313685554830028579e+00,6.588744602410667284e+00,7.812500000000000000e-03
4.390372753143310547e+00,4.202099323272705078e+00,4.203453859692594108e+00,1.523462372675580134e+01,3.923548227983877368e+00,4.483359491401310848e+00,7.812500000000000000e-03
4.229770660400390625e+00,4.177557468414306641e+00,4.191414175175922630e+00,2.050132636650099371e+00,4.088733964724182712e+00,4.294094385627662547e+00,7.812500000000000000e-03
3.993759870529174805e+00,4.072726249694824219e+00,4.065570600029086989e+00,9.634397021636035285e-01,3.995181074142581501e+00,4.135960125915592478e+00,7.812500000000000000e-03
4.499260902404785156e+00,4.385064125061035156e+00,4.408155649660787212e+00,3.405637851445423081e+00,4.275814469706105569e+00,4.540496829615468855e+00,7.812500000000000000e-03
3.781438350677490234e+00,3.916962146759033203e+00,3.976755672358562421e+00,8.267485160439196790e+00,3.770558605832142973e+00,4.182952738884981869e+00,7.812500000000000000e-03
3.298717021942138672e+00,3.163365602493286133e+00,3.183796432249760944e+00,2.057507445371870602e+01,2.858509603776302921e+00,3.509083260723218967e+00,7.812500000000000000e-03
4.826760292053222656e+00,4.955531597137451172e+00,4.933974788175568449e+00,1.817690893705528765e+01,4.628232306626880899e+00,5.239717269724255999e+00,7.812500000000000000e-03
5.066412925720214844e+00,4.986690998077392578e+00,4.948766885036154584e+00,3.494508956555915091e+01,4.524842060180869652e+00,5.372691709891439515e+00,7.812500000000000000e-03
3.841778993606567383e+00,3.770237207412719727e+00,3.778668581724586417e+00,3.618284900374469260e+00,3.642258286025192859e+00,3.915078877423979975e+00,7.812500000000000000e-03
4.395375251770019531e+00,4.305809020996093750e+00,4.357969594674890423e+00,1.789940791435402545e+01,4.054569925323566082e+00,4.661369264026214765e+00,7.812500000000000000e-03
3.904749631881713867e+00,3.823312759399414062e+00,3.851247481833333985e+00,4.972548241901563415e+00,3.691333928688612875e+00,4.011161034978054651e+00,7.812500000000000000e-03
4.306119918823242188e+00,4.319406032562255859e+00,4.324175958669399300e+00,4.422069716101018955e+00,4.173373451129616996e+00,4.474978466209181605e+00,7.812500000000000000e-03
4.350611209869384766e+00,4.131643772125244141e+00,4.140500236500828102e+00,1.251203936316973575e+01,3.886835661210743531e+00,4.394164811790912673e+00,7.812500000000000000e-03
5.791394233703613281e+00,4.990755558013916016e+00,5.636049731960894427e+00,4.421995835888663962e+00,5.485248484166947769e+00,5.786850979754841084e+00,7.812500000000000000e-03
4.431848049163818359e+00,4.411075115203857422e+00,4.381206132365636385e+00,4.656690255484819829e+01,3.891839395635046550e+00,4.870572869096226221e+00,7.812500000000000000e-03
3.740272283554077148e+00,3.716818332672119141e+00,3.724067295275852008e+00,1.824063754303570484e+00,3.627213693179701437e+00,3.820920897372002578e+00,7.812500000000000000e-03
4.031430244445800781e+00,3.810442924499511719e+00,3.814007179376763368e+00,2.131072992054738324e-01,3.780902077171740316e+00,3.847112281581786419e+00,7.812500000000000000e-03
4.085419654846191406e+00,4.184804439544677734e+00,4.191938870209780177e+00,1.246676926851427281e+00,4.111868335021456211e+00,4.272009405398104143e+00,7.812500000000000000e-03
4.524155616760253906e+00,4.319985866546630859e+00,4.341802934223864874e+00,1.182192929363344724e+01,4.095233096574196097e+00,4.588372771873533651e+00,7.812500000000000000e-03
4.242028713226318359e+00,4.088142395019531250e+00,4.103420385942372128e+00,7.181104848251562700e-01,4.042650082582747828e+00,4.164190689301996429e+00,7.812500000000000000e-03
