truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,4.018984794616699219e+00,4.091034980104311103e+00,8.062205235760931288e+00,3.887413919495247949e+00,4.294656040713375589e+00,6.250000000000000000e-02
4.050838947296143466e+00,4.430989742279052734e+00,4.352625141913551765e+00,9.986991550779507065e+00,4.125997379065439397e+00,4.579252904761664134e+00,6.250000000000000000e-02
4.099163055419921875e+00,3.929846048355102983e+00,3.949690583202996930e+00,7.756369330464258915e+00,3.749968995125512627e+00,4.149412171280480344e+00,6.250000000000000000e-02
4.273678302764892578e+00,4.108919143676757812e+00,4.170958314789852572e+00,1.140077022061812073e+01,3.928820361701111263e+00,4.413096267878596102e+00,6.250000000000000000e-02
4.162439823150634766e+00,4.274368286132812500e+00,4.296588928369411420e+00,1.469725874902401053e+01,4.021664113990559564e+00,4.571513742748262388e+00,6.250000000000000000e-02
4.003967761993408203e+00,4.088879108428955078e+00,4.145457173506274628e+00,6.857910350819439671e+00,3.957658866748657633e+00,4.333255480263892068e+00,6.250000000000000000e-02
3.990549325942992720e+00,3.689500093460083008e+00,3.738484725525859975e+00,7.748102548971857573e+00,3.538869598011172624e+00,3.938099853040545550e+00,6.250000000000000000e-02
3.853653192520141602e+00,3.748930931091308594e+00,3.782210067507061790e+00,1.053717364829341285e+01,3.549423541587617414e+00,4.014996593426504390e+00,6.250000000000000000e-02
1.046603775024414062e+01,1.030008983612060369e+01,1.023420596002048377e+01,7.336008704578758852e+02,8.291864012551341645e+00,1.217654790748962768e+01,6.250000000000000000e-02
4.586000442504882812e+00,4.792617321014404297e+00,4.780023474680444195e+00,8.679392900746118755e+01,4.111925054613710273e+00,5.448121894747177230e+00,6.250000000000000000e-02
3.947785377502441406e+00,3.925006389617919922e+00,3.980369871016183225e+00,1.103257315825659823e+01,3.742174027716165696e+00,4.218565714316199866e+00,6.250000000000000000e-02
4.161348342895507812e+00,4.006458282470703125e+00,4.144765969375399983e+00,2.499338527630580487e+01,3.786250159150335914e+00,4.503281779600463608e+00,6.250000000000000000e-02
1.264884281158447266e+01,1.256894016265869141e+01,1.255490398795621587e+01,1.218902228202147171e+03,1.005121599874153837e+01,1.505859197717089515e+01,6.250000000000000000e-02
3.861299991607665572e+00,3.882944107055664062e+00,3.898040756388799100e+00,1.087465216783215816e+01,3.661555833333249410e+00,4.134525679444347901e+00,6.250000000000000000e-02
3.907582044601439986e+00,4.244678020477294922e+00,4.225529746895367644e+00,1.237714028954765055e+01,3.973236325000621516e+00,4.477823168790113328e+00,6.250000000000000000e-02
4.532751560211181641e+00,4.614974021911621094e+00,4.546836797019885523e+00,1.041580263676501517e+01,4.315394814127897938e+00,4.778278779911873109e+00,6.250000000000000000e-02
3.636982202529907227e+00,3.878645420074463335e+00,3.884391179361672108e+00,2.633582102137404846e+01,3.516373060163016984e+00,4.252409298560325901e+00,6.250000000000000000e-02
3.768761873245239258e+00,2.875957012176513672e+00,2.875790432469820690e+00,1.531849397591925066e-01,2.847722927675007565e+00,2.903857937264633815e+00,6.250000000000000000e-02
3.941148042678833008e+00,3.921717405319213423e+00,3.971836234911668040e+00,1.829337992743095498e+01,3.665115774444647201e+00,4.278556695378688879e+00,6.250000000000000000e-02
4.235950946807860440e+00,4.140114307403564453e+00,4.145668255227596077e+00,7.528875298368654434e+00,3.948897377704399414e+00,4.342439132750793185e+00,6.250000000000000000e-02
3.155158281326293501e+00,3.097909450531005415e+00,3.074995810642707994e+00,9.392984815751616168e+01,2.379975364956222528e+00,3.770016256329193460e+00,6.250000000000000000e-02
4.087269783020020419e+00,4.133477210998535156e+00,4.128243896925587464e+00,9.439677195363490370e+00,3.907913537949288862e+00,4.348574255901885621e+00,6.250000000000000000e-02
4.312510013580321377e+00,4.311009883880615234e+00,4.315509965838987938e+00,1.572322991453423668e+01,4.031151178860588047e+00,4.599868752817387829e+00,6.250000000000000000e-02
3.835491657257080078e+00,4.085840225219727451e+00,3.892925800067413622e+00,4.846397913751326314e+01,3.393690478167251001e+00,4.392161121967576243e+00,6.250000000000000000e-02
4.595643520355224609e+00,4.846578598022460938e+00,4.739895617500406999e+00,1.473166296900032712e+01,4.464649211009616536e+00,5.015142023991196574e+00,6.250000000000000000e-02
