truth,plugin_estimate_riesz,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,rr_weight
4.016067028045654297e+00,3.999423503875732866e+00,4.055556566379665107e+00,7.445533787354802868e+00,3.859877805379151372e+00,4.251235327380179285e+00,3.125000000000000000e-02
4.050838947296143466e+00,4.286847114562988281e+00,4.269170528313753543e+00,7.529503888470980399e+00,4.072391436705481205e+00,4.465949619922026770e+00,3.125000000000000000e-02
4.099163055419921875e+00,4.012930870056152344e+00,4.002564084414895085e+00,6.857144876788137111e+00,3.814776258892177641e+00,4.190351909937612973e+00,3.125000000000000000e-02
4.273678302764892578e+00,4.095571994781494141e+00,4.130651787319875368e+00,9.611467856726118697e+00,3.908325595354704696e+00,4.352977979285045151e+00,3.125000000000000000e-02
4.162439823150634766e+00,4.266861915588378018e+00,4.285069175815263698e+00,1.349472519830552031e+01,4.021631556482845760e+00,4.548506795147681636e+00,3.125000000000000000e-02
4.003967761993408203e+00,4.114183425903320312e+00,4.160531823229435489e+00,5.598448231510810835e+00,3.990852234140541022e+00,4.330211412318329955e+00,3.125000000000000000e-02
3.990549325942992720e+00,3.685046911239624023e+00,3.739645979710676915e+00,6.472935064229003999e+00,3.557194917732243944e+00,3.922097041689108998e+00,3.125000000000000000e-02
3.853653192520141602e+00,3.735204935073852983e+00,3.790819885058423822e+00,9.556124071970488743e+00,3.569134705305248012e+00,4.012505064811599631e+00,3.125000000000000000e-02
1.046603775024414062e+01,1.028712654113769531e+01,1.022304896359148607e+01,7.321374965859329222e+02,8.282645257654476012e+00,1.216345266952849613e+01,3.125000000000000000e-02
4.586000442504882812e+00,4.767529010772705078e+00,4.750454398965996639e+00,8.617012571423026657e+01,4.084761178998400410e+00,5.416147618933592867e+00,3.125000000000000000e-02
3.947785377502441406e+00,3.916773319244384766e+00,3.989393842500735143e+00,1.043532556788882637e+01,3.757735058717592835e+00,4.221052626283876563e+00,3.125000000000000000e-02
4.161348342895507812e+00,3.973892211914063388e+00,4.122120991182467442e+00,2.419287122540390556e+01,3.769393363614564674e+00,4.474848618750369766e+00,3.125000000000000000e-02
1.264884281158447266e+01,1.252649497985839844e+01,1.254322625317880657e+01,1.217001355941003567e+03,1.004149127047740819e+01,1.504496123588020318e+01,3.125000000000000000e-02
3.861299991607665572e+00,3.831435203552246538e+00,3.829953540889779795e+00,7.091223991940375226e-01,3.769564744700871106e+00,3.890342337078689816e+00,3.125000000000000000e-02
3.907582044601439986e+00,4.196264266967772549e+00,4.195644590148132735e+00,1.121803697220724416e+01,3.955454987352606366e+00,4.435834192943659104e+00,3.125000000000000000e-02
4.532751560211181641e+00,4.606125831604003906e+00,4.549477147480867067e+00,7.998642752857822558e+00,4.346660350151469565e+00,4.752293944810264570e+00,3.125000000000000000e-02
3.636982202529907227e+00,3.871929168701171875e+00,3.874466172939227349e+00,2.579846965620163957e+01,3.510221890948595824e+00,4.238710454929857541e+00,3.125000000000000000e-02
3.768761873245239258e+00,2.875802040100097656e+00,2.874763320864234473e+00,1.486150308019517918e-01,2.847117649672388673e+00,2.902408992056079828e+00,3.125000000000000000e-02
