truth,Riesz_Informed,Riesz_Oracle,Riesz,Outcome_Informed,Outcome_Oracle,covered_outcome_adapted,covered_riesz_adapted
1.000000000000000000e+00,5.661117810657239069e-01,5.740871894644103968e-01,7.647362571033267109e-01,7.900650607192849506e-01,7.552447490106775074e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.259320192753482948e+00,1.352277415825776652e+00,1.109855732626411573e+00,1.081644054548472234e+00,1.048311337560492440e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,7.942896194906170493e-01,6.393611232935710875e-01,6.576312802505399624e-01,6.641036574001377701e-01,6.653632940167990562e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.255831876261018110e-01,7.576224862080982447e-01,8.044380965653985527e-01,8.054968832197209050e-01,8.268226984362785359e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.639658888719681018e-01,9.067199856281698001e-01,1.027668062081462219e+00,1.011165727714978591e+00,1.019774311373730091e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,7.098065802029118743e-01,6.639315976673987318e-01,6.862677666400768262e-01,6.576820065608923738e-01,6.982316970683022372e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.968854336755073042e-01,8.742161864363987567e-01,9.907155363628896705e-01,9.900179730260908473e-01,9.710733511387187322e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,6.899597804793042854e-01,7.085889294768589197e-01,8.547331189803210050e-01,8.181732697331953741e-01,8.352840870091049474e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.164650431457113333e+00,1.131146260805360848e+00,1.088645223071160961e+00,1.092923020185496252e+00,1.089707484246979829e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.204530413234459418e+00,1.183532947123595358e+00,8.781445598438956113e-01,8.302858383327598180e-01,8.745914214049541613e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.165518251972165631e+00,1.170452067911972760e+00,1.246423314716073705e+00,1.154486864284996361e+00,1.169716760601474448e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.032680872757961277e+00,1.088340404083943502e+00,1.052594400499887284e+00,1.058131694106599019e+00,1.083116474309083976e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.075656412377411941e+00,9.402726716115248351e-01,1.126296304027778028e+00,1.083078132105247837e+00,1.103184614168523758e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.379306199697777346e+00,1.338500011526443600e+00,1.216191559558543744e+00,1.205631449382746911e+00,1.195655596578291346e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.030275391666554352e+00,9.236741537665325019e-01,9.576282277368756146e-01,9.266037569303624544e-01,9.895301835900967014e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.027137482068785079e+00,9.834673636767247151e-01,8.838526283207621681e-01,8.146758483388865102e-01,8.491021564996915627e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.028159022915237086e+00,1.043966890868589292e+00,1.002175829482967240e+00,9.679322454945389342e-01,1.049195361410294680e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.556301041533521667e-01,7.384572836259777340e-01,8.607716842804739033e-01,8.380705404216293175e-01,8.580233557884636708e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.202500391673817504e+00,1.246820345947809550e+00,9.424353194221464225e-01,8.926015963683193721e-01,8.944539086277432105e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.217491721497070856e-01,9.891319807380714035e-01,9.293412706482440111e-01,9.150084653160032166e-01,9.011106067129801556e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.086616808202980788e-01,9.001264070853343124e-01,9.134028567517615826e-01,8.724054499684295028e-01,9.050188331927384588e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.861161288553370596e-01,8.381990073363464466e-01,1.089686324760028135e+00,1.070862524495642232e+00,1.105778072359504760e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.363065881349752040e+00,1.460330409312569744e+00,1.256012339234113817e+00,1.211345562998650482e+00,1.177251494567288725e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.140496763247155654e+00,9.419326546846817916e-01,1.095626077849603419e+00,1.107932738906407977e+00,1.133630270980218846e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.503952277306686458e-01,8.216516683670664900e-01,9.558807384040701738e-01,9.107865862470757579e-01,9.301127430593647549e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.237229995484218525e+00,1.174427787355287744e+00,1.158269682810580292e+00,1.085504322276408917e+00,1.122465150091222608e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.132753594773894701e-01,9.008030800528181725e-01,1.014558189832976742e+00,1.033937791795980443e+00,1.001213931495877896e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.439122384383230591e-01,7.791112613114896668e-01,9.000203256453893630e-01,8.634382642453061196e-01,9.183565296524707211e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.247353239265171831e+00,1.183531276487271411e+00,1.055037693611456495e+00,1.014672759116167722e+00,1.019678763535758259e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.071123246527262651e+00,9.647346529884661681e-01,8.868570316655530750e-01,8.695055220423717479e-01,8.085186881956017979e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.039520106889647355e+00,1.150122569981556930e+00,9.906816846630863704e-01,9.498737438793015686e-01,9.284084257550935249e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.217207136727017414e+00,1.152756971114372586e+00,1.001616568916565475e+00,1.007978362035804265e+00,1.050965523463877282e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,7.961205575451723027e-01,6.255528096712554831e-01,8.001449202680432915e-01,7.428739330640984351e-01,7.694306022464585393e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.002665168199446732e+00,9.002409578401244783e-01,9.924036811253973411e-01,9.634381136580308924e-01,9.933588270341655591e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.414416612004171681e+00,1.486800341815039728e+00,1.213843577737856450e+00,1.203251648871823010e+00,1.108224305767223861e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.162567024267730398e-01,1.018509412539979175e+00,8.225387043843714885e-01,7.923573847414162596e-01,8.430678681922284534e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.551407740929755086e+00,1.602298030493691572e+00,1.288559485274384242e+00,1.288447969184097985e+00,1.285955277681499309e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.005809125394765635e+00,9.035282571564580145e-01,9.157355787353193000e-01,8.851774580304766493e-01,9.070869303490048940e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.008652190329214715e+00,1.022423185571536886e+00,1.247271028937720905e+00,1.263730841647565217e+00,1.245857592434032490e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.007768842779716678e+00,7.930694671343341273e-01,8.981546731302865183e-01,9.120290102794095244e-01,9.179111701082818264e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.323697293364266336e+00,1.340198761927223314e+00,1.264766273022303489e+00,1.216870919665447470e+00,1.210273158324282061e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.377343984078400307e-01,8.054031938663861467e-01,9.734247850535864277e-01,9.818750179775999065e-01,9.974061709409679510e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,8.646790445143559545e-01,8.100451389929181900e-01,8.448229263013290469e-01,8.156681231972765511e-01,8.404320907763420667e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.085501919483641275e+00,1.085019189184091459e+00,1.139981002395862975e+00,1.178630854104080639e+00,1.158358115942010658e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,6.891323349369293805e-01,7.463967703555489663e-01,8.597608252230429793e-01,8.184137610755494174e-01,8.240027651059128599e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,7.526782718330867761e-01,7.187476935633112518e-01,8.561233738058618981e-01,9.015948020899103854e-01,8.952521639160693212e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.381917624153919721e+00,1.213595551890608970e+00,1.318872196510654460e+00,1.298424664028059450e+00,1.280403050635529949e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,8.066882134475974464e-01,5.888982928691044449e-01,8.626129616321559501e-01,8.637625482461499526e-01,8.444119985690320407e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.201469624379280621e+00,1.160770555839773177e+00,1.123161523928715155e+00,1.132153198254889359e+00,1.146895579879700700e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.036063185418470312e-01,8.330506273509165061e-01,9.118539663871371159e-01,9.884932330678360968e-01,1.015024893326820443e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.344401800993532348e+00,1.218325675229429805e+00,1.171706651926682108e+00,1.042356804773471923e+00,1.079625055582317916e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.133704655694264485e+00,1.294776397871592932e+00,9.851767722564973573e-01,9.330170872713232644e-01,9.751583154059144665e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.095152477919458578e+00,1.117297639884919480e+00,1.078470046864595799e+00,1.066393951749430080e+00,1.052342693532637430e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.881126030306792929e-01,8.911318616814639659e-01,9.611478317393927773e-01,1.021743303656210689e+00,1.031029902082401417e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.650845741835719860e-01,6.475340270142027066e-01,9.117011989417123097e-01,9.364876507212244183e-01,9.343466826833271011e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.186386037149233408e+00,1.243515649343760243e+00,1.076105444785882659e+00,1.072027188779559603e+00,1.085500820786702292e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.278178062173571217e+00,1.241655244434183292e+00,1.165518196088789926e+00,1.112951489924290716e+00,1.136249030337106447e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.072252417692472370e+00,9.029502775428759342e-01,9.585830127172526582e-01,9.279678893748847246e-01,1.005073921003132753e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.394970942972952654e+00,1.308593376718064194e+00,1.054474698734192639e+00,1.010526255933033246e+00,1.041903535541094383e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.071705283417991206e-01,7.609778359789506341e-01,7.430155131731677187e-01,6.668599256299041489e-01,6.856082678695900601e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.113034961345468865e+00,8.221098208932535734e-01,1.104803517729646911e+00,1.079165574826106866e+00,1.134404441260562724e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.011890648260678649e+00,1.058385542416553360e+00,1.014426361075440930e+00,1.044022069089458826e+00,1.079415980569027100e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,6.939825901364832239e-01,7.077514001173715874e-01,9.233211691658629316e-01,9.567554452593907133e-01,9.681600589235883625e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.157536971483388744e-01,9.335978839715908251e-01,1.001619810121716858e+00,9.588271796984222384e-01,9.201683313165383016e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.171072831072557108e+00,1.145179145287318345e+00,1.167210835288436055e+00,1.171349925567124473e+00,1.152612378851678221e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.350481722632403292e-01,8.791726809528115361e-01,9.665019149583399249e-01,1.005204211389439051e+00,1.014144299352990108e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,7.767377069678689239e-01,7.875100681609658038e-01,7.829084170673966669e-01,8.023898184588903471e-01,8.717330587251467255e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.191643584843106396e+00,1.291588654587323637e+00,1.123096468885266042e+00,1.121896302183234218e+00,1.135514592595074257e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.593920752370356242e-01,9.522566257832362213e-01,9.946234727393477026e-01,1.028966567728540893e+00,9.854908972304303738e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.361721840259855654e-01,8.525211142341367898e-01,9.001983550453671601e-01,9.370116049197995123e-01,9.398308011910672111e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.986801975770247752e-01,9.600691107452047346e-01,7.892895298754223354e-01,7.999684872801254842e-01,8.262734853723622264e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.941566364709552239e-01,8.798008770852667748e-01,6.449872307108412972e-01,6.119161820959839737e-01,6.717906004881094573e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.158938247119319920e+00,1.226283758300257487e+00,1.076236808089454877e+00,1.088953047471047375e+00,1.072234667771447825e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.057731978549474761e-01,8.437333166041853794e-01,7.279047571540353534e-01,7.562796370253764833e-01,7.477638122242127316e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.121443886071396889e+00,1.128138880755119144e+00,1.190705526786734803e+00,1.149714748984451917e+00,1.159469957998710221e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.218612922542590349e+00,1.245549208023081444e+00,1.066697102711399836e+00,1.072061943855993960e+00,1.089230864495087436e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.107244534692878313e+00,1.149398536129886406e+00,1.085347734373242057e+00,1.102223353504774739e+00,1.106302727010671116e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.290784149046262597e+00,1.195675431963405533e+00,1.224975020001167314e+00,1.202541466074241505e+00,1.215295836656287376e+00,1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,1.330908082474372200e+00,1.145687563376584395e+00,1.213414881953691182e+00,1.177884476603474395e+00,1.189352057798889417e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.449488230160683067e-01,1.059357725196051758e+00,8.527392837112707236e-01,7.978657571467561160e-01,7.965804277841964653e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,7.688006318071343159e-01,7.102054614131505517e-01,8.726549261250540201e-01,8.418362123314868661e-01,9.214076439318634737e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.144340411570181626e+00,1.157141822367796724e+00,9.511421459353399666e-01,1.001908140304935912e+00,9.896712567813290562e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,8.980430373853289794e-01,9.045423148125700807e-01,9.602719461337957396e-01,1.016193930198056039e+00,1.040936630915425543e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.441715467693218455e+00,1.439761999625691402e+00,1.364020337196587995e+00,1.371158476909410284e+00,1.362943353225996468e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.823222280629947400e-01,7.657965352866437092e-01,8.925851869435051933e-01,9.430453450765938772e-01,9.338743298750675770e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.388623088871987932e-01,9.399738109943234221e-01,9.828732333844319990e-01,9.602244711161799229e-01,9.768479360773777431e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,7.867716561574324974e-01,7.002314433344302147e-01,8.370380331317585076e-01,8.179338259950076351e-01,8.590135854795145631e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.148599500099863224e+00,1.196487351086405804e+00,1.295955132752018013e+00,1.348125785936443943e+00,1.325290812611416236e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,9.921425195863972091e-01,9.138435033232368276e-01,1.011285293115313122e+00,9.832259818503603643e-01,9.950478081289781951e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.077454763221663780e+00,1.022799227918858245e+00,9.383991124447688126e-01,9.146166222270992741e-01,9.272181491990888480e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.113673754406304672e+00,1.135693301058652072e+00,9.956990226840394254e-01,1.016918027319547724e+00,1.022888753985581767e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.244747811323075881e+00,1.152096787274549561e+00,1.058055924544479831e+00,1.004225590269109070e+00,1.032165666471009935e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.064452087307382611e+00,1.138782320677432791e+00,9.215982105350958298e-01,9.319378439097495415e-01,8.990350679819312241e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,6.997100485652962831e-01,5.672019709286499900e-01,6.860408288465664750e-01,6.713154536494505553e-01,6.954603562600221167e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.007120926423862528e+00,9.487905731696597567e-01,9.264595401687704124e-01,9.038722066138830114e-01,9.231897889087792297e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.738156797113135532e-01,1.060544474655576996e+00,9.416469320869087500e-01,9.568125407011482952e-01,9.700160402841568885e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.212144830550257346e+00,1.056949310599262004e+00,1.117915748799845677e+00,1.129063889899659445e+00,1.166831218690105310e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.166537740003424917e+00,1.079090713160412829e+00,1.060354786590968601e+00,1.052461070303510660e+00,1.092551966960454202e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.014133294762231463e+00,1.060742986367128715e+00,8.524343781174683610e-01,9.054100232259745251e-01,8.788482777935753276e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.148913550048433097e+00,1.196823734887197732e+00,1.009254995668174448e+00,1.016392865098171061e+00,9.651884553898300023e-01,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,1.255792655996236018e+00,1.288613024124956041e+00,1.240151950098056677e+00,1.256111309433127099e+00,1.249185641014288306e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,8.979927659800002182e-01,7.390605942354186997e-01,8.230391163343688810e-01,7.639845126952957699e-01,8.037119750515719918e-01,1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,1.060548048496945395e+00,1.172583515693822687e+00,1.050222652400922607e+00,1.032677953193163800e+00,1.024137675390566882e+00,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,9.488710448621533455e-01,8.601873841657003972e-01,1.019132422869903465e+00,1.039942786067568514e+00,1.058650288332398715e+00,1.000000000000000000e+00,5.999999999999999778e-01
1.000000000000000000e+00,8.965902614262977188e-01,8.709548400550320979e-01,9.151617582881406143e-01,9.227717413713321104e-01,8.958142742562917871e-01,1.000000000000000000e+00,8.000000000000000444e-01
1.000000000000000000e+00,1.326312200898622784e+00,1.351147698157115329e+00,1.190131038687525900e+00,1.202975737484258456e+00,1.190818149948654092e+00,1.000000000000000000e+00,5.999999999999999778e-01
