truth,estimate,beta
1,1.0049043893814087,0
1,1.1163668632507324,0
1,1.0136934518814087,0
1,0.923490047454834,0
1,1.1116925477981567,0
1,1.0035104751586914,0
1,1.1429977416992188,0
1,1.0913230180740356,0
1,0.9925693273544312,0
1,1.0169546604156494,0
1,0.9474599361419678,0
1,0.9890778064727783,0
1,1.119012713432312,0
1,0.9999931454658508,0
1,1.020999789237976,0
1,0.9989103078842163,0
1,0.9397940635681152,0
1,1.0423334836959839,0
1,1.0906065702438354,0
1,1.0448905229568481,0
1,1.098230004310608,0
1,1.0105136632919312,0
1,0.9617873430252075,0
1,1.0006365776062012,0
1,0.9813754558563232,0
1,1.0224926471710205,0
1,0.9785837531089783,0
1,1.0387465953826904,0
1,0.8589617013931274,0
1,0.9246219992637634,0
1,1.0246021747589111,0
1,1.0033820867538452,0
1,0.9828347563743591,0
1,0.9102646112442017,0
1,0.9454734921455383,0
1,1.0507949590682983,0
1,1.1639100313186646,0
1,1.012521505355835,0
1,1.0811471939086914,0
1,1.0074480772018433,0
1,1.019789695739746,0
1,0.9565744996070862,0
1,0.9577351212501526,0
1,1.011712670326233,0
1,1.1087039709091187,0
1,0.9769216179847717,0
1,1.0273014307022095,0
1,1.0151406526565552,0
1,1.0401661396026611,0
1,1.0998146533966064,0
1,0.9205329418182373,0
1,0.965130090713501,0
1,1.055544137954712,0
1,0.9264854788780212,0
1,0.956956684589386,0
1,1.0567752122879028,0
1,0.8882147669792175,0
1,0.9552490711212158,0
1,1.0582963228225708,0
1,0.9339713454246521,0
1,0.9929808378219604,0
1,0.9730858206748962,0
1,0.9303169846534729,0
1,0.9885844588279724,0
1,0.829511284828186,0
1,0.9071822166442871,0
1,0.955626368522644,0
1,0.9264380931854248,0
1,0.9981936812400818,0
1,1.041077971458435,0
1,1.034157395362854,0
1,1.0003072023391724,0
1,0.8856765627861023,0
1,1.084478497505188,0
1,1.03419029712677,0
1,1.0282262563705444,0
1,0.980076014995575,0
1,1.0577762126922607,0
1,0.9755250215530396,0
1,1.0579235553741455,0
1,0.9279738664627075,0
1,0.9866703152656555,0
1,1.024948000907898,0
1,1.030940055847168,0
1,0.9979599714279175,0
1,0.9147289395332336,0
1,0.8707685470581055,0
1,1.064439058303833,0
1,0.9097782373428345,0
1,0.9119620323181152,0
1,0.9737933278083801,0
1,1.0290260314941406,0
1,1.0997885465621948,0
1,1.0393344163894653,0
1,1.0168511867523193,0
1,1.0597038269042969,0
1,0.9907594919204712,0
1,0.9475088715553284,0
1,0.9894315004348755,0
1,1.0070397853851318,0
1,1.0441868305206299,0
1,1.0384740829467773,0
1,1.0100047588348389,0
1,0.8490571975708008,0
1,0.9394524097442627,0
1,0.8575265407562256,0
1,0.9112797379493713,0
1,1.0144710540771484,0
1,1.0229450464248657,0
1,1.0195316076278687,0
1,0.9765280485153198,0
1,1.0614526271820068,0
