truth,estimate,beta
1,1.1086387634277344,1.5
1,1.000270128250122,1.5
1,1.0725972652435303,1.5
1,1.063841700553894,1.5
1,0.9147933125495911,1.5
1,1.1220345497131348,1.5
1,0.9075492024421692,1.5
1,1.0647010803222656,1.5
1,0.8889380097389221,1.5
1,1.004773736000061,1.5
1,0.9852413535118103,1.5
1,0.9255877733230591,1.5
1,0.8970769643783569,1.5
1,1.0386924743652344,1.5
1,1.0006648302078247,1.5
1,0.9036535024642944,1.5
1,1.101063847541809,1.5
1,0.9849720597267151,1.5
1,1.0674512386322021,1.5
1,0.928774893283844,1.5
1,1.0668110847473145,1.5
1,0.997529923915863,1.5
1,0.9316121935844421,1.5
1,1.0687518119812012,1.5
1,1.1219968795776367,1.5
1,1.0074886083602905,1.5
1,1.2543820142745972,1.5
1,0.9695450663566589,1.5
1,1.0013418197631836,1.5
1,1.0375057458877563,1.5
1,0.9615094065666199,1.5
1,0.9702178835868835,1.5
1,1.0246882438659668,1.5
1,1.0345293283462524,1.5
1,1.0163928270339966,1.5
1,1.0292704105377197,1.5
1,1.0794507265090942,1.5
1,1.0247489213943481,1.5
1,1.0573220252990723,1.5
1,0.8416216969490051,1.5
1,0.9623594880104065,1.5
1,0.9233183860778809,1.5
1,0.9667198657989502,1.5
1,1.0261212587356567,1.5
1,1.0470854043960571,1.5
1,1.1468993425369263,1.5
1,1.0887970924377441,1.5
1,1.0700424909591675,1.5
1,0.8936868906021118,1.5
1,1.0643205642700195,1.5
1,0.975264310836792,1.5
1,1.0397902727127075,1.5
1,1.036984920501709,1.5
1,0.9062463641166687,1.5
1,1.0622278451919556,1.5
1,0.9785575866699219,1.5
1,1.0082577466964722,1.5
1,0.9049099087715149,1.5
1,0.9872905611991882,1.5
1,1.0000853538513184,1.5
1,0.972549557685852,1.5
1,1.0162400007247925,1.5
1,1.0167888402938843,1.5
1,1.0391634702682495,1.5
1,1.1671799421310425,1.5
1,1.0621551275253296,1.5
1,1.0436738729476929,1.5
1,0.9585583209991455,1.5
1,0.9835198521614075,1.5
1,1.048154592514038,1.5
1,0.912541925907135,1.5
1,1.0206260681152344,1.5
1,0.9702733159065247,1.5
1,0.9798792004585266,1.5
1,0.8916921615600586,1.5
