truth,estimate,variance,lower,upper
108.997,107.50981140136719,1005.6591186523438,105.54427328924245,109.47534951349192
108.997,108.93111419677734,1039.4488525390625,106.93282825329626,110.92940014025842
108.997,106.86929321289062,1021.98046875,104.88786943975424,108.85071698602701
108.997,109.25638580322266,1049.694580078125,107.24827557247632,111.264496033969
108.997,109.60391998291016,1036.841064453125,107.60814228156084,111.59969768425947
108.997,108.34341430664062,973.1929321289062,106.40986369492487,110.27696491835638
108.997,108.41957092285156,956.1509399414062,106.50302469307287,110.33611715263025
108.997,107.93950653076172,1411.2523193359375,105.6111021608206,110.26791090070284
108.997,108.78076934814453,951.5748291015625,106.8688148864806,110.69272380980846
108.997,108.60039520263672,909.0650634765625,106.731635092871,110.46915531240244
108.997,107.487548828125,1018.0096435546875,105.50997813490575,109.46511952134425
108.997,108.25476837158203,939.0759887695312,106.35541208103066,110.1541246621334
108.997,110.40509033203125,1028.62890625,108.41723198540541,112.39294867865709
108.997,107.26288604736328,1003.8048095703125,105.29916087401409,109.22661122071247
108.997,108.41924285888672,963.36767578125,106.49547747213052,110.34300824564292
108.997,107.70408630371094,1539.316650390625,105.27232997460627,110.13584263281561
108.997,107.48147583007812,973.8152465820312,105.54730710649956,109.41564455365669
108.997,108.06514739990234,954.3993530273438,106.15035744938822,109.97993735041646
108.997,108.36873626708984,1038.0030517578125,106.37184054531747,110.36563198886222
108.997,107.18173217773438,993.4439086914062,105.22816771255056,109.13529664291819
108.997,107.87272644042969,966.8668823242188,105.94547040784431,109.79998247301506
108.997,108.8550033569336,1071.77294921875,106.82588459211998,110.88412212174721
108.997,107.93104553222656,1023.710205078125,105.94794565480532,109.9141454096478
108.997,105.74905395507812,991.4403686523438,103.79746042152283,107.70064748863342
108.997,109.7899398803711,1032.901611328125,107.79795724237493,111.78192251836725
108.997,109.146240234375,999.782958984375,107.18645294611274,111.10602752263726
108.997,108.0411605834961,964.2433471679688,106.11652107374876,109.96580009324343
108.997,108.48123168945312,1024.318603515625,106.49754261420327,110.46492076470298
108.997,107.94161224365234,1005.8109130859375,105.97592579772285,109.90729868958184
108.997,108.26203918457031,1013.9513549804688,106.28841421378864,110.23566415535198
108.997,108.79264831542969,1009.8651123046875,106.82300423198981,110.76229239886956
108.997,108.18257141113281,1389.248291015625,105.87239041502761,110.49275240723802
108.997,109.6971206665039,984.6807250976562,107.75219149721903,111.64204983578878
108.997,110.57176208496094,1028.5849609375,108.58394620165144,112.55957796827043
108.997,107.32962799072266,1048.93603515625,105.32224345539908,109.33701252604624
108.997,108.9967041015625,954.2246704101562,107.08208938996968,110.91131881315532
108.997,107.38773345947266,896.4821166992188,105.53195176446872,109.2435151544766
108.997,108.83377075195312,1024.1824951171875,106.85021347442313,110.81732802948312
108.997,108.80416870117188,971.071044921875,106.87272713431776,110.735610268026
108.997,109.86343383789062,947.33447265625,107.95574410678752,111.77112356899373
108.997,108.50646209716797,935.7001342773438,106.61052284818349,110.40240134615244
108.997,108.02676391601562,1040.015625,106.02793325160205,110.0255945804292
108.997,107.60820770263672,1017.2352294921875,105.63138933525514,109.5850260700183
108.997,109.00252532958984,968.651123046875,107.07349185287232,110.93155880630736
108.997,109.35218048095703,1023.7094116210938,107.3690813720662,111.33527958984786
108.997,107.98245239257812,1278.056640625,105.76664951537424,110.19825526978201
108.997,107.21208953857422,1009.366943359375,105.24293133019954,109.1812477469489
108.997,109.51189422607422,984.4141235351562,107.56722836866513,111.45656008348331
108.997,108.59776306152344,1019.2061767578125,106.61903052562253,110.57649559742434
108.997,108.88111114501953,1010.5214233398438,106.91082712998455,110.85139516005451
108.997,106.91362762451172,919.2872924804688,105.03438999643139,108.79286525259205
108.997,107.27210998535156,994.2088623046875,105.31779354080383,109.22642642989929
108.997,110.02141571044922,989.0684204101562,108.07215809693385,111.97067332396459
108.997,108.37137603759766,934.9795532226562,106.47616695898385,110.26658511621146
108.997,106.79429626464844,983.9838256835938,104.85005547072755,108.73853705856932
108.997,106.34335327148438,876.590576171875,104.50827551906573,108.17843102390302
108.997,108.02115631103516,1068.6285400390625,105.99501628640357,110.04729633566674
108.997,107.53956604003906,999.869873046875,105.57969356860198,109.49943851147614
108.997,107.16909790039062,1002.261474609375,105.20688290685415,109.1313128939271
108.997,108.89236450195312,1048.4510498046875,106.88544408675732,110.89928491714893
108.997,106.27690887451172,1139.787841796875,104.18439627645003,108.3694214725734
108.997,107.47500610351562,961.493896484375,105.55311251834127,109.39689968868998
108.997,108.134765625,1001.0264282226562,106.17375998333036,110.09577126666964
108.997,109.4888687133789,1072.6162109375,107.45895185893941,111.5187855678184
108.997,106.33872985839844,951.9147338867188,104.42643394988971,108.25102576690716
108.997,105.600341796875,964.1176147460938,103.6758277728137,107.5248558209363
108.997,107.38035583496094,973.1226806640625,105.44687501270305,109.31383665721883
108.997,107.84119415283203,1019.18408203125,105.86248306489341,109.81990524077065
108.997,107.66504669189453,940.16552734375,105.76458888130158,109.56550450248749
108.997,107.65019989013672,973.02490234375,105.71681620735573,109.5835835729177
108.997,108.65274810791016,1000.9384155273438,106.691828676345,110.61366753947532
108.997,109.16525268554688,995.8842163085938,107.20929031234766,111.12121505874609
108.997,108.4552230834961,955.29150390625,106.53953839091064,110.37090777608155
108.997,107.8280029296875,995.0770263671875,105.87283339624744,109.78317246312756
108.997,108.45106506347656,1020.9898681640625,106.47060181525936,110.43152831169377
108.997,108.54409790039062,935.5438842773438,106.6483169568637,110.43987884391755
108.997,106.83590698242188,1120.074462890625,104.76156900209162,108.91024496275213
108.997,106.84349822998047,1262.2669677734375,104.64142539208467,109.04557106787627
108.997,108.20367431640625,1056.5791015625,106.18898965707058,110.21835897574192
108.997,108.10131072998047,973.5712890625,106.16738429289386,110.03523716706708
108.997,109.7990493774414,966.57568359375,107.8720835899678,111.72601516491501
108.997,107.26237487792969,934.6400146484375,105.36750995391176,109.15723980194761
108.997,106.81568145751953,978.1229858398438,104.87723948975203,108.75412342528703
108.997,108.85542297363281,964.1609497070312,106.93086569872658,110.77998024853905
108.997,108.15929412841797,912.4765625,106.28703080225361,110.03155745458233
108.997,109.08464813232422,977.5910034179688,107.1467333770446,111.02256288760384
108.997,106.80477142333984,1060.7816162109375,104.78608406348545,108.82345878319424
108.997,108.14742279052734,970.7437744140625,106.21630671846201,110.07853886259268
108.997,109.14199829101562,1077.3792724609375,107.10757940271215,111.1764171793191
108.997,109.22979736328125,1008.4747924804688,107.26150958889637,111.19808513766613
108.997,107.48133087158203,935.0895385742188,105.58601032576749,109.37665141739657
108.997,108.11046600341797,1225.2303466796875,105.94093958048492,110.27999242635101
108.997,108.93656158447266,1015.5679931640625,106.9613638722071,110.91175929673821
108.997,107.6880111694336,1031.1168212890625,105.69775028686969,109.6782720519975
108.997,108.22759246826172,993.4095458984375,106.27406178984292,110.18112314668052
108.997,106.58772277832031,1052.457275390625,104.57697170741655,108.59847384922408
108.997,109.09546661376953,1024.47802734375,107.1116231749257,111.07931005261337
108.997,109.01101684570312,952.479736328125,107.09815350634034,110.92388018506591
108.997,108.0852279663086,940.9721069335938,106.18395511740025,109.98650081521694
108.997,110.97283172607422,1011.2402954101562,109.00184701815596,112.94381643399248
108.997,108.6423110961914,1015.4014282226562,106.66727536824618,110.61734682413663
108.997,108.34590148925781,966.9805297851562,106.41853219324247,110.27327078527316
