truth,estimate,variance,lower,upper
108.997,107.91616821289062,996.0941772460938,105.95999966409208,109.87233676168917
108.997,108.9542007446289,1004.6624145507812,106.9896368918264,110.91876459743142
108.997,107.26406860351562,965.7710571289062,105.33790503489888,109.19023217213237
108.997,109.52107238769531,934.7085571289062,107.62613798432764,111.41600679106298
108.997,109.68852996826172,1004.0680541992188,107.7245473214413,111.65251261508213
108.997,108.36186981201172,954.6124877929688,106.44686606969019,110.27687355433325
108.997,109.09315490722656,958.980712890625,107.17377471908232,111.01253509537081
108.997,108.21674346923828,969.559326171875,106.28680587765096,110.1466810608256
108.997,108.95958709716797,961.5909423828125,107.03759652376293,110.88157767057301
108.997,108.86479949951172,926.9142456054688,106.97778233850921,110.75181666051422
108.997,107.83847045898438,1005.2562255859375,105.87332610901643,109.80361480895232
108.997,109.10612487792969,931.3455810546875,107.2146024265219,110.99764732933747
108.997,110.44969940185547,993.7368774414062,108.49584690271975,112.40355190099119
108.997,107.7971420288086,1036.2720947265625,105.80191199718277,109.79237206043442
108.997,108.78070831298828,964.2973022460938,106.85601495655236,110.7054016694242
108.997,107.46804809570312,1059.39453125,105.4506809919637,109.48541519944256
108.997,107.780517578125,973.7047119140625,105.84645862832821,109.71457652792179
108.997,108.63140869140625,930.9783325195312,106.74025920968698,110.52255817312552
108.997,108.22061157226562,980.4089965820312,106.27990572096576,110.16131742356549
108.997,107.33781433105469,950.9434814453125,105.42649424317817,109.2491344189312
108.997,107.99701690673828,992.7703857421875,106.04411478070452,109.94991903277204
108.997,109.15376281738281,1014.4403076171875,107.17966203835906,111.12786359640657
108.997,107.7907485961914,984.5304565429688,105.84596783686261,109.7355293555202
108.997,106.225830078125,992.2001342773438,104.27348891023455,108.17817124601545
108.997,109.89717864990234,1024.7386474609375,107.91308288908687,111.88127441071782
108.997,109.20233154296875,994.5425415039062,107.2476871693188,111.1569759166187
108.997,109.0142822265625,992.8931884765625,107.06125932018081,110.96730513294419
108.997,108.8013916015625,1005.603271484375,106.83590806621189,110.76687513691311
108.997,108.70655059814453,1027.927734375,106.71936988558339,110.69373131070567
108.997,108.40617370605469,980.4181518554688,106.46545879340833,110.34688861870104
108.997,109.02543640136719,995.66162109375,107.06969263400048,110.9811801687339
108.997,108.31747436523438,986.4397583007812,106.37080876079989,110.26413996966886
108.997,109.62374877929688,967.3762817382812,107.6959851205654,111.55151243802835
108.997,110.7222900390625,1018.38525390625,108.74435455189254,112.70022552623246
108.997,107.41809844970703,1039.79736328125,105.41947753748249,109.41671936193157
108.997,109.34452819824219,958.221435546875,107.42590799955855,111.26314839692583
108.997,107.60387420654297,907.2308349609375,105.73700035553269,109.47074805755325
108.997,109.2709732055664,971.4102172851562,107.33919436451791,111.2027520466149
108.997,108.87361145019531,983.5536499023438,106.92979569208838,110.81742720830225
108.997,110.08857727050781,944.3682861328125,108.18387645200434,111.99327808901128
108.997,108.9754638671875,956.6368408203125,107.05843071992705,110.89249701444795
108.997,108.08627319335938,990.160888671875,106.13593935785278,110.03660702886597
108.997,107.6694564819336,1031.5447998046875,105.67878260032222,109.66013036354497
108.997,109.98975372314453,961.7411499023438,108.06761304112752,111.91189440516155
108.997,109.31175231933594,928.2174682617188,107.4234090703279,111.20009556834397
108.997,108.0013198852539,1026.9642333984375,106.01507070677114,109.98756906373667
108.997,107.39163970947266,1024.6229248046875,105.4076559827426,109.37562343620272
108.997,110.01532745361328,997.9906005859375,108.05729765526726,111.9733572519593
108.997,108.7131118774414,961.6426391601562,106.79106963997688,110.63515411490593
108.997,109.36357879638672,1012.2062377929688,107.39165296535111,111.33550462742232
108.997,107.8635025024414,953.3895874023438,105.94972575502157,109.77727924986124
108.997,107.8526840209961,995.0030517578125,105.89758716313129,109.8077808788609
108.997,110.11992645263672,1003.2947387695312,108.15670026381969,112.08315264145375
108.997,108.37785339355469,890.9263916015625,106.52783100829105,110.22787577881833
108.997,107.03264617919922,935.8795776367188,105.13652514259601,108.92876721580242
108.997,107.27262878417969,924.2506713867188,105.38832483332695,109.15693273503243
108.997,108.46078491210938,1042.052001953125,106.45999832411377,110.46157150010498
108.997,107.34690856933594,942.1904907226562,105.44440522133358,109.24941191733829
108.997,107.20486450195312,945.1686401367188,105.29935673551678,109.11037226838947
108.997,108.8885269165039,931.66650390625,106.99667860297392,110.7803752300339
108.997,106.87298583984375,940.3338623046875,104.97235790007498,108.77361377961252
108.997,108.16291809082031,990.4256591796875,106.21232351164588,110.11351266999475
108.997,108.90562438964844,971.337646484375,106.97391770830824,110.83733107098864
108.997,109.53047180175781,1018.2522583007812,107.55266547264257,111.50827813087305
108.997,106.86100006103516,907.029296875,104.99433358121746,108.72766654085285
108.997,106.0548095703125,943.2239990234375,104.15126306059743,107.95835608002757
108.997,107.61222076416016,965.1824340820312,105.68664426898539,109.53779725933492
108.997,108.30718994140625,999.035400390625,106.34813547709429,110.26624440571821
108.997,108.16549682617188,955.5958862304688,106.24950696280021,110.08148668954354
108.997,108.05585479736328,933.9920654296875,106.16164680494147,109.9500627897851
108.997,108.4873046875,1007.9396362304688,106.51953922725252,110.45507014774748
108.997,109.17424774169922,1017.2754516601562,107.19739029233732,111.15110519106112
108.997,108.94751739501953,972.3507690429688,107.01480357389767,110.8802312161414
