truth,estimate,variance,lower,upper
2.121539888279284,2.1224894523620605,11.020007133483887,1.916736057726658,2.328242846997463
2.121539888279284,1.9735444784164429,6.655397891998291,1.8136464592232688,2.1334424976096167
2.121539888279284,2.1717395782470703,7.8198933601379395,1.9984164628460774,2.3450626936480634
2.121539888279284,2.1497230529785156,6.763916492462158,1.9885267081147358,2.3109193978422953
2.121539888279284,2.163376569747925,6.791508674621582,2.0018517737430197,2.32490136575283
2.121539888279284,2.119372606277466,7.3684258460998535,1.951127116797429,2.2876180957575025
2.121539888279284,2.1845834255218506,8.850858688354492,2.0001885808618587,2.3689782701818425
2.121539888279284,2.2680768966674805,7.543318748474121,2.0978464255286795,2.4383073678062814
2.121539888279284,2.1884257793426514,6.550905704498291,2.029787954866896,2.3470636038184067
2.121539888279284,2.0465030670166016,7.538376808166504,1.8763283675273636,2.2166777665058395
2.121539888279284,1.9813531637191772,6.066562175750732,1.8286924115450707,2.134013915893284
2.121539888279284,2.1959407329559326,6.566690444946289,2.0371119005189167,2.3547695653929486
2.121539888279284,2.1251912117004395,7.153804779052734,1.9594140828822306,2.2909683405186483
2.121539888279284,2.3466649055480957,7.4236650466918945,2.177789946944484,2.5155398641517075
2.121539888279284,2.124826192855835,7.573397159576416,1.954256668824639,2.295395716887031
2.121539888279284,1.9626291990280151,6.390318870544434,1.805947837746325,2.1193105603097053
2.121539888279284,2.240910053253174,6.157840728759766,2.0871051087825765,2.394714997723771
2.121539888279284,2.259855031967163,10.017035484313965,2.0636881552612816,2.4560219086730446
2.121539888279284,2.114759922027588,7.996338844299316,1.9394923114879898,2.290027532567186
2.121539888279284,2.262643814086914,7.542659759521484,2.092420778829703,2.432866849344125
2.121539888279284,2.127037763595581,5.9538373947143555,1.9758019816670485,2.2782735455241134
2.121539888279284,2.2649693489074707,7.160683631896973,2.0991125364447463,2.430826161370195
2.121539888279284,2.128664970397949,6.361600399017334,1.9723360732200281,2.2849938675758703
2.121539888279284,2.149717092514038,7.433668613433838,1.9807283906864679,2.318705794341608
2.121539888279284,2.179161310195923,7.733982563018799,2.006792904117277,2.3515297162745687
2.121539888279284,2.0080273151397705,5.845783710479736,1.8581701741615078,2.1578844561180333
2.121539888279284,2.18924617767334,6.936441898345947,2.026006981410047,2.3524853739366325
2.121539888279284,2.147892951965332,5.772191047668457,1.9989820755031906,2.2968038284274734
2.121539888279284,2.0488669872283936,9.253116607666016,1.860328469253923,2.2374055052028643
2.121539888279284,2.0203490257263184,8.196784973144531,1.842898274381524,2.1977997770711126
2.121539888279284,2.1083667278289795,6.053885459899902,1.9558655593654184,2.260867896292541
2.121539888279284,2.0642788410186768,6.866573810577393,1.901863848020142,2.2266938340172118
2.121539888279284,2.129791021347046,9.449784278869629,1.9392594195438133,2.3203226231502785
2.121539888279284,2.142361640930176,9.627243041992188,1.950049350968985,2.3346739308913667
2.121539888279284,2.1704368591308594,8.652779579162598,1.9881170356576259,2.352756682604093
2.121539888279284,2.177513837814331,7.447569847106934,2.008367202244344,2.346660473384318
2.121539888279284,2.134658098220825,9.75700855255127,1.9410540588634788,2.3282621375781716
2.121539888279284,2.015686511993408,5.4233222007751465,1.8713458227665039,2.1600272012203128
2.121539888279284,2.1479592323303223,6.661734104156494,1.9879851165036437,2.307933348157001
2.121539888279284,2.290173053741455,7.062807083129883,2.1254536569159694,2.4548924505669407
2.121539888279284,2.2444746494293213,7.017621994018555,2.080283003319595,2.4086662955390477
2.121539888279284,2.12587308883667,6.804205417633057,1.964197377821134,2.287548799852206
2.121539888279284,2.2876923084259033,5.56243371963501,2.14151212722014,2.433872489631667
2.121539888279284,2.323577404022217,34.83714294433594,1.9577490722394515,2.689405735804982
2.121539888279284,2.2853128910064697,6.798855781555176,2.1237007492273867,2.4469250327855527
2.121539888279284,2.070197105407715,5.677147388458252,1.9225172848244638,2.217876925990966
2.121539888279284,2.0712788105010986,7.146655082702637,1.9055845433531058,2.2369730776490915
2.121539888279284,2.016096353530884,9.77570915222168,1.822306869091777,2.2098858379699906
2.121539888279284,2.0698204040527344,7.181630611419678,1.9037211802230312,2.2359196278824376
