truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,1.408349752426147461e+00,1.711733267809803394e+00,1.666183552484098648e-02,1.458735031941983173e+00,1.964731503677623614e+00,1.848649423324961516e+00,3.685730196230974087e-02,1.472363612778763597e+00,2.224935233871159213e+00
2.121539888279284192e+00,1.294126868247985840e+00,1.840149892633044182e+00,1.941566063094676484e-02,1.567043316586539836e+00,2.113256468679548750e+00,1.928478564811757945e+00,2.330231858670487113e-02,1.629282663966366229e+00,2.227674465657149661e+00
2.121539888279284192e+00,2.030854225158691406e+00,2.190188076579867804e+00,1.735127181926162179e-02,1.932008592846408801e+00,2.448367560313327029e+00,2.266338344811027028e+00,1.909522924695347332e-02,1.995494787244862067e+00,2.537181902377191989e+00
2.121539888279284192e+00,1.224991679191589355e+00,1.763039424160525837e+00,2.740507824396008416e-02,1.438571631333568801e+00,2.087507216987482650e+00,1.956731842127935384e+00,4.619301393859385346e-02,1.535477664289302879e+00,2.377986019966567888e+00
2.121539888279284192e+00,1.586532235145568848e+00,1.912156701890504129e+00,3.264484847815863483e-02,1.558026146990628025e+00,2.266287256790380233e+00,1.857026570758519401e+00,4.022809769906812716e-02,1.463910480880808995e+00,2.250142660636230030e+00
2.121539888279284192e+00,1.512186884880065918e+00,1.713827526580390392e+00,2.316627742900454617e-02,1.415506271267826577e+00,2.012148781892954208e+00,1.756358740816079456e+00,1.740137988911383271e-02,1.497806732543044195e+00,2.014910749089114717e+00
2.121539888279284192e+00,1.472398638725280762e+00,1.817022825125255592e+00,4.115690483725883975e-02,1.419394398547359160e+00,2.214651251703152024e+00,1.769023826353460338e+00,4.012335952141656004e-02,1.376419830019401269e+00,2.161627822687519185e+00
2.121539888279284192e+00,1.589552879333496094e+00,1.839508125166306574e+00,2.311454595452091740e-02,1.541520139269412448e+00,2.137496111063200921e+00,1.795656486670695884e+00,1.871518199677050034e-02,1.527521738533134332e+00,2.063791234808257435e+00
2.121539888279284192e+00,1.913481831550598145e+00,2.271672405072696410e+00,3.213943505466281686e-02,1.920293900172364232e+00,2.623050909973028588e+00,2.337607403128486361e+00,4.712420473968891022e-02,1.912128443686319734e+00,2.763086362570652987e+00
2.121539888279284192e+00,1.757516741752624512e+00,2.038827957381194267e+00,3.095507808268322530e-02,1.693984474098653603e+00,2.383671440663734931e+00,2.057896952547047853e+00,3.525806055951177104e-02,1.689865207387176493e+00,2.425928697706919213e+00
2.121539888279284192e+00,1.353327751159667969e+00,2.290345931328864104e+00,6.939508168724502213e-02,1.774024184924821501e+00,2.806667677732906707e+00,2.241239676405673897e+00,6.855010365305284903e-02,1.728071011936020529e+00,2.754408340875327266e+00
2.121539888279284192e+00,6.619791984558105469e-01,1.122826790185213586e+00,2.132306121892494147e-02,8.366193968868886888e-01,1.409034183483538483e+00,1.353792889958862045e+00,6.137265438658674743e-02,8.682321943795023866e-01,1.839353585538221703e+00
2.121539888279284192e+00,1.806256413459777832e+00,2.081178623604237554e+00,3.878550875525706848e-02,1.695175501292778053e+00,2.467181745915697277e+00,2.210656422583306302e+00,4.411542803882619046e-02,1.798984431364624159e+00,2.622328413801988223e+00
