truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,2.000000000000000000e+03,9.849886634087925419e-01,9.262213439353977895e-01,1.403701053040746105e+00,8.742961190184014297e-01,9.781465688523941493e-01,9.483297095119549436e-01,8.241513661239564525e-01,9.085424006804834196e-01,9.881170183434264676e-01
1.000000000000000000e+00,2.000000000000000000e+03,1.011889284330123928e+00,9.994985594343350765e-01,1.199365550315022011e+00,9.515012537907356904e-01,1.047495865077934463e+00,9.950963288022346420e-01,8.877920550984047532e-01,9.538014020020451067e-01,1.036391255602424177e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.007719016238844745e+00,1.007200823161898739e+00,1.669020620939580590e+00,9.505805546293251140e-01,1.063821091694472365e+00,1.004084519489794491e+00,1.014486551786793811e+00,9.599412780062777095e-01,1.048227760973311273e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.016536693593954155e+00,1.017891839399585274e+00,1.735458815461173643e+00,9.601556350496470715e-01,1.075628043749523366e+00,1.016296823312701436e+00,8.000352047829344393e-01,9.770959608050082679e-01,1.055497685820394604e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.008683792879640162e+00,9.866524991076941475e-01,1.496920997419620925e+00,9.330308071179442830e-01,1.040274191097444012e+00,9.813992775177085015e-01,8.599663755490279948e-01,9.407566470153090332e-01,1.022041908020107970e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.834427376476468918e-01,9.586504871075458567e-01,1.088534966946050675e+00,9.129245867390459734e-01,1.004376387476045629e+00,9.528437574490895567e-01,7.382491566342426204e-01,9.151870318869399501e-01,9.905004830112391634e-01
1.000000000000000000e+00,2.000000000000000000e+03,1.008813347182614395e+00,1.025106556220524157e+00,1.863945882810117638e+00,9.652712217458037092e-01,1.084941890695244604e+00,9.952168555576667019e-01,8.019454499027356409e-01,9.559692209770557225e-01,1.034464490138277792e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.873541256265543353e-01,9.691925238911631713e-01,1.620482043382082349e+00,9.134016473168673489e-01,1.024983400465458994e+00,9.664033871126367359e-01,7.173502924611683262e-01,9.292834943089200994e-01,1.003523279916353372e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.001216154522341473e+00,9.842718890845720825e-01,1.448947705047757273e+00,9.315164272644369525e-01,1.037027350904707212e+00,1.011193217338652639e+00,7.836912518773356817e-01,9.723948390657661811e-01,1.049991595611539097e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.002610935461525354e+00,1.013573372776270132e+00,1.478152228185634520e+00,9.602889022440506128e-01,1.066857843308489651e+00,9.924320225176106458e-01,8.855653617960045354e-01,9.511889146456550259e-01,1.033675130389566155e+00
