truth,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.035074750082165096e+00,1.006478978711724093e+00,1.577707251775229524e+00,8.963797491193266076e-01,1.116578208304121578e+00,1.033595950092104143e+00,1.155506825831052131e+00,9.393728635144232841e-01,1.127819036669784891e+00
1.000000000000000000e+00,1.039946891086034775e+00,1.122613614943275273e+00,2.949746991005242513e+00,9.720696144607203770e-01,1.273157615425830169e+00,1.073829004114068120e+00,1.257914559792236986e+00,9.755192429212155014e-01,1.172138765306920849e+00
1.000000000000000000e+00,1.028857196051993661e+00,1.006412886900579506e+00,3.001901117763930316e+00,8.545438424313268611e-01,1.158281931369832041e+00,1.036721542307127875e+00,1.156866469419392640e+00,9.424430375574073260e-01,1.131000047056848423e+00
1.000000000000000000e+00,9.670721574220030314e-01,8.996530370920866604e-01,8.364345113319267000e+00,6.461477385781215776e-01,1.153158335606051743e+00,9.494207449476164129e-01,1.293805869698411604e+00,8.497183414757499831e-01,1.049123148419482732e+00
1.000000000000000000e+00,9.800063988922619318e-01,1.017953908852595291e+00,1.667686252865463237e+00,9.047586482715270773e-01,1.131149169433663504e+00,9.967983827923713180e-01,1.208310942602932814e+00,9.004464516534115281e-01,1.093150313931331219e+00
1.000000000000000000e+00,9.969073388588706175e-01,1.035813583439834096e+00,1.450572189004672108e+00,9.302435297192799268e-01,1.141383637160388265e+00,1.039415987256284479e+00,1.192609843335278752e+00,9.436921138060651026e-01,1.135139860706503967e+00
1.000000000000000000e+00,1.031893261002218232e+00,9.958230396001663820e-01,2.386375050329371472e+00,8.604162569536142335e-01,1.131229822246718530e+00,9.863776371472324778e-01,9.320378882500613971e-01,9.017547472001096187e-01,1.071000527094355448e+00
1.000000000000000000e+00,9.904792392296781767e-01,1.025102793939237422e+00,1.948100787988149785e+00,9.027604546847072253e-01,1.147445133193767619e+00,1.048406839217565834e+00,1.568080101534363946e+00,9.386440356996671452e-01,1.158169642735464411e+00
1.000000000000000000e+00,9.863165757707949011e-01,9.398082651687283962e-01,3.021664878763960616e+00,7.874401070892947940e-01,1.092176423248162109e+00,9.330027083039121871e-01,1.347823974360930155e+00,8.312402340817810487e-01,1.034765182526043326e+00
1.000000000000000000e+00,9.870524652107560692e-01,9.197981659828068368e-01,3.173028210746618338e+00,7.636603731560590580e-01,1.075935958809554727e+00,9.642928945605393487e-01,1.231052574698981328e+00,8.670384697669741847e-01,1.061547319354104513e+00
1.000000000000000000e+00,9.816991227150292376e-01,9.628515798961395644e-01,1.551066947952220110e+00,8.536858454621767400e-01,1.072017314330102389e+00,9.626661136937350038e-01,1.270698238040729455e+00,8.638580740283589021e-01,1.061474153359110995e+00
1.000000000000000000e+00,9.882173084640542005e-01,9.178925226873098087e-01,1.995685311433403664e+00,7.940650241871578530e-01,1.041720021187461764e+00,1.003888675514461148e+00,1.151831107000223620e+00,9.098155722314072991e-01,1.097961778797515109e+00
1.000000000000000000e+00,9.720237953598209746e-01,1.014018732207028206e+00,2.987219696292181759e+00,8.625215164882167329e-01,1.165515947925839679e+00,9.152363213526510943e-01,1.358672945940369470e+00,8.130651122071729242e-01,1.017407530498129375e+00
1.000000000000000000e+00,9.585975721630105584e-01,9.396105826715784870e-01,1.909880992926753951e+00,8.184743055088109509e-01,1.060746859834345912e+00,9.307396105625195259e-01,1.188126390199683247e+00,8.351958369235104040e-01,1.026283384201528648e+00
1.000000000000000000e+00,9.990764359821164842e-01,1.035869603691599972e+00,1.872628584686367947e+00,9.159205314073080029e-01,1.155818675975891940e+00,1.005063872742598896e+00,1.100785253983481482e+00,9.130989160286098194e-01,1.097028829456587973e+00
1.000000000000000000e+00,1.002904983527845850e+00,1.075842203497239913e+00,7.241544353031871495e+00,8.399646217451486319e-01,1.311719785249331194e+00,9.979222281657846860e-01,1.550362308582854842e+00,8.887812931812254513e-01,1.107063163150344032e+00
1.000000000000000000e+00,9.789293809467021212e-01,9.192130234420364809e-01,2.759747535628715553e+00,7.735981469158292878e-01,1.064827899968243674e+00,9.886129415798668996e-01,1.122561924395012678e+00,8.957427753395087455e-01,1.081483107820225165e+00
1.000000000000000000e+00,9.955679892462232505e-01,9.852066178213965131e-01,3.389807343850217869e+00,8.238233231956205715e-01,1.146589912447172344e+00,9.700750534006163939e-01,1.411938874796752952e+00,8.659203186890421788e-01,1.074229788112190720e+00
1.000000000000000000e+00,1.044709528584793157e+00,1.016374598455568545e+00,1.380857546343876363e+00,9.133726339108606540e-01,1.119376563000276548e+00,1.045490401563944571e+00,1.488671701903066635e+00,9.385429265116478348e-01,1.152437876616241308e+00
1.000000000000000000e+00,9.662025759977437289e-01,8.695537879070461829e-01,2.595115578302795267e+00,7.283490004130803719e-01,1.010758575401011994e+00,9.367970769413783705e-01,1.043662282436986111e+00,8.472500722543434559e-01,1.026344081628413285e+00
1.000000000000000000e+00,1.000337560254161762e+00,9.817254907394886709e-01,2.676632217919896917e+00,8.383201189547394572e-01,1.125130862524237774e+00,1.031799728540229388e+00,1.069199212285800504e+00,9.411638008523954824e-01,1.122435656228063294e+00
1.000000000000000000e+00,1.027687251632399157e+00,1.040706181130676589e+00,3.638886089176456728e+00,8.734988559312089063e-01,1.207913506330144271e+00,9.996630937713371079e-01,1.033929262226764845e+00,9.105346173592460124e-01,1.088791570183428314e+00
1.000000000000000000e+00,9.642959181700980764e-01,8.785834637461727992e-01,1.957440256273029311e+00,7.559482119749265649e-01,1.001218715517419033e+00,9.214012352345880563e-01,1.085466887467555264e+00,8.300784057241599179e-01,1.012724064745016195e+00
1.000000000000000000e+00,1.049704408859010840e+00,1.016871320681868029e+00,2.508720990783285032e+00,8.780368684865065276e-01,1.155705772877229531e+00,1.072518991434764590e+00,1.366800312705243714e+00,9.700426519091115418e-01,1.174995330960417750e+00
1.000000000000000000e+00,1.032995359445334937e+00,1.120511400586857054e+00,1.351601105720365403e+00,1.018606436941945637e+00,1.222416364231768471e+00,1.066973905734422745e+00,1.146590192461012903e+00,9.731150661575536098e-01,1.160832745311291880e+00
1.000000000000000000e+00,9.966061434836638311e-01,1.112973380295895875e+00,1.862812373963551149e+00,9.933391041387813480e-01,1.232607656453010403e+00,1.041764190358151376e+00,1.015995792541818155e+00,9.534120603710520836e-01,1.130116320345250669e+00
1.000000000000000000e+00,9.993523417659230246e-01,1.021310313314768292e+00,1.607485151778472288e+00,9.101769253607229215e-01,1.132443701268813552e+00,9.934253985804500919e-01,9.778296309510229323e-01,9.067486391779269184e-01,1.080102157982973266e+00
1.000000000000000000e+00,9.955509097652711636e-01,9.726392881745055119e-01,1.323923786612441367e+00,8.717830973020522789e-01,1.073495479046958634e+00,9.539724976505902232e-01,1.183559474725454530e+00,8.586125261939532294e-01,1.049332469107227217e+00
1.000000000000000000e+00,9.581976419362040476e-01,8.071586292090727754e-01,3.003529665623812850e+00,6.552483954296434154e-01,9.590688629885021355e-01,8.989089236303161590e-01,1.188451225717501947e+00,8.033520899791706249e-01,9.944657572814616930e-01
1.000000000000000000e+00,1.000268130815200163e+00,1.028401567790840021e+00,1.596971558855289297e+00,9.176322043323594801e-01,1.139170931249320562e+00,1.042012479104878819e+00,1.461973845796982863e+00,9.360283413670673625e-01,1.147996616842690276e+00
1.000000000000000000e+00,1.006867801747276303e+00,1.000907338222354781e+00,1.305999775862963563e+00,9.007361972789157400e-01,1.101078479165793711e+00,9.435804603657417244e-01,1.221184192624057641e+00,8.467166260994420934e-01,1.040444294632041355e+00
1.000000000000000000e+00,1.009895775986916266e+00,9.882287693001953199e-01,1.533566977111267438e+00,8.796806150158350546e-01,1.096776923584555696e+00,1.009404259050208363e+00,1.282111131043466301e+00,9.101534845341716640e-01,1.108655033566245063e+00
1.000000000000000000e+00,1.037585063457493240e+00,1.031085887339192153e+00,1.977745417775583991e+00,9.078162090162024134e-01,1.154355565662181782e+00,1.053983535632114110e+00,1.305902047888364947e+00,9.538161426624661710e-01,1.154150928601762160e+00
1.000000000000000000e+00,1.003634719275866338e+00,8.978604168128382357e-01,2.197073367834401214e+00,7.679352302640197747e-01,1.027785603361656586e+00,9.520469782239699974e-01,1.036500548978693148e+00,8.628077434787465583e-01,1.041286212969193326e+00
1.000000000000000000e+00,1.063325282588315268e+00,1.011195710187434482e+00,1.582175345800429511e+00,9.009406893636467961e-01,1.121450731011222279e+00,1.030874530288209856e+00,8.175146316537270641e-01,9.516209599085612147e-01,1.110128100667858497e+00
1.000000000000000000e+00,9.961647636991244337e-01,1.051360859267613357e+00,6.489339530685790614e+00,8.280698082105567570e-01,1.274651910324670068e+00,1.004592714514847884e+00,1.469798743108463146e+00,8.983253267467703473e-01,1.110860102282925421e+00
1.000000000000000000e+00,1.001344710225666512e+00,1.015674833476901240e+00,2.201491234697229515e+00,8.856190859898110945e-01,1.145730580963991496e+00,9.415702868635088540e-01,1.440510403152604368e+00,8.363670096830801981e-01,1.046773564043937510e+00
1.000000000000000000e+00,1.010790298423337230e+00,9.697058493505903431e-01,3.098503336157511168e+00,8.154125545112961282e-01,1.123999144189884669e+00,1.007168645656862704e+00,1.331192202106129985e+00,9.060359806706090868e-01,1.108301310643116322e+00
1.000000000000000000e+00,1.055130496284612862e+00,1.066087531184715109e+00,1.913385576017304635e+00,9.448401639652321826e-01,1.187334898404198036e+00,1.053831418323110558e+00,1.186880638465712012e+00,9.583377466926839006e-01,1.149325089953537216e+00
1.000000000000000000e+00,1.039641609430767000e+00,9.020666348970344250e-01,3.356132960673409826e+00,7.414869326820722195e-01,1.062646337111996520e+00,9.722869144218806436e-01,1.038899904425818033e+00,8.829444511377040339e-01,1.061629377706057253e+00
1.000000000000000000e+00,1.013717140697337316e+00,9.696840507294749445e-01,1.806269726688396693e+00,8.518794176962520837e-01,1.087488683762697805e+00,9.641973833664817528e-01,1.332528863029574628e+00,8.630139570535285687e-01,1.065380809679434826e+00
1.000000000000000000e+00,9.901820039624005254e-01,9.067929730976505009e-01,6.939179089859513816e+00,6.758923434250386775e-01,1.137693602770262213e+00,9.704691325981721350e-01,1.018445505679871355e+00,8.820105518428853486e-01,1.058927713353458921e+00
1.000000000000000000e+00,9.862466157561312619e-01,9.570313073410002813e-01,1.613627593833829144e+00,8.456857931567993703e-01,1.068376821525201192e+00,1.002690117327982300e+00,9.312329571111492843e-01,9.181037764916724075e-01,1.087276458164292192e+00
1.000000000000000000e+00,1.025896618881419364e+00,1.073698287005746765e+00,3.291433947031125573e+00,9.146739325758999062e-01,1.232722641435593625e+00,1.048947769594302359e+00,8.732507236240363291e-01,9.670370867760753608e-01,1.130858452412529358e+00
1.000000000000000000e+00,9.942576682625783313e-01,1.106593844522764103e+00,5.172853351085741735e+00,9.072347041076279650e-01,1.305952984937900130e+00,1.053067513082317497e+00,9.227156578115134344e-01,9.688688851713033179e-01,1.137266140993331787e+00
1.000000000000000000e+00,1.015182514689259241e+00,1.020524148308732837e+00,7.250433657458478898e+00,7.845018360647736388e-01,1.256546460552692146e+00,1.020942245318330555e+00,1.231467260023153765e+00,9.236714416195336286e-01,1.118213049017127592e+00
1.000000000000000000e+00,1.066716939929077013e+00,1.096470389664747191e+00,1.389747557483945073e+00,9.931373918680093116e-01,1.199803387461485071e+00,1.099681074361814614e+00,1.295547601173872687e+00,9.999115833871730086e-01,1.199450565336456220e+00
1.000000000000000000e+00,1.040774483938216255e+00,1.005449933469030110e+00,2.673953501590989656e+00,8.621163381627521272e-01,1.148783528775308094e+00,1.035858560138704920e+00,8.696657676597929765e-01,9.541161841878939009e-01,1.117600936089515828e+00
1.000000000000000000e+00,9.382534386386280900e-01,9.038630578814971228e-01,2.591711107241276402e+00,7.627509224035157187e-01,1.044975193359478416e+00,9.298712807257465407e-01,1.225381899046402712e+00,8.328411090946846729e-01,1.026901452356808297e+00
1.000000000000000000e+00,9.997568876686198092e-01,9.338684314422676103e-01,3.232568171786613487e+00,7.762725311863570843e-01,1.091464331698178247e+00,9.589136734873129342e-01,9.734420279950315447e-01,8.724315956359370849e-01,1.045395751338688672e+00
1.000000000000000000e+00,1.013771219066065044e+00,1.034433401604373248e+00,2.792322401734397719e+00,8.879616586741898576e-01,1.180905144534556639e+00,1.017571998280610623e+00,8.980532044315734375e-01,9.345062268685021545e-01,1.100637769692719203e+00
1.000000000000000000e+00,1.027039691395585486e+00,1.013836639404616990e+00,2.851973174642952191e+00,8.658086680768415366e-01,1.161864610732392444e+00,1.020436374216822983e+00,1.268425636543708546e+00,9.217167315377056136e-01,1.119156016895940464e+00
1.000000000000000000e+00,1.026306704729457175e+00,9.463205256437032808e-01,1.639748724444417549e+00,8.340774082616055907e-01,1.058563643025800971e+00,9.929465708866742624e-01,1.326674148737521097e+00,8.919856734085905847e-01,1.093907468364757829e+00
1.000000000000000000e+00,1.007179821828737776e+00,1.005635068934478848e+00,6.861346179825313030e+00,7.760330328615514528e-01,1.235237105007406244e+00,9.515264216683840814e-01,1.484712150450668844e+00,8.447212701337198926e-01,1.058331573203048270e+00
1.000000000000000000e+00,1.006610567853310378e+00,1.116772777563621366e+00,1.720988391964739073e+00,1.001782786637700040e+00,1.231762768489542692e+00,1.054067000662280762e+00,1.011263556421220233e+00,9.659208711006516124e-01,1.142213130223910023e+00
1.000000000000000000e+00,1.062034712975609585e+00,1.140400474333636893e+00,4.955252763368551250e+00,9.452794912705300145e-01,1.335521457396743772e+00,1.071368615825356363e+00,1.116418235232725653e+00,9.787529336492795107e-01,1.163984298001433215e+00
1.000000000000000000e+00,1.091668928010353978e+00,1.143543968783142573e+00,2.809246356568506631e+00,9.966290219370603776e-01,1.290458915629224768e+00,1.103409507559138580e+00,1.210933716242120983e+00,1.006953061799244153e+00,1.199865953319033007e+00
1.000000000000000000e+00,9.671230943822786141e-01,9.472591604814281085e-01,1.419083453781686321e+00,8.428412406012875113e-01,1.051677080361568706e+00,9.214149652650899247e-01,7.437740902813750887e-01,8.458202227861988387e-01,9.970097077439810107e-01
1.000000000000000000e+00,1.050119030449631730e+00,1.143860808758003333e+00,4.561582769307635843e+00,9.566508925325415413e-01,1.331070724983465237e+00,1.055960766593287525e+00,1.572780188564758541e+00,9.460335873118161931e-01,1.165887945874758858e+00
1.000000000000000000e+00,1.005613201640801257e+00,1.035560509152882336e+00,4.522401703837929610e+00,8.491563333119758195e-01,1.221964684993788852e+00,9.959106837233236975e-01,1.190318312642224541e+00,9.002788184288899043e-01,1.091542549017757491e+00
1.000000000000000000e+00,9.953303698319875270e-01,9.881994984421037520e-01,1.790155136414262049e+00,8.709215382616075640e-01,1.105477458622599940e+00,9.834351556296319075e-01,1.021501537413062044e+00,8.948439562233023725e-01,1.072026355035961442e+00
1.000000000000000000e+00,1.012021165498909081e+00,9.965618415398117547e-01,1.626056002132288514e+00,8.847883497111013185e-01,1.108335333368522191e+00,1.053177144617983174e+00,1.277714493898040260e+00,9.540966924615793543e-01,1.152257596774386883e+00
1.000000000000000000e+00,1.023075025969290452e+00,1.171131746574826549e+00,9.841912632915420289e+00,8.961455957577066922e-01,1.446117897391946405e+00,1.030246402094568525e+00,1.276114134064914696e+00,9.312280193828338382e-01,1.129264784806303101e+00
1.000000000000000000e+00,1.010433855427975924e+00,1.085249709757890368e+00,2.224322691705457267e+00,9.545213038741217071e-01,1.215978115641659141e+00,9.957932332924540608e-01,1.320067503822411448e+00,8.950840348775707112e-01,1.096502431707337522e+00
1.000000000000000000e+00,1.038911895979869326e+00,9.877110519815506251e-01,1.377799431075693803e+00,8.848232072726600617e-01,1.090598896690441189e+00,1.004341362608627053e+00,1.211558389725611473e+00,9.078600409969295182e-01,1.100822684220324588e+00
1.000000000000000000e+00,1.034500431615666960e+00,1.017354873219812106e+00,1.710649066140778052e+00,9.027108201469516979e-01,1.131998926292672403e+00,1.071177858717261344e+00,1.422237719735371053e+00,9.666439558518713504e-01,1.175711761582651338e+00
1.000000000000000000e+00,1.034865053570603655e+00,9.902147315193854382e-01,1.746047890353287002e+00,8.743905753551276527e-01,1.106038887683643335e+00,1.000202563200767170e+00,1.182675974085999782e+00,9.048781904302235501e-01,1.095526935971310678e+00
1.000000000000000000e+00,1.008063321209963448e+00,9.267951922886220606e-01,1.111559792960187032e+00,8.343812528569989340e-01,1.019209131720245187e+00,9.218300721465738645e-01,1.073531675964907617e+00,8.310106988126118033e-01,1.012649445480535926e+00
1.000000000000000000e+00,9.893095171748118588e-01,9.302259259858671747e-01,1.768496731528729216e+00,8.136595754052577956e-01,1.046792276566476554e+00,9.935126487319896338e-01,9.709521640387466235e-01,9.071412433553113219e-01,1.079884054108668057e+00
