truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,2.000000000000000000e+03,9.846357404565828642e-01,9.206847007749277001e-01,1.715332236238285901e+00,8.632842638483110287e-01,9.780851377015443715e-01,9.392236834798561862e-01,1.060175545644796546e+00,8.940973587006929568e-01,9.843500082590194156e-01
1.000000000000000000e+00,2.000000000000000000e+03,1.012507978863630642e+00,9.968856157657226547e-01,1.415509612494612712e+00,9.447424391873854299e-01,1.049028792344059768e+00,9.946427794777711329e-01,1.136676557713006908e+00,9.479166804317867845e-01,1.041368878523755592e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.008542650885725367e+00,1.006260360904552842e+00,1.977874844611268168e+00,9.446235050346325490e-01,1.067897216774473135e+00,1.003811051870028503e+00,1.163873269806557698e+00,9.565292606957885857e-01,1.051092843044268532e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.018013446522212595e+00,1.014319764412000557e+00,2.046789282199202198e+00,9.516183062690815042e-01,1.077021222554919611e+00,1.012284947960529591e+00,1.026240834203835606e+00,9.678867115728223558e-01,1.056683184348236715e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.008685757319462528e+00,9.873529988020083303e-01,1.814196897211884041e+00,9.283215715774816301e-01,1.046384426026534920e+00,9.736613414369905684e-01,1.092643424950096698e+00,9.278492306949155388e-01,1.019473452179065598e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.827121442789810146e-01,9.597505532066159528e-01,1.385864712971453194e+00,9.081562808435370560e-01,1.011344825569694850e+00,9.439995788279671451e-01,9.905665829567755765e-01,9.003798551637418601e-01,9.876193024921924302e-01
1.000000000000000000e+00,2.000000000000000000e+03,1.008675068465156199e+00,1.031049329474749587e+00,2.277502553150971831e+00,9.649083670982284699e-01,1.097190291851270816e+00,9.995768534163294028e-01,1.037584227663407743e+00,9.549339168586177262e-01,1.044219789974041079e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.871973679836292259e-01,9.704553803462233619e-01,1.947525234896604118e+00,9.092932476889215021e-01,1.031617513003525222e+00,9.648377858904330084e-01,9.562996919426229869e-01,9.219791759236668494e-01,1.007696395857199168e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.001939907932126950e+00,9.796769607789933554e-01,1.760166055081795466e+00,9.215312218241815678e-01,1.037822699733805143e+00,1.015704609262989111e+00,1.044836394948202685e+00,9.709059290657275909e-01,1.060503289460250631e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.002842067813987548e+00,1.014639041075831694e+00,1.740745549661844027e+00,9.568149625981726691e-01,1.072463119553490607e+00,9.931330417655684917e-01,1.163766445025140595e+00,9.458534204937742995e-01,1.040412663037362684e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.012232576928218331e+00,1.019320677251564167e+00,1.417579959212974305e+00,9.671393818895641648e-01,1.071501972613564169e+00,1.004610964620977320e+00,1.080506947512670290e+00,9.590539921054299644e-01,1.050167937136524676e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.904933050033691844e-01,9.388679913329559534e-01,1.509333945595870530e+00,8.850244342188448021e-01,9.927115484470671047e-01,9.645010061705577842e-01,1.009347213492356232e+00,9.204697203878768885e-01,1.008532291953238680e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.941758079437211792e-01,9.985554076277343150e-01,1.550938614569365104e+00,9.439747985173109202e-01,1.053136016738157821e+00,1.007671496074643125e+00,1.002479705258370490e+00,9.637902584227687752e-01,1.051552733726517586e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.003626362592545895e+00,9.642762892808809383e-01,1.291150126633558326e+00,9.144762776017885120e-01,1.014076300959973365e+00,9.846129333323351274e-01,9.779150660668740613e-01,9.412726603878640574e-01,1.027953206276806197e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.009366804809344487e+00,1.032267709576098147e+00,3.023084114199871664e+00,9.560657413170360330e-01,1.108469677835160372e+00,1.005808852545196030e+00,9.868146789216869497e-01,9.622718150337532528e-01,1.049345890056638808e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.018276806262434553e+00,1.029745237728963536e+00,1.682036645920407469e+00,9.729046185426464266e-01,1.086585856915280646e+00,1.010792790478602265e+00,1.032154546510243964e+00,9.662668154422611178e-01,1.055318765514943413e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.894552093001264259e-01,9.553452010406578987e-01,1.489893707185951932e+00,9.018495205350061106e-01,1.008840881546309687e+00,9.576025900845622774e-01,1.005508270704793095e+00,9.136551181849209557e-01,1.001550061984203710e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.000152536240879853e+00,9.754608073531836343e-01,1.530972774090078481e+00,9.212326550292087024e-01,1.029688959677158566e+00,9.981409937696270607e-01,1.082578960342021501e+00,9.525403614601408719e-01,1.043741626079113249e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.017996949584229149e+00,1.031726289891256476e+00,1.680730328609015833e+00,9.749077470096214615e-01,1.088544832772891491e+00,1.028910135424237593e+00,1.112986274328508607e+00,9.826735261656619480e-01,1.075146744682813127e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.020724618739676792e+00,1.014500225075946283e+00,1.043716439773363591e+00,9.697255610625036271e-01,1.059274889089389049e+00,1.011047640102048284e+00,1.015763237722509427e+00,9.668766312046119804e-01,1.055218648999484587e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.009096388342525685e+00,1.021968781072674748e+00,2.195530917372161994e+00,9.570289952238713038e-01,1.086908566921478192e+00,1.002968299572813526e+00,1.044478831309959554e+00,9.581772855278047896e-01,1.047759313617822263e+00
1.000000000000000000e+00,2.000000000000000000e+03,1.012659222689217264e+00,1.020118376320835019e+00,1.622963694763797315e+00,9.642847962376780435e-01,1.075951956403991883e+00,1.022379527094668727e+00,1.041537201735525553e+00,9.776516313572924943e-01,1.067107422832044961e+00
1.000000000000000000e+00,2.000000000000000000e+03,9.988572558822264025e-01,9.960674350530708265e-01,1.409224486770755069e+00,9.440401499596771107e-01,1.048094720146464542e+00,9.791420648378982294e-01,9.780356663553084751e-01,9.357991195303251297e-01,1.022485010145471440e+00
