truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.000000000000000000e+03,9.746928725381786007e-01,8.893024120346020300e-01,2.240237027991045515e+00,7.965333731976581566e-01,9.820714508715459035e-01,9.390593555221325994e-01,1.014490892018661050e+00,8.766312511877953906e-01,1.001487459856469808e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.833640004254959877e-01,9.605028285806058719e-01,1.686137252202541958e+00,8.800201293958662685e-01,1.040985527765345475e+00,9.802487616351529542e-01,1.029296136486019142e+00,9.173667766320958705e-01,1.043130746638210038e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.020523283170940321e+00,1.030190933424941724e+00,1.377683277671235107e+00,9.574413074499457110e-01,1.102940559399937737e+00,1.053639650820405782e+00,1.011664832969904282e+00,9.912985598583670122e-01,1.115980741782444552e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.037526846426268579e+00,9.826586292458444616e-01,2.602728472988932840e+00,8.826654209673104878e-01,1.082651837524378546e+00,1.047240432125287279e+00,1.018716288532694358e+00,9.846824550637869322e-01,1.109798409186787627e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.867916971598805764e-01,9.547350033232709920e-01,1.742712704531298007e+00,8.729132145031319734e-01,1.036556792143410011e+00,9.806104129141299808e-01,9.099496433087751468e-01,9.214862845929869817e-01,1.039734541235272980e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.018742300741338314e+00,9.520144488856733256e-01,1.861913667274968764e+00,8.674406494900950282e-01,1.036588248281251623e+00,9.529756560402706800e-01,8.998728988209259150e-01,8.941798081587197800e-01,1.011771503921821580e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.018217847070063575e+00,9.792808538625186188e-01,1.581918462972251582e+00,9.013251102168179374e-01,1.057236597508219411e+00,9.961623178183970362e-01,1.029184416249194323e+00,9.332837455265351467e-01,1.059040890110259037e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.710543173306513953e-01,9.326881997392285628e-01,1.827761456001845808e+00,8.488936390006179833e-01,1.016482760477839031e+00,9.707159884809737349e-01,1.093754191351063332e+00,9.058949571601574435e-01,1.035537019801789915e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.013200666846676645e+00,9.876480800601947774e-01,1.259563066448328827e+00,9.180870458810805879e-01,1.057209114239308967e+00,9.598942642166090611e-01,9.547999042392893987e-01,8.993305844066300514e-01,1.020457944026587960e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.881239986115543106e-01,8.946927914959320605e-01,2.728786531241136792e+00,7.923067263385291659e-01,9.970788566533349551e-01,9.374629756933955393e-01,9.682125158578773760e-01,8.764753933432185562e-01,9.984505580435725225e-01
