truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,5.000000000000000000e+02,1.016822562212620129e+00,1.052120251366871484e+00,3.227836176621661224e+00,8.946397417403797458e-01,1.209600760993363222e+00,1.058058930382336227e+00,1.227458926451233001e+00,9.609465602963882525e-01,1.155171300468284201e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.031081603234686561e+00,1.036043831680746985e+00,1.837022056364019829e+00,9.172405999761504836e-01,1.154847063385343375e+00,1.042627038217412982e+00,9.598716937343495514e-01,9.567498806183182269e-01,1.128504195816507627e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.884019770305009223e-01,1.067351567781715582e+00,1.369345723731474118e+00,9.647798510924953108e-01,1.169923284470935743e+00,9.956450781632031344e-01,1.149861291551054210e+00,9.016524493285702491e-01,1.089637706997836020e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.050585875597553231e+00,1.027684087670002189e+00,4.359387491863000896e+00,8.446703013655769698e-01,1.210697873974427408e+00,1.066631410700057403e+00,1.370909879898378536e+00,9.640011286716266836e-01,1.169261692728488011e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.777302998749254348e-01,1.022419246704556750e+00,1.873025167340038655e+00,9.024574737695630899e-01,1.142381019639550521e+00,1.051796961870749891e+00,1.097602513652708112e+00,9.599650522047928902e-01,1.143628871536706892e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.018668362325100274e+00,1.003484509553652204e+00,1.574431323656342085e+00,8.934996435678430604e-01,1.113469375539461348e+00,1.030354840450266041e+00,1.145705637802887145e+00,9.365322122821788664e-01,1.124177468618353215e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.016279979435920744e+00,9.652645003020144943e-01,4.635646022255594190e+00,7.765409047496983908e-01,1.153988095854330487e+00,1.088776356876302476e+00,1.258425087032123191e+00,9.904466480966808151e-01,1.187106065655924247e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.882751446788904381e-01,9.341356796024509190e-01,2.020371171109186736e+00,8.095446856186716555e-01,1.058726673586230183e+00,9.405184082418638347e-01,9.898628654381330660e-01,8.533099547081939296e-01,1.027726861775533740e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.063834411344303676e+00,1.059396273550164080e+00,2.631693244769369944e+00,9.171998406194747933e-01,1.201592706480853368e+00,1.054228080798709222e+00,1.256190333833908657e+00,9.559857194014347304e-01,1.152470442195983713e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.041237477118774013e+00,9.956603317106652584e-01,3.495825775818194980e+00,8.317727830659731314e-01,1.159547880355357385e+00,1.033167371615365981e+00,1.343475052792513447e+00,9.315692046751330446e-01,1.134765538555598807e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.041147057723453173e+00,1.069179345330843134e+00,1.709720938185183003e+00,9.545663970559453704e-01,1.183792293605741008e+00,1.037059904904468199e+00,1.067964533850778830e+00,9.464763241269216199e-01,1.127643485682014779e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.002507058896805470e+00,9.149841822154938242e-01,1.857169560329021696e+00,7.955312409962842501e-01,1.034437123434703398e+00,9.686152731497639223e-01,9.919276888968060479e-01,8.813159099256719919e-01,1.055914636373855853e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.631995737167755589e-01,9.259244948207606685e-01,1.519634071710042722e+00,8.178705615292668485e-01,1.033978428112254599e+00,9.169757173089093660e-01,1.380057423142600825e+00,8.140035987840910092e-01,1.019947835833727723e+00
1.000000000000000000e+00,5.000000000000000000e+02,9.879166973675067576e-01,1.050734523677058885e+00,2.951960043141098389e+00,9.001340608508719976e-01,1.201334986503245661e+00,9.880869701683188122e-01,1.256799998652212036e+00,8.898207717598901612e-01,1.086353168576747574e+00
1.000000000000000000e+00,5.000000000000000000e+02,1.024524331674069311e+00,1.096221968539466518e+00,5.536400598353012903e+00,8.899763065795943673e-01,1.302467630499338780e+00,1.071588768773581002e+00,1.032068257691812985e+00,9.825405411803395106e-01,1.160636996366822604e+00
