truth,n,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.000000000000000000e+03,1.015254666309890030e+00,9.827393606296802586e-01,1.007272059515628815e+00,9.205337632622789812e-01,1.044944957997081536e+00,9.573708652866372848e-01,7.920552223810498615e-01,9.022096529876038051e-01,1.012532077585670764e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.814858573656159990e-01,9.001832603382993181e-01,1.696184414195163859e+00,8.194611317391837790e-01,9.809053889374148572e-01,9.503570382054805643e-01,8.629466615549498121e-01,8.927801687609762116e-01,1.007933907649984917e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.012262654434191500e+00,9.813741632864588782e-01,1.795967438465349231e+00,8.983116054664128658e-01,1.064436721106504891e+00,1.011426771167025507e+00,7.744829439677646254e-01,9.568808851851610120e-01,1.065972657148890113e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.989503802964675439e-01,9.789897314441780019e-01,8.954229723290818566e-01,9.203394382607726909e-01,1.037640024627583424e+00,9.853418210877551431e-01,7.347608955167129752e-01,9.322131333925277596e-01,1.038470508782982415e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.011285083191935774e+00,1.012064713946182692e+00,8.366372414304255045e-01,9.553723367982880355e-01,1.068757091094077349e+00,9.993817584164688128e-01,7.242839727016907592e-01,9.466332104788164337e-01,1.052130306354121192e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.011493654842332113e+00,1.055701499319544157e+00,1.306881346755675688e+00,9.848459040450945334e-01,1.126557094593993780e+00,1.034649508554547737e+00,7.798720558096300381e-01,9.799141772812443030e-01,1.089384839827851170e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.025556496912142901e+00,1.010897997816129212e+00,1.690379979324522886e+00,9.303141053277845796e-01,1.091481890304473845e+00,1.002130103668791516e+00,7.786045632150951912e-01,9.474392699756842839e-01,1.056820937361898638e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.010014166734518604e+00,9.703369050866308410e-01,2.385556007732961170e+00,8.746062832391418018e-01,1.066067526934119769e+00,9.745984417680905176e-01,6.821103614078555255e-01,9.234086462578091625e-01,1.025788237278371762e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.860657407355929438e-01,1.004712570210367195e+00,1.572258657623196498e+00,9.269952049750140866e-01,1.082429935445720304e+00,1.002072697684174285e+00,6.876631679313984780e-01,9.506749659645228334e-01,1.053470429403825737e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.893313110181106707e-01,9.749946548800070278e-01,9.719882124394402245e-01,9.138882729145579864e-01,1.036101036845455958e+00,9.827016333743251453e-01,6.999257588483400738e-01,9.308476576811173242e-01,1.034555609067532966e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.596512506903828177e-01,9.464837569264895611e-01,9.708006317019094444e-01,8.854147164334045250e-01,1.007552797419574597e+00,9.359291964200877612e-01,6.862213341566869573e-01,8.845853761756189426e-01,9.872730166645565797e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.022355757125972486e+00,1.092155996209835944e+00,1.298428313001708911e+00,1.021529923069476764e+00,1.162782069350195124e+00,1.045498566993106504e+00,7.407193282364580300e-01,9.921548947221315862e-01,1.098842239264081311e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.781945809540454340e-01,9.309475192596432525e-01,8.223066882938233624e-01,8.747427741419082636e-01,9.871522643773782413e-01,9.433226439497163218e-01,6.805050838697624949e-01,8.921931189157980002e-01,9.944521689836346434e-01
1.000000000000000000e+00,1.000000000000000000e+03,9.870962199040613783e-01,1.002983573758641445e+00,1.235373935288453628e+00,9.340937159434004045e-01,1.071873431573882485e+00,9.666883814016391518e-01,7.179366657338059898e-01,9.141714746469283837e-01,1.019205288156350031e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.009303859045952212e+00,1.020822394070895589e+00,1.533566586642477914e+00,9.440672678626367276e-01,1.097577520279154450e+00,1.001212284358327986e+00,7.419661615879824534e-01,9.478237349646949639e-01,1.054600833751961009e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.011311315086411700e+00,1.030716926074278117e+00,1.144201789567804939e+00,9.644178642799836609e-01,1.097015987868572573e+00,9.955290596450859786e-01,7.835791779317053951e-01,9.406637903944713441e-01,1.050394328895700724e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.005100607845814453e+00,9.588768970993752916e-01,1.361603504818900134e+00,8.865530696003256494e-01,1.031200724598424934e+00,9.735062055408153503e-01,7.320797998147591246e-01,9.204745380300876079e-01,1.026537873051543093e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.001794463688408188e+00,1.014870833732099742e+00,1.573930449748413896e+00,9.371121608026219407e-01,1.092629506661577654e+00,9.905094428301756126e-01,7.784326672305725836e-01,9.358246466393423946e-01,1.045194239021008720e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.032566841513426370e+00,1.015253227550295012e+00,1.440655524110476815e+00,9.408595298237886206e-01,1.089646925276801515e+00,1.001771119391341447e+00,6.958316789140469583e-01,9.500690210034017369e-01,1.053473217779281157e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.909384269144141388e-01,1.015088230868178343e+00,1.044627438674905484e+00,9.517396652300085247e-01,1.078436796506348161e+00,1.008383363933302634e+00,8.215346287426963379e-01,9.522050101858142712e-01,1.064561717680791109e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.990872138736178742e-01,9.963568916522637098e-01,1.116980282853813788e+00,9.308512319379214084e-01,1.061862551366606011e+00,1.008797696080016459e+00,8.203728565573192855e-01,9.526590786607158634e-01,1.064936313499317055e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.000307557116132173e+00,1.003232340527291822e+00,1.075602607119322762e+00,9.389514337546770451e-01,1.067513247299906487e+00,9.897798235770032260e-01,7.201236036280401764e-01,9.371829906333983828e-01,1.042376656520608069e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.020411594183330717e+00,9.680087062348792237e-01,1.121389712807868921e+00,9.023738776701399900e-01,1.033643534799618457e+00,9.744314296669589481e-01,7.771922550252511330e-01,9.197902202467328481e-01,1.029072639087184937e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.942491032323224065e-01,9.891182994788607630e-01,1.453701633262380222e+00,9.143885183046812637e-01,1.063848080653040373e+00,1.016639142118049621e+00,9.109516895024040162e-01,9.574824686957514874e-01,1.075795815540347755e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.001354661633433230e+00,9.741576528716744399e-01,1.083743488885268169e+00,9.096339441523080271e-01,1.038681361591040853e+00,9.973877060593837607e-01,7.437205607073227309e-01,9.439360745967870781e-01,1.050839337521980443e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.941923094562514773e-01,9.734064841379052035e-01,1.190159706781382498e+00,9.057890490373976533e-01,1.041023919238412754e+00,9.892939734229034832e-01,7.409197542763791278e-01,9.359430846952717653e-01,1.042644862150535090e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.007099926802033751e+00,1.032108750424852950e+00,8.153501771356680417e-01,9.761422493685569801e-01,1.088075251481148920e+00,1.017697642635795763e+00,6.903288801436772149e-01,9.662003861461540000e-01,1.069194899125437637e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.003509410506495669e+00,1.004359113058306052e+00,8.585698651486904920e-01,9.469284418628968192e-01,1.061789784253715396e+00,1.015607132090228903e+00,8.395166048422472160e-01,9.588172827405258003e-01,1.072396981439932118e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.011923881630795607e+00,1.024789316006123441e+00,8.215539220884242599e-01,9.686103026016955608e-01,1.080968329410551432e+00,1.022313791704557051e+00,7.655097509571499037e-01,9.680848118203937425e-01,1.076542771588720360e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.877808524271899371e-01,1.023937573005692547e+00,1.119752348139151588e+00,9.583506793407889912e-01,1.089524466670596103e+00,9.922566130102337123e-01,7.580982150697196387e-01,9.382907895382266439e-01,1.046222436482240781e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.049437526909126506e+00,1.052266091294255634e+00,1.004149259380712422e+00,9.901569953836166782e-01,1.114375187204894591e+00,1.038563545926062925e+00,6.782767653337542502e-01,9.875178015225756223e-01,1.089609290329550229e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.770557252416952609e-01,1.033152400226219125e+00,1.884392525110396344e+00,9.480696033489178776e-01,1.118235197103520262e+00,9.958038589381790207e-01,6.606818470576314439e-01,9.454245439005904972e-01,1.046183173975767655e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.021277735864781544e+00,1.037984586610460225e+00,1.045907658717245337e+00,9.745972151416244511e-01,1.101371958079295998e+00,9.952495794953932773e-01,9.428399064458293788e-01,9.350664108798882879e-01,1.055432748110898267e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.015108122461396256e+00,1.019134707173871890e+00,1.283502232868152904e+00,9.489157483537191684e-01,1.089353665994024611e+00,1.014063954590719296e+00,7.789952686646848257e-01,9.593594006294424714e-01,1.068768508551996232e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.001392777457345673e+00,1.021509062904480292e+00,1.557622467846305758e+00,9.441542797784293617e-01,1.098863846030531111e+00,9.699383423852473429e-01,8.737160239145042029e-01,9.120033143152622701e-01,1.027873370455232527e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.013123190550003550e+00,9.969813842167203344e-01,1.347312627592768930e+00,9.250380996784093313e-01,1.068924668755031337e+00,9.818548007958105561e-01,8.472432654517724204e-01,9.248042115914952843e-01,1.038905390000125717e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.855397752983900972e-01,9.586288587890532398e-01,1.024554019423111750e+00,8.958918942385123430e-01,1.021365823339594137e+00,9.294551979378169460e-01,9.081476811809070515e-01,8.703896400210023865e-01,9.885207558546315054e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.013157873133555320e+00,9.922973668606902553e-01,1.521193006733777997e+00,9.158525171017399824e-01,1.068742216619640528e+00,1.016927380456265739e+00,7.899338701322203837e-01,9.618400864993110755e-01,1.072014674413220403e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.002425454453632181e+00,9.485914589743819070e-01,2.100169399124309333e+00,8.587693527661887094e-01,1.038413565182575216e+00,1.011276125896796607e+00,8.255813101856572800e-01,9.549595816028750850e-01,1.067592670190718129e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.877541498887780769e-01,1.032757513856752629e+00,1.716526760478986446e+00,9.515527775228658225e-01,1.113962250190639436e+00,1.019898298889294619e+00,7.250118630420963051e-01,9.671232520104663388e-01,1.072673345768122788e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.009632996430781748e+00,1.085893030257196301e+00,2.040673602573409795e+00,9.973523519694962314e-01,1.174433708544896371e+00,1.017746227733826281e+00,7.133970137019450819e-01,9.653956215497772053e-01,1.070096833917875356e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.000768250857734243e+00,9.336323801215968832e-01,2.343821490800827245e+00,8.387428409770713023e-01,1.028521919266122575e+00,9.644988332218153992e-01,8.962788392926189784e-01,9.058205170477249268e-01,1.023177149395905872e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.908846437716002375e-01,9.628789619491880947e-01,1.424575586848895847e+00,8.889016034234964447e-01,1.036856320474879745e+00,9.831585932261227567e-01,8.623873902661789437e-01,9.256003844419140592e-01,1.040716802010331454e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.041736438443097601e+00,1.026405044196518679e+00,1.232961600818068160e+00,9.575824804132455625e-01,1.095227607979791795e+00,1.053775246713456459e+00,7.828297827079638838e-01,9.989362196136718497e-01,1.108614273813241180e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.909154900397872945e-01,9.877156109011965279e-01,1.778550271423652962e+00,9.050568017959287337e-01,1.070374420006464433e+00,9.972494774298089615e-01,8.271634272143659761e-01,9.408789973716552568e-01,1.053619957487962777e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.047188584621946639e+00,9.709961633828039229e-01,1.580041971217629460e+00,8.930866695028559787e-01,1.048905657262751756e+00,1.004907522533025066e+00,6.738509966255343819e-01,9.540285879074194009e-01,1.055786457158630620e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.003613647616084403e+00,1.066204448636022484e+00,3.726519259700922682e+00,9.465558114182628380e-01,1.185853085853782130e+00,1.024086385041823810e+00,8.639699591362763886e-01,9.664753878709891888e-01,1.081697382212658542e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.002229008218100903e+00,1.012914576753870088e+00,1.907838331387022635e+00,9.273041116584368471e-01,1.098525041849303330e+00,1.001535153213186868e+00,8.264979009404270771e-01,9.451873552415469559e-01,1.057882951184826670e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.024599185936044154e+00,1.057601283717463536e+00,1.237957924397073306e+00,9.886394162662133223e-01,1.126563151168713750e+00,1.044747588632158664e+00,8.540221413258503036e-01,9.874692204804961237e-01,1.102025956783821092e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.002229458119549665e+00,9.932074590990151997e-01,1.367267578549096640e+00,9.207333593822597528e-01,1.065681558815770646e+00,9.697517073494696938e-01,7.149366886357426676e-01,9.173446392854854858e-01,1.022158775413453791e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.008889381719991096e+00,1.046559070694838223e+00,2.063864106952756572e+00,9.575167192362783464e-01,1.135601422153398099e+00,9.808942173384158636e-01,7.517923202192720034e-01,9.271533076200797474e-01,1.034635127056751980e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.023567258901645793e+00,1.022755738851764296e+00,9.746175570215721562e-01,9.615667626627965037e-01,1.083944715040732198e+00,1.038582728253507614e+00,8.199450787859227097e-01,9.824587492902872032e-01,1.094706707216728026e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.033689923544561129e+00,1.022295151841540628e+00,1.205525981663510215e+00,9.542426088239682747e-01,1.090347694859113092e+00,1.003807957152982544e+00,8.155919042162466104e-01,9.478331605098759827e-01,1.059782753796089105e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.726973644733020175e-01,9.856393561046299379e-01,1.515042175097125687e+00,9.093492124433868451e-01,1.061929499765873031e+00,9.369235245765521469e-01,7.546656040250857567e-01,8.830800162916829787e-01,9.907670328614213151e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.017187901626028568e+00,1.060510882932866661e+00,1.029041079769231315e+00,9.976366894029177201e-01,1.123385076462815713e+00,1.032130449007657935e+00,7.545859571287418799e-01,9.782897821014450157e-01,1.085971115913870966e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.006559855056454067e+00,9.695776448619777277e-01,1.961830791708043531e+00,8.827642290241843881e-01,1.056391060699771067e+00,1.001352348739302123e+00,8.760580831398662172e-01,9.433397231118569870e-01,1.059364974366747258e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.011994404365718525e+00,9.985116882564253338e-01,1.183615782805353955e+00,9.310804018144105410e-01,1.065942974698440127e+00,9.787098671071160494e-01,7.768624184867242155e-01,9.240802536464791661e-01,1.033339480567752933e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.955401838360050659e-01,9.947550196039799397e-01,1.872227639526655940e+00,9.099472976677930314e-01,1.079562741540166959e+00,1.001397254374860157e+00,8.573801655293400437e-01,9.440063871232013959e-01,1.058788121626518919e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.005056146628570568e+00,1.018084784152889055e+00,1.412296616966188800e+00,9.444269353943398615e-01,1.091742632911438360e+00,9.951917837870216665e-01,7.776816070118136581e-01,9.405333749051617565e-01,1.049850192668881688e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.019032443428986134e+00,1.048784942924086527e+00,1.091966266287719423e+00,9.840169137077292572e-01,1.113552972140443797e+00,1.038439625300400460e+00,7.987731579105230573e-01,9.830449778745971035e-01,1.093834272726203816e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.042195579962599927e+00,1.007438309479446570e+00,1.530226913802478439e+00,9.307668042635999228e-01,1.084109814695293217e+00,1.034250284253445118e+00,7.511581678661291006e-01,9.805320451006720450e-01,1.087968523406218191e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.011237604327465123e+00,1.017788238811549117e+00,1.141963695193117578e+00,9.515540502722918959e-01,1.084022427350806339e+00,1.004207572536843118e+00,9.172873793762575945e-01,9.448455375598324713e-01,1.063569607513853654e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.024546166897589927e+00,9.679362463586224097e-01,1.439125276393082631e+00,8.935820691942446548e-01,1.042290423523000165e+00,9.987759401804865433e-01,7.150049480097538934e-01,9.463663703647146042e-01,1.051185509996258372e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.013574531066105511e+00,1.016195408682345480e+00,1.040429360089425437e+00,9.529742616687113532e-01,1.079416555695979607e+00,1.007229252148692078e+00,7.588604651914798715e-01,9.532363048029545149e-01,1.061222199494429530e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.008832775866424170e+00,9.955950109123689051e-01,1.396592306903185143e+00,9.223478334500305742e-01,1.068842188374707236e+00,1.002674022765646544e+00,7.332363400197166037e-01,9.496004820525968393e-01,1.055747563478696138e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.030186967801422826e+00,9.950990050924573005e-01,1.163187918126649123e+00,9.282521449846307116e-01,1.061945865200283778e+00,1.032298088721576246e+00,8.473184878352515437e-01,9.752449669588899583e-01,1.089351210484262422e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.003252090857111423e+00,9.563050722223485067e-01,1.772574127569263469e+00,8.737852517640484207e-01,1.038824892680648482e+00,9.674599387750594248e-01,8.037828532930961778e-01,9.118918525275490072e-01,1.023028025022569842e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.000299944353624237e+00,9.847408827119659147e-01,1.004813670270453096e+00,9.226112424771233389e-01,1.046870522946808491e+00,9.968142186631128165e-01,7.535775849365465850e-01,9.430095381019177880e-01,1.050618899224307734e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.033112466860928613e+00,1.034534692937575384e+00,1.248891152689247441e+00,9.652689708799009338e-01,1.103800414995249835e+00,1.035791793300023134e+00,7.026061931471500044e-01,9.838386225441001498e-01,1.087744964055946006e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.037017494470448220e+00,1.017298404214354468e+00,1.598207953191631780e+00,9.389423216618112411e-01,1.095654486766897806e+00,1.041457089749872056e+00,7.272761442055967196e-01,9.885996963637030399e-01,1.094314483136040961e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.899693718803652676e-01,9.684665759803277041e-01,1.399320622469080622e+00,8.951478873445015694e-01,1.041785264616153839e+00,9.988062465126603673e-01,8.155272289570612010e-01,9.428336692737887548e-01,1.054778823751531869e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.006452015188479487e+00,1.027300944879691036e+00,1.031897612178932500e+00,9.643395450624491216e-01,1.090262344696932839e+00,1.039862350376868028e+00,9.383243683037243432e-01,9.798234721955130233e-01,1.099901228558223032e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.023822994561668587e+00,1.037040465906124087e+00,1.293798596609565532e+00,9.665404184683009658e-01,1.107540513343947097e+00,1.048476464384368034e+00,8.497548417227125395e-01,9.913413770915147083e-01,1.105611551677221360e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.026621335900235410e+00,9.955342271528103693e-01,1.886304808357994744e+00,9.104082701726502469e-01,1.080660184132970603e+00,1.021537252470677615e+00,8.762657525500840983e-01,9.635177513094611568e-01,1.079556753631894184e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.014489746755362187e+00,1.012886061473874832e+00,9.978621517126127216e-01,9.509717073868041437e-01,1.074800415560945632e+00,1.019010409904480774e+00,7.623610070880729728e-01,9.648930740052558130e-01,1.073127745803705624e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.026987317190162230e+00,1.028157945473692214e+00,1.183370036532979563e+00,9.607336595498123799e-01,1.095582231397572048e+00,1.054600849310710853e+00,9.686844727895955742e-01,9.935984045181576185e-01,1.115603294103264087e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.026639896041424915e+00,1.009218428696577741e+00,1.956468842588391821e+00,9.225237304406430638e-01,1.095913126952512417e+00,1.030031611361760469e+00,8.134404791482749975e-01,9.741306905759986590e-01,1.085932532147522167e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.002714932017895189e+00,9.940343300183663855e-01,1.396648722433481371e+00,9.207856731562746866e-01,1.067282986880458084e+00,9.988068937899562405e-01,7.826888685718481620e-01,9.439728025920015586e-01,1.053640984987910922e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.011362274130057415e+00,1.039309138878040883e+00,1.196427531301119895e+00,9.715138882756101379e-01,1.107104389480471518e+00,1.023487347374065770e+00,7.727765200465298578e-01,9.690015852025520848e-01,1.077973109545579344e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.051770750065849303e+00,1.057932497428350604e+00,1.532676635210949767e+00,9.811996455210587609e-01,1.134665349335642448e+00,1.071713153497126259e+00,7.468591932372609099e-01,1.018148853102738061e+00,1.125277453891514456e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.004798141450055526e+00,1.000491786944245121e+00,1.241570138961138214e+00,9.314293814993642728e-01,1.069554192389126079e+00,9.687242736879838612e-01,7.984162061722621662e-01,9.133420048862151974e-01,1.024106542489752636e+00
1.000000000000000000e+00,1.000000000000000000e+03,9.989916102911561291e-01,1.019559940999283265e+00,1.022371069621573314e+00,9.568898468469825280e-01,1.082230035151583891e+00,9.987290387628245947e-01,7.173237926560572797e-01,9.462345525583906181e-01,1.051223524967258571e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.012520245718157907e+00,9.870685428153804786e-01,1.174872202068434346e+00,9.198867815146666294e-01,1.054250304116094439e+00,9.759127740725883626e-01,8.447226295902201532e-01,9.189471137689124713e-01,1.032878434376264254e+00
1.000000000000000000e+00,1.000000000000000000e+03,1.036864055657443995e+00,1.002587136931811562e+00,9.312969896867778763e-01,9.427735054120590652e-01,1.062400768451563948e+00,9.947798596539221272e-01,7.518908715962164813e-01,9.410354276416287300e-01,1.048524291666215413e+00
